Name of Securities,Exchange Ticker,Exchange,Market Price (in HKD),Number of Shares Held,Market Value (in HKD),Net Assets (%)
CHINA CONSTRUCTION BANK,939 HK,Hong Kong,8.26,173345364,1431832706.64,6.58
TENCENT HOLDINGS,700 HK,Hong Kong,411.8,3375522,1390039959.6,6.39
ALIBABA GROUP HOLDING,9988 HK,Hong Kong,89.5,12419154,1111514283.0,5.11
IND & COMM BK OF CHINA,1398 HK,Hong Kong,6.62,148628347,983919657.14,4.52
CHINA MOBILE,941 HK,Hong Kong,77.4,11223447,868694797.8,3.99
XIAOMI CORP-CLASS B,1810 HK,Hong Kong,21.42,32723261,700932250.62,3.22
BANK OF CHINA,3988 HK,Hong Kong,5.06,128122915,648301949.9,2.98
MEITUAN-CLASS B,3690 HK,Hong Kong,64.25,10016612,643567321.0,2.96
PING AN INSURANCE GROUP,2318 HK,Hong Kong,50.55,12082450,610767847.5,2.81
SEMICONDUCTOR MANUFACTURI,981 HK,Hong Kong,80.0,7572774,605821920.0,2.79
CNOOC,883 HK,Hong Kong,20.86,28099278,586150939.08,2.7
NETEASE INC,9999 HK,Hong Kong,187.5,2855224,535354500.0,2.46
BYD,1211 HK,Hong Kong,72.65,6639470,482357495.5,2.22
BEONE MEDICINES,6160 HK,Hong Kong,165.9,2185456,362567150.4,1.67
CHINA LIFE INSURANCE,2628 HK,Hong Kong,26.92,13412963,361076963.96,1.66
PETROCHINA,857 HK,Hong Kong,8.78,38032121,333922022.38,1.54
CHINA MERCHANTS BANK,3968 HK,Hong Kong,44.7,7033865,314413765.5,1.45
ZIJIN MINING GROUP,2899 HK,Hong Kong,27.46,10794009,296403487.14,1.36
LENOVO GROUP,992 HK,Hong Kong,23.44,12298227,288270440.88,1.33
AGRICULTURAL BANK OF CHINA,1288 HK,Hong Kong,5.33,52637657,280558711.81,1.29
JD.COM INC-CLASS A,9618 HK,Hong Kong,96.0,2872829,275791584.0,1.27
BAIDU INC-CLASS A,9888 HK,Hong Kong,98.75,2726484,269240295.0,1.24
CHINA SHENHUA ENERGY,1088 HK,Hong Kong,40.62,5783397,234921586.14,1.08
KUAISHOU TECHNOLOGY,1024 HK,Hong Kong,40.88,5492896,224549588.48,1.03
INNOVENT BIOLOGICS INC,1801 HK,Hong Kong,75.15,2971466,223305669.9,1.03
POP MART INTERNATIONAL GROUP,9992 HK,Hong Kong,158.5,1329504,210726384.0,0.97
YUM CHINA HOLDINGS INC,9987 HK,Hong Kong,316.2,633463,200301000.6,0.92
GEELY AUTOMOBILE HOLDINGS LT,175 HK,Hong Kong,17.06,11677699,199221544.94,0.92
PICC PROPERTY & CASUALTY,2328 HK,Hong Kong,14.36,12436496,178588082.56,0.82
CHINA RESOURCES LAND,1109 HK,Hong Kong,30.16,5783964,174444354.24,0.8
ANTA SPORTS PRODUCTS,2020 HK,Hong Kong,68.75,2520578,173289737.5,0.8
CHINA PETROLEUM & CHEMICAL,386 HK,Hong Kong,4.07,40725330,165752093.1,0.76
NONGFU SPRING,9633 HK,Hong Kong,42.54,3629978,154419264.12,0.71
TRIP.COM GROUP,9961 HK,Hong Kong,305.2,497104,151716140.8,0.7
KE HOLDINGS INC-CL A,2423 HK,Hong Kong,35.94,3817313,137194229.22,0.63
XPENG INC - CLASS A SHARES,9868 HK,Hong Kong,45.58,2932343,133656193.94,0.61
CHINA HONGQIAO GROUP,1378 HK,Hong Kong,20.14,6295554,126792457.56,0.58
CITIC,267 HK,Hong Kong,11.78,10487104,123538085.12,0.57
ZTO EXPRESS CAYMAN INC,2057 HK,Hong Kong,170.3,693879,118167593.7,0.54
LI AUTO INC-CLASS A,2015 HK,Hong Kong,46.28,2529863,117082059.64,0.54
AKESO INC,9926 HK,Hong Kong,83.3,1328917,110698786.1,0.51
BANK OF COMMUNICATIONS,3328 HK,Hong Kong,6.97,15777804,109971293.88,0.51
CSPC PHARMACEUTICAL GROUP LT,1093 HK,Hong Kong,6.69,14538384,97261788.96,0.45
POSTAL SAVINGS BANK OF CHI,1658 HK,Hong Kong,4.77,19685397,93899343.69,0.43
CHINA OVERSEAS LAND & INVEST,688 HK,Hong Kong,12.17,6904920,84032876.4,0.39
HANSOH PHARMACEUTICAL GROUP,3692 HK,Hong Kong,28.66,2729838,78237157.08,0.36
HORIZON ROBOTICS INC,9660 HK,Hong Kong,3.61,21128704,76274621.44,0.35
CHINA UNICOM HONG KONG,762 HK,Hong Kong,6.34,11031536,69939938.24,0.32
JD HEALTH INTERNATIONAL INC,6618 HK,Hong Kong,31.98,2025681,64781278.38,0.3
SHENZHOU INTERNATIONAL GROUP,2313 HK,Hong Kong,40.26,1490021,59988245.46,0.28
CALL HSCEI OTC EC 8400 06/29/26,,,1.0,-11740,-587000.0,0.0
CALL HSCEI OTC EC 8400 06/29/26,,,1.0,-12100,-605000.0,0.0
CALL HANG SENG CHINA ENT 06/29/26 8400,HSCEI 06/29/26 C8400,Hong Kong,1.0,-33637,-1681850.0,-0.01
HSCEI FUTURES 06/29/26,HCM6,Hong Kong,7469.0,12910,-679837700.0,-3.13
