Name of Securities,Exchange Ticker,Exchange,Market Price (in HKD),Number of Shares Held,Market Value (in HKD),Net Assets (%)
CHINA CONSTRUCTION BANK,939 HK,Hong Kong,9.14,157479507,1439362693.98,6.43
TENCENT HOLDINGS,700 HK,Hong Kong,455.2,3066592,1395912678.4,6.24
ALIBABA GROUP HOLDING,9988 HK,Hong Kong,113.9,11282464,1285072649.6,5.74
IND & COMM BK OF CHINA,1398 HK,Hong Kong,7.445,135024859,1005260075.26,4.49
GLOBAL X USD MM ETF,3137 HK,Hong Kong,1135.7,832556,945533849.2,4.23
XIAOMI CORP-CLASS B,1810 HK,Hong Kong,27.82,29728155,827037272.1,3.7
CHINA MOBILE,941 HK,Hong Kong,79.4,10196540,809605276.0,3.62
MEITUAN-CLASS B,3690 HK,Hong Kong,77.5,9099934,705244885.0,3.15
BANK OF CHINA,3988 HK,Hong Kong,5.58,116396858,649494467.64,2.9
CNOOC,883 HK,Hong Kong,25.44,25528222,649437967.68,2.9
PING AN INSURANCE GROUP,2318 HK,Hong Kong,56.9,10976505,624563134.5,2.79
BYD,1211 HK,Hong Kong,91.95,6031824,554626216.8,2.48
NETEASE INC,9999 HK,Hong Kong,192.2,2593914,498550270.8,2.23
SEMICONDUCTOR MANUFACTURI,981 HK,Hong Kong,70.15,6880261,482650309.15,2.16
BEONE MEDICINES,6160 HK,Hong Kong,224.4,1985467,445538794.8,1.99
ZIJIN MINING GROUP,2899 HK,Hong Kong,38.28,9808835,375482203.8,1.68
CHINA LIFE INSURANCE,2628 HK,Hong Kong,29.42,12185992,358511884.64,1.6
PETROCHINA,857 HK,Hong Kong,10.19,34552395,352088905.05,1.57
LENOVO GROUP,992 HK,Hong Kong,29.96,11173432,334756022.72,1.5
CHINA MERCHANTS BANK,3968 HK,Hong Kong,49.02,6390298,313252407.96,1.4
AGRICULTURAL BANK OF CHINA,1288 HK,Hong Kong,6.225,47820353,297681697.43,1.33
INNOVENT BIOLOGICS INC,1801 HK,Hong Kong,107.5,2699438,290189585.0,1.3
JD.COM INC-CLASS A,9618 HK,Hong Kong,110.5,2609931,288397375.5,1.29
CHINA SHENHUA ENERGY,1088 HK,Hong Kong,45.82,5254351,240754362.82,1.08
BAIDU INC-CLASS A,9888 HK,Hong Kong,95.75,2476962,237169111.5,1.06
YUM CHINA HOLDINGS INC,9987 HK,Hong Kong,352.0,575491,202572832.0,0.91
GEELY AUTOMOBILE HOLDINGS LT,175 HK,Hong Kong,18.08,10609856,191826196.48,0.86
POP MART INTERNATIONAL GROUP,9992 HK,Hong Kong,158.7,1207979,191706267.3,0.86
PICC PROPERTY & CASUALTY,2328 HK,Hong Kong,15.98,11298783,180554552.34,0.81
ANTA SPORTS PRODUCTS,2020 HK,Hong Kong,77.4,2290010,177246774.0,0.79
CHINA PETROLEUM & CHEMICAL,386 HK,Hong Kong,4.765,36998343,176297104.4,0.79
CHINA RESOURCES LAND,1109 HK,Hong Kong,33.18,5254881,174356951.58,0.78
KUAISHOU TECHNOLOGY,1024 HK,Hong Kong,33.46,4990200,166972092.0,0.75
KE HOLDINGS INC-CL A,2423 HK,Hong Kong,47.48,3468066,164663773.68,0.74
TRIP.COM GROUP,9961 HK,Hong Kong,348.8,451613,157522614.4,0.7
NONGFU SPRING,9633 HK,Hong Kong,43.5,3297911,143459128.5,0.64
CHINA HONGQIAO GROUP,1378 HK,Hong Kong,23.5,5719695,134412832.5,0.6
CSPC PHARMACEUTICAL GROUP LT,1093 HK,Hong Kong,9.53,13209227,125883933.31,0.56
CITIC,267 HK,Hong Kong,12.91,9527904,123005240.64,0.55
XPENG INC - CLASS A SHARES,9868 HK,Hong Kong,44.82,2663967,119399000.94,0.53
AKESO INC,9926 HK,Hong Kong,95.35,1207392,115124827.2,0.51
LI AUTO INC-CLASS A,2015 HK,Hong Kong,47.98,2298351,110274880.98,0.49
BANK OF COMMUNICATIONS,3328 HK,Hong Kong,7.51,14333708,107646147.08,0.48
ZTO EXPRESS CAYMAN INC,2057 HK,Hong Kong,166.3,630427,104840010.1,0.47
HORIZON ROBOTICS INC,9660 HK,Hong Kong,4.745,19195097,91080735.27,0.41
HANSOH PHARMACEUTICAL GROUP,3692 HK,Hong Kong,36.72,2480327,91077607.44,0.41
POSTAL SAVINGS BANK OF CHI,1658 HK,Hong Kong,4.955,17884232,88616369.56,0.4
CHINA OVERSEAS LAND & INVEST,688 HK,Hong Kong,13.82,6273155,86695002.1,0.39
BNYM-USD LIQ-ADVANT,DRELIQP ID,,1.0,10000000,78399397.89,0.35
JD HEALTH INTERNATIONAL INC,6618 HK,Hong Kong,36.68,1840253,67500480.04,0.3
CHINA UNICOM HONG KONG,762 HK,Hong Kong,5.63,10022849,56428639.87,0.25
SHENZHOU INTERNATIONAL GROUP,2313 HK,Hong Kong,36.52,1353785,49440228.2,0.22
CALL HANG SENG CHINA ENT 08/28/26 8700,HSCEI 08/28/26 C8700,Hong Kong,0.0,-31710,0.0,0.0
CALL HSCEI 08/28/26 C8700 OTC,,,0.0,-8500,0.0,0.0
CALL HSCEI 08/28/26 C8700 OTC,,,0.0,-11500,0.0,0.0
HSCEI FUTURES 09/29/26,HCU6,Hong Kong,8472.0,9733,-12196800.0,-0.05
