Name of Securities,Exchange Ticker,Exchange,Market Price (in HKD),Number of Shares Held,Market Value (in HKD),Net Assets (%)
TENCENT HOLDINGS,700 HK,Hong Kong,429.8,3375522,1450799355.6,6.68
CHINA CONSTRUCTION BANK,939 HK,Hong Kong,8.07,173345364,1398897087.48,6.44
ALIBABA GROUP HOLDING,9988 HK,Hong Kong,92.85,12419154,1153118448.9,5.31
IND & COMM BK OF CHINA,1398 HK,Hong Kong,6.43,148628347,955680271.21,4.4
CHINA MOBILE,941 HK,Hong Kong,76.15,11223447,854665489.05,3.93
XIAOMI CORP-CLASS B,1810 HK,Hong Kong,21.64,32723261,708131368.04,3.26
MEITUAN-CLASS B,3690 HK,Hong Kong,68.5,10016612,686137922.0,3.16
SEMICONDUCTOR MANUFACTURI,981 HK,Hong Kong,89.4,7572774,677005995.6,3.12
BANK OF CHINA,3988 HK,Hong Kong,4.99,128122915,639333345.85,2.94
PING AN INSURANCE GROUP,2318 HK,Hong Kong,51.05,12082450,616809072.5,2.84
NETEASE INC,9999 HK,Hong Kong,202.4,2855224,577897337.6,2.66
CNOOC,883 HK,Hong Kong,20.32,28099278,570977328.96,2.63
BYD,1211 HK,Hong Kong,72.45,6639470,481029601.5,2.21
BEONE MEDICINES,6160 HK,Hong Kong,170.4,2185456,372401702.4,1.71
CHINA LIFE INSURANCE,2628 HK,Hong Kong,26.66,13412963,357589593.58,1.65
PETROCHINA,857 HK,Hong Kong,8.48,38032121,322512386.08,1.48
CHINA MERCHANTS BANK,3968 HK,Hong Kong,44.92,7033865,315961215.8,1.45
BAIDU INC-CLASS A,9888 HK,Hong Kong,109.6,2726484,298822646.4,1.38
ZIJIN MINING GROUP,2899 HK,Hong Kong,27.4,10794009,295755846.6,1.36
JD.COM INC-CLASS A,9618 HK,Hong Kong,99.25,2872829,285128278.25,1.31
LENOVO GROUP,992 HK,Hong Kong,23.02,12298227,283105185.54,1.3
AGRICULTURAL BANK OF CHINA,1288 HK,Hong Kong,5.34,52637657,281085088.38,1.29
INNOVENT BIOLOGICS INC,1801 HK,Hong Kong,79.6,2971466,236528693.6,1.09
CHINA SHENHUA ENERGY,1088 HK,Hong Kong,40.12,5783397,232029887.64,1.07
KUAISHOU TECHNOLOGY,1024 HK,Hong Kong,41.6,5492896,228504473.6,1.05
POP MART INTERNATIONAL GROUP,9992 HK,Hong Kong,154.7,1329504,205674268.8,0.95
YUM CHINA HOLDINGS INC,9987 HK,Hong Kong,319.6,633463,202454774.8,0.93
GEELY AUTOMOBILE HOLDINGS LT,175 HK,Hong Kong,16.86,11677699,196886005.14,0.91
ANTA SPORTS PRODUCTS,2020 HK,Hong Kong,71.05,2520578,179087066.9,0.82
PICC PROPERTY & CASUALTY,2328 HK,Hong Kong,14.32,12436496,178090622.72,0.82
CHINA RESOURCES LAND,1109 HK,Hong Kong,30.0,5783964,173518920.0,0.8
CHINA PETROLEUM & CHEMICAL,386 HK,Hong Kong,4.0,40725330,162901320.0,0.75
TRIP.COM GROUP,9961 HK,Hong Kong,311.6,497104,154897606.4,0.71
XPENG INC - CLASS A SHARES,9868 HK,Hong Kong,50.65,2932343,148523172.95,0.68
NONGFU SPRING,9633 HK,Hong Kong,39.62,3629978,143819728.36,0.66
KE HOLDINGS INC-CL A,2423 HK,Hong Kong,37.56,3817313,143378276.28,0.66
CHINA HONGQIAO GROUP,1378 HK,Hong Kong,20.06,6295554,126288813.24,0.58
ZTO EXPRESS CAYMAN INC,2057 HK,Hong Kong,171.6,693879,119069636.4,0.55
AKESO INC,9926 HK,Hong Kong,88.05,1328917,117011141.85,0.54
LI AUTO INC-CLASS A,2015 HK,Hong Kong,46.08,2529863,116576087.04,0.54
CITIC,267 HK,Hong Kong,10.61,10487104,111268173.44,0.51
BANK OF COMMUNICATIONS,3328 HK,Hong Kong,6.74,15777804,106342398.96,0.49
CSPC PHARMACEUTICAL GROUP LT,1093 HK,Hong Kong,6.97,14538384,101332536.48,0.47
POSTAL SAVINGS BANK OF CHI,1658 HK,Hong Kong,4.57,19685397,89962264.29,0.41
HORIZON ROBOTICS INC,9660 HK,Hong Kong,4.08,21128704,86205112.32,0.4
CHINA OVERSEAS LAND & INVEST,688 HK,Hong Kong,12.06,6904920,83273335.2,0.38
HANSOH PHARMACEUTICAL GROUP,3692 HK,Hong Kong,29.62,2729838,80857801.56,0.37
CHINA UNICOM HONG KONG,762 HK,Hong Kong,6.11,11031536,67402684.96,0.31
JD HEALTH INTERNATIONAL INC,6618 HK,Hong Kong,32.84,2025681,66523364.04,0.31
HSCEI FUTURES 07/30/26,HCN6,Hong Kong,7533.0,13493,65935299.9,0.3
SHENZHOU INTERNATIONAL GROUP,2313 HK,Hong Kong,39.36,1490021,58647226.56,0.27
CALL HSCEI 07/30/26 C7700 OTC,,,120.0,-11500,-69000000.0,-0.32
CALL HSCEI 07/30/26 C7700 OTC,,,120.0,-12500,-75000000.0,-0.35
CALL HANG SENG CHINA ENT 07/30/26 7700,HSCEI 07/30/26 C7700,Hong Kong,122.0,-33477,-204209700.0,-0.94
