Name of Securities,Exchange Ticker,Exchange,Market Price (in HKD),Number of Shares Held,Market Value (in HKD),Net Assets (%)
CHINA CONSTRUCTION BANK,939 HK,Hong Kong,9.61,148419507,1426311462.27,6.48
ALIBABA GROUP HOLDING,9988 HK,Hong Kong,109.8,12905964,1417074847.2,6.43
TENCENT HOLDINGS,700 HK,Hong Kong,434.0,3227892,1400905128.0,6.36
IND & COMM BK OF CHINA,1398 HK,Hong Kong,7.545,132115859,996814156.16,4.53
GLOBAL X USD MM ETF,3137 HK,Hong Kong,1136.0,832556,945783616.0,4.29
CHINA MOBILE,941 HK,Hong Kong,78.95,9989540,788674183.0,3.58
XIAOMI CORP-CLASS B,1810 HK,Hong Kong,26.38,28920955,762934792.9,3.46
MEITUAN-CLASS B,3690 HK,Hong Kong,77.8,8904434,692764965.2,3.15
BANK OF CHINA,3988 HK,Hong Kong,5.915,113888858,673652595.07,3.06
CNOOC,883 HK,Hong Kong,25.82,24978222,644937692.04,2.93
PING AN INSURANCE GROUP,2318 HK,Hong Kong,55.45,10740005,595533277.25,2.7
NETEASE INC,9999 HK,Hong Kong,183.2,2821114,516828084.8,2.35
BYD,1211 HK,Hong Kong,81.8,5901924,482777383.2,2.19
SEMICONDUCTOR MANUFACTURI,981 HK,Hong Kong,65.0,7226761,469739465.0,2.13
BEONE MEDICINES,6160 HK,Hong Kong,208.6,1942667,405240336.2,1.84
LENOVO GROUP,992 HK,Hong Kong,32.42,11925432,386622505.44,1.76
ZIJIN MINING GROUP,2899 HK,Hong Kong,37.6,9596835,360840996.0,1.64
PETROCHINA,857 HK,Hong Kong,10.43,33808395,352621559.85,1.6
CHINA LIFE INSURANCE,2628 HK,Hong Kong,29.48,11922992,351489804.16,1.6
CHINA MERCHANTS BANK,3968 HK,Hong Kong,51.85,6252798,324207576.3,1.47
AGRICULTURAL BANK OF CHINA,1288 HK,Hong Kong,6.3,46790353,294779223.9,1.34
JD.COM INC-CLASS A,9618 HK,Hong Kong,106.3,2483681,264015290.3,1.2
INNOVENT BIOLOGICS INC,1801 HK,Hong Kong,98.2,2646438,259880211.6,1.18
CHINA SHENHUA ENERGY,1088 HK,Hong Kong,46.86,5141351,240923707.86,1.09
BAIDU INC-CLASS A-HKD,9888 HK,Hong Kong,92.2,2509412,231367786.4,1.05
YUM CHINA HOLDINGS INC,9987 HK,Hong Kong,339.0,552891,187430049.0,0.85
PICC PROPERTY & CASUALTY,2328 HK,Hong Kong,16.83,11054783,186051997.89,0.84
POP MART INTERNATIONAL GROUP,9992 HK,Hong Kong,156.1,1173779,183226901.9,0.83
CHINA PETROLEUM & CHEMICAL,386 HK,Hong Kong,4.92,36202343,178115527.56,0.81
TRIP.COM GROUP,9961 HK,Hong Kong,316.6,557413,176476955.8,0.8
GEELY AUTOMOBILE HOLDINGS LT,175 HK,Hong Kong,16.6,10368856,172123009.6,0.78
ANTA SPORTS PRODUCTS,2020 HK,Hong Kong,73.5,2240610,164684835.0,0.75
KUAISHOU TECHNOLOGY,1024 HK,Hong Kong,32.32,4853100,156852192.0,0.71
CHINA RESOURCES LAND,1109 HK,Hong Kong,30.06,5141881,154564942.86,0.7
KE HOLDINGS INC-CL A,2423 HK,Hong Kong,44.96,3328766,149661319.36,0.68
CHINA HONGQIAO GROUP,1378 HK,Hong Kong,24.46,5507195,134705989.7,0.61
NONGFU SPRING,9633 HK,Hong Kong,40.58,3226911,130948048.38,0.59
CITIC,267 HK,Hong Kong,13.78,9322904,128469617.12,0.58
CSPC PHARMACEUTICAL GROUP LT,1093 HK,Hong Kong,9.1,12925227,117619565.7,0.53
AKESO INC,9926 HK,Hong Kong,95.05,1181392,112291309.6,0.51
BANK OF COMMUNICATIONS,3328 HK,Hong Kong,7.89,14025708,110662836.12,0.5
XPENG INC - CLASS A SHARES,9868 HK,Hong Kong,42.3,2609667,110388914.1,0.5
LI AUTO INC-CLASS A,2015 HK,Hong Kong,47.62,2186151,104104510.62,0.47
ZTO EXPRESS CAYMAN INC,2057 HK,Hong Kong,163.0,616827,100542801.0,0.46
POSTAL SAVINGS BANK OF CHI,1658 HK,Hong Kong,5.33,17499232,93270906.56,0.42
HANSOH PHARMACEUTICAL GROUP,3692 HK,Hong Kong,34.8,2430327,84575379.6,0.38
HORIZON ROBOTICS INC,9660 HK,Hong Kong,4.37,18678497,81625031.89,0.37
CHINA OVERSEAS LAND & INVEST,688 HK,Hong Kong,12.96,6138155,79550488.8,0.36
BNYM-USD LIQ-ADVANT,DRELIQP ID,,1.0,10008182,78480775.46,0.36
JD HEALTH INTERNATIONAL INC,6618 HK,Hong Kong,35.26,1800803,63496313.78,0.29
CHINA UNICOM HONG KONG,762 HK,Hong Kong,5.775,9806849,56634552.98,0.26
SHENZHOU INTERNATIONAL GROUP,2313 HK,Hong Kong,35.98,1324385,47651372.3,0.22
CALL HSCEI WEEKLY OPTION 09/11/26 8600,,,1.0,-15920,-796000.0,0.0
CALL HSCEI 09/29/26 C8600 OTC,,,44.0,-8500,-18700000.0,-0.08
CALL HSCEI 09/29/26 C8600 OTC,,,44.0,-9000,-19800000.0,-0.09
CALL HANG SENG CHINA ENT 09/29/26 8600,HSCEI 09/29/26 C8600,Hong Kong,44.0,-18710,-41162000.0,-0.19
HSCEI FUTURES 09/29/26,HCU6,Hong Kong,8344.0,10218,-77755150.0,-0.35
