Name of Securities,Exchange Ticker,Exchange,Market Price (in HKD),Number of Shares Held,Market Value (in HKD),Net Assets (%)
TENCENT HOLDINGS,700 HK,Hong Kong,474.0,3346167,1586083158.0,7.07
CHINA CONSTRUCTION BANK,939 HK,Hong Kong,8.54,171837772,1467494572.88,6.54
ALIBABA GROUP HOLDING,9988 HK,Hong Kong,117.0,12311139,1440403263.0,6.42
IND & COMM BK OF CHINA,1398 HK,Hong Kong,7.02,147335704,1034296642.08,4.61
CHINA MOBILE,941 HK,Hong Kong,80.7,11125860,897856902.0,4.0
XIAOMI CORP-CLASS B,1810 HK,Hong Kong,27.42,32438660,889468057.2,3.96
MEITUAN-CLASS B,3690 HK,Hong Kong,85.2,9929514,845994592.8,3.77
PING AN INSURANCE GROUP,2318 HK,Hong Kong,56.25,11977345,673725656.25,3.0
BANK OF CHINA,3988 HK,Hong Kong,5.19,127008623,659174753.37,2.94
CNOOC,883 HK,Hong Kong,23.5,27854917,654590549.5,2.92
HSCEI FUTURES 07/30/26,HCN6,Hong Kong,8365.0,12805,595029520.43,2.65
BYD,1211 HK,Hong Kong,89.8,6581729,591039264.2,2.63
NETEASE INC,9999 HK,Hong Kong,208.4,2830374,589849941.6,2.63
SEMICONDUCTOR MANUFACTURI,981 HK,Hong Kong,75.5,7506936,566773668.0,2.53
BEONE MEDICINES,6160 HK,Hong Kong,193.0,2166472,418129096.0,1.86
PETROCHINA,857 HK,Hong Kong,9.82,37701350,370227257.0,1.65
CHINA LIFE INSURANCE,2628 HK,Hong Kong,27.46,13296287,365116041.02,1.63
JD.COM INC-CLASS A,9618 HK,Hong Kong,121.1,2847861,344875967.1,1.54
ZIJIN MINING GROUP,2899 HK,Hong Kong,31.52,10700130,337268097.6,1.5
CHINA MERCHANTS BANK,3968 HK,Hong Kong,47.96,6972703,334410835.88,1.49
AGRICULTURAL BANK OF CHINA,1288 HK,Hong Kong,5.75,52179888,300034356.0,1.34
BAIDU INC-CLASS A,9888 HK,Hong Kong,107.2,2702772,289737158.4,1.29
LENOVO GROUP,992 HK,Hong Kong,23.24,12191292,283325626.08,1.26
INNOVENT BIOLOGICS INC,1801 HK,Hong Kong,92.15,2945643,271441002.45,1.21
GLOBAL X USD MM ETF,3137 HK,Hong Kong,1130.9,238556,269782980.4,1.2
CHINA SHENHUA ENERGY,1088 HK,Hong Kong,43.14,5733121,247326839.94,1.1
KUAISHOU TECHNOLOGY,1024 HK,Hong Kong,45.1,5445130,245575363.0,1.09
YUM CHINA HOLDINGS INC,9987 HK,Hong Kong,348.4,627936,218772902.4,0.97
GEELY AUTOMOBILE HOLDINGS LT,175 HK,Hong Kong,18.62,11576126,215547466.12,0.96
POP MART INTERNATIONAL GROUP,9992 HK,Hong Kong,163.2,1317934,215086828.8,0.96
CHINA RESOURCES LAND,1109 HK,Hong Kong,33.52,5733636,192191478.72,0.86
ANTA SPORTS PRODUCTS,2020 HK,Hong Kong,76.75,2498635,191770236.25,0.85
PICC PROPERTY & CASUALTY,2328 HK,Hong Kong,14.73,12328313,181596050.49,0.81
CHINA PETROLEUM & CHEMICAL,386 HK,Hong Kong,4.26,40371133,171981026.58,0.77
TRIP.COM GROUP,9961 HK,Hong Kong,347.8,492773,171386449.4,0.76
KE HOLDINGS INC-CL A,2423 HK,Hong Kong,44.1,3784136,166880397.6,0.74
NONGFU SPRING,9633 HK,Hong Kong,42.44,3598401,152716138.44,0.68
XPENG INC - CLASS A SHARES,9868 HK,Hong Kong,51.9,2906862,150866137.8,0.67
CHINA HONGQIAO GROUP,1378 HK,Hong Kong,22.66,6240780,141416074.8,0.63
ZTO EXPRESS CAYMAN INC,2057 HK,Hong Kong,189.8,687837,130551462.6,0.58
AKESO INC,9926 HK,Hong Kong,94.6,1317347,124621026.2,0.56
LI AUTO INC-CLASS A,2015 HK,Hong Kong,48.64,2507861,121982359.04,0.54
CITIC,267 HK,Hong Kong,11.62,10395904,120800404.48,0.54
CSPC PHARMACEUTICAL GROUP LT,1093 HK,Hong Kong,8.41,14411957,121204558.37,0.54
BANK OF COMMUNICATIONS,3328 HK,Hong Kong,7.15,15640603,111830311.45,0.5
POSTAL SAVINGS BANK OF CHI,1658 HK,Hong Kong,4.9,19514172,95619442.8,0.43
HORIZON ROBOTICS INC,9660 HK,Hong Kong,4.45,20944937,93204969.65,0.42
CHINA OVERSEAS LAND & INVEST,688 HK,Hong Kong,13.51,6844845,92473855.95,0.41
HANSOH PHARMACEUTICAL GROUP,3692 HK,Hong Kong,32.56,2706072,88109704.32,0.39
JD HEALTH INTERNATIONAL INC,6618 HK,Hong Kong,38.7,2008068,77712231.6,0.35
CHINA UNICOM HONG KONG,762 HK,Hong Kong,6.59,10935604,72065630.36,0.32
SHENZHOU INTERNATIONAL GROUP,2313 HK,Hong Kong,43.8,1477080,64696104.0,0.29
CALL HSCEI 07/30/26 C7700 OTC,,,669.0,-11500,-384675000.0,-1.71
CALL HSCEI 07/30/26 C7700 OTC,,,669.0,-12500,-418125000.0,-1.86
CALL HANG SENG CHINA ENT 07/30/26 7700,HSCEI 07/30/26 C7700,Hong Kong,669.0,-32977,-1103080650.0,-4.92
