Name of Securities,Exchange Ticker,Exchange,Market Price (in HKD),Number of Shares Held,Market Value (in HKD),Net Assets (%)
ALIBABA GROUP HOLDING,9988 HK,Hong Kong,114.8,12905964,1481604667.2,6.7
TENCENT HOLDINGS,700 HK,Hong Kong,451.6,3227892,1457716027.2,6.59
CHINA CONSTRUCTION BANK,939 HK,Hong Kong,9.745,148419507,1446348095.72,6.54
IND & COMM BK OF CHINA,1398 HK,Hong Kong,7.54,132115859,996153576.86,4.5
GLOBAL X USD MM ETF,3137 HK,Hong Kong,1139.0,832556,948281284.0,4.29
CHINA MOBILE,941 HK,Hong Kong,78.95,9989540,788674183.0,3.57
XIAOMI CORP-CLASS B,1810 HK,Hong Kong,27.2,28920955,786649976.0,3.56
BANK OF CHINA,3988 HK,Hong Kong,6.02,113888858,685610925.16,3.1
MEITUAN-CLASS B,3690 HK,Hong Kong,73.2,8904434,651804568.8,2.95
CNOOC,883 HK,Hong Kong,23.68,24978222,591484296.96,2.67
PING AN INSURANCE GROUP,2318 HK,Hong Kong,53.9,10740005,578886269.5,2.62
NETEASE INC,9999 HK,Hong Kong,185.2,2821114,522470312.8,2.36
BYD,1211 HK,Hong Kong,81.35,5901924,480121517.4,2.17
SEMICONDUCTOR MANUFACTURI,981 HK,Hong Kong,64.3,7226761,464680732.3,2.1
LENOVO GROUP,992 HK,Hong Kong,36.74,11925432,438140371.68,1.98
BEONE MEDICINES,6160 HK,Hong Kong,217.6,1942667,422724339.2,1.91
CHINA LIFE INSURANCE,2628 HK,Hong Kong,29.7,11922992,354112862.4,1.6
ZIJIN MINING GROUP,2899 HK,Hong Kong,34.02,9596835,326484326.7,1.48
CHINA MERCHANTS BANK,3968 HK,Hong Kong,51.65,6252798,322957016.7,1.46
PETROCHINA,857 HK,Hong Kong,9.43,33808395,318813164.85,1.44
AGRICULTURAL BANK OF CHINA,1288 HK,Hong Kong,6.5,46790353,304137294.5,1.38
INNOVENT BIOLOGICS INC,1801 HK,Hong Kong,103.1,2646438,272847757.8,1.23
JD.COM INC-CLASS A,9618 HK,Hong Kong,106.5,2483681,264512026.5,1.2
BNYM-USD LIQ-ADVANT,DRELIQP ID,,1.0,30008182,235365677.43,1.06
CHINA SHENHUA ENERGY,1088 HK,Hong Kong,45.36,5141351,233211681.36,1.05
BAIDU INC-CLASS A-HKD,9888 HK,Hong Kong,89.5,2509412,224592374.0,1.02
PICC PROPERTY & CASUALTY,2328 HK,Hong Kong,16.88,11054783,186604737.04,0.84
POP MART INTERNATIONAL GROUP,9992 HK,Hong Kong,154.2,1173779,180996721.8,0.82
TRIP.COM GROUP,9961 HK,Hong Kong,323.0,557413,180044399.0,0.81
YUM CHINA HOLDINGS INC,9987 HK,Hong Kong,323.6,552891,178915527.6,0.81
GEELY AUTOMOBILE HOLDINGS LT,175 HK,Hong Kong,15.73,10368856,163102104.88,0.74
CHINA PETROLEUM & CHEMICAL,386 HK,Hong Kong,4.465,36202343,161643461.5,0.73
ANTA SPORTS PRODUCTS,2020 HK,Hong Kong,71.9,2240610,161099859.0,0.73
KUAISHOU TECHNOLOGY,1024 HK,Hong Kong,31.22,4853100,151513782.0,0.69
CHINA RESOURCES LAND,1109 HK,Hong Kong,29.12,5141881,149731574.72,0.68
KE HOLDINGS INC-CL A,2423 HK,Hong Kong,42.78,3328766,142404609.48,0.64
NONGFU SPRING,9633 HK,Hong Kong,39.08,3226911,126107681.88,0.57
CSPC PHARMACEUTICAL GROUP LT,1093 HK,Hong Kong,9.71,12925227,125503954.17,0.57
CITIC,267 HK,Hong Kong,13.21,9322904,123155561.84,0.56
CHINA HONGQIAO GROUP,1378 HK,Hong Kong,21.36,5507195,117633685.2,0.53
BANK OF COMMUNICATIONS,3328 HK,Hong Kong,8.24,14025708,115571833.92,0.52
AKESO INC,9926 HK,Hong Kong,95.9,1181392,113295492.8,0.51
XPENG INC - CLASS A SHARES,9868 HK,Hong Kong,40.74,2609667,106317833.58,0.48
LI AUTO INC-CLASS A,2015 HK,Hong Kong,45.08,2186151,98551687.08,0.45
ZTO EXPRESS CAYMAN INC,2057 HK,Hong Kong,155.7,616827,96039963.9,0.43
POSTAL SAVINGS BANK OF CHI,1658 HK,Hong Kong,5.405,17499232,94583348.96,0.43
HANSOH PHARMACEUTICAL GROUP,3692 HK,Hong Kong,35.34,2430327,85887756.18,0.39
HORIZON ROBOTICS INC,9660 HK,Hong Kong,4.09,18678497,76395052.73,0.35
CHINA OVERSEAS LAND & INVEST,688 HK,Hong Kong,12.43,6138155,76297266.65,0.35
JD HEALTH INTERNATIONAL INC,6618 HK,Hong Kong,36.12,1800803,65045004.36,0.29
CHINA UNICOM HONG KONG,762 HK,Hong Kong,5.72,9806849,56095176.28,0.25
SHENZHOU INTERNATIONAL GROUP,2313 HK,Hong Kong,34.58,1324385,45797233.3,0.21
CALL HSCEI 09/29/26 C8600 OTC,,,13.0,-8500,-5525000.0,-0.02
CALL HSCEI 09/29/26 C8600 OTC,,,13.0,-9000,-5850000.0,-0.03
CALL HANG SENG CHINA ENT 09/29/26 8600,HSCEI 09/29/26 C8600,Hong Kong,13.0,-18710,-12161500.0,-0.05
CALL HSCEI WEEKLY OPTION 09/25/26 8350,,,63.0,-13290,-41863500.0,-0.19
HSCEI FUTURES 09/29/26,HCU6,Hong Kong,8354.0,10218,-72646150.0,-0.33
