Name of Securities,Exchange Ticker,Exchange,Market Price (in HKD),Number of Shares Held,Market Value (in HKD),Net Assets (%)
CHINA CONSTRUCTION BANK,939 HK,Hong Kong,9.75,148419507,1447090193.25,6.64
ALIBABA GROUP HOLDING,9988 HK,Hong Kong,107.5,12905964,1387391130.0,6.37
TENCENT HOLDINGS,700 HK,Hong Kong,428.4,3227892,1382828932.8,6.35
IND & COMM BK OF CHINA,1398 HK,Hong Kong,7.61,132115859,1005401686.99,4.62
GLOBAL X USD MM ETF,3137 HK,Hong Kong,1137.2,832556,946782683.2,4.35
CHINA MOBILE,941 HK,Hong Kong,78.9,9989540,788174706.0,3.62
XIAOMI CORP-CLASS B,1810 HK,Hong Kong,26.36,28920955,762356373.8,3.5
BANK OF CHINA,3988 HK,Hong Kong,6.045,113888858,688458146.61,3.16
MEITUAN-CLASS B,3690 HK,Hong Kong,75.1,8904434,668722993.4,3.07
CNOOC,883 HK,Hong Kong,24.38,24978222,608969052.36,2.8
PING AN INSURANCE GROUP,2318 HK,Hong Kong,54.0,10740005,579960270.0,2.66
NETEASE INC,9999 HK,Hong Kong,182.1,2821114,513724859.4,2.36
BYD,1211 HK,Hong Kong,79.85,5901924,471268631.4,2.16
SEMICONDUCTOR MANUFACTURI,981 HK,Hong Kong,63.15,7226761,456369957.15,2.1
BEONE MEDICINES,6160 HK,Hong Kong,206.2,1942667,400577935.4,1.84
LENOVO GROUP,992 HK,Hong Kong,31.3,11925432,373266021.6,1.71
CHINA LIFE INSURANCE,2628 HK,Hong Kong,29.6,11922992,352920563.2,1.62
PETROCHINA,857 HK,Hong Kong,9.98,33808395,337407782.1,1.55
ZIJIN MINING GROUP,2899 HK,Hong Kong,34.82,9596835,334161794.7,1.53
CHINA MERCHANTS BANK,3968 HK,Hong Kong,51.95,6252798,324832856.1,1.49
AGRICULTURAL BANK OF CHINA,1288 HK,Hong Kong,6.355,46790353,297352693.32,1.37
JD.COM INC-CLASS A,9618 HK,Hong Kong,106.2,2483681,263766922.2,1.21
INNOVENT BIOLOGICS INC,1801 HK,Hong Kong,93.55,2646438,247574274.9,1.14
CHINA SHENHUA ENERGY,1088 HK,Hong Kong,46.12,5141351,237119108.12,1.09
BAIDU INC-CLASS A-HKD,9888 HK,Hong Kong,89.1,2509412,223588609.2,1.03
PICC PROPERTY & CASUALTY,2328 HK,Hong Kong,17.04,11054783,188373502.32,0.86
YUM CHINA HOLDINGS INC,9987 HK,Hong Kong,335.8,552891,185660797.8,0.85
POP MART INTERNATIONAL GROUP,9992 HK,Hong Kong,153.0,1173779,179588187.0,0.82
CHINA PETROLEUM & CHEMICAL,386 HK,Hong Kong,4.775,36202343,172866187.83,0.79
TRIP.COM GROUP,9961 HK,Hong Kong,305.8,557413,170456895.4,0.78
GEELY AUTOMOBILE HOLDINGS LT,175 HK,Hong Kong,16.12,10368856,167145958.72,0.77
ANTA SPORTS PRODUCTS,2020 HK,Hong Kong,72.45,2240610,162332194.5,0.75
KUAISHOU TECHNOLOGY,1024 HK,Hong Kong,31.26,4853100,151707906.0,0.7
CHINA RESOURCES LAND,1109 HK,Hong Kong,29.16,5141881,149937249.96,0.69
KE HOLDINGS INC-CL A,2423 HK,Hong Kong,44.56,3328766,148329812.96,0.68
CITIC,267 HK,Hong Kong,13.73,9322904,128003471.92,0.59
NONGFU SPRING,9633 HK,Hong Kong,39.5,3226911,127462984.5,0.59
CHINA HONGQIAO GROUP,1378 HK,Hong Kong,22.5,5507195,123911887.5,0.57
BANK OF COMMUNICATIONS,3328 HK,Hong Kong,8.09,14025708,113467977.72,0.52
CSPC PHARMACEUTICAL GROUP LT,1093 HK,Hong Kong,8.71,12925227,112578727.17,0.52
XPENG INC - CLASS A SHARES,9868 HK,Hong Kong,41.34,2609667,107883633.78,0.5
AKESO INC,9926 HK,Hong Kong,90.3,1181392,106679697.6,0.49
LI AUTO INC-CLASS A,2015 HK,Hong Kong,46.34,2186151,101306237.34,0.47
ZTO EXPRESS CAYMAN INC,2057 HK,Hong Kong,162.4,616827,100172704.8,0.46
POSTAL SAVINGS BANK OF CHI,1658 HK,Hong Kong,5.42,17499232,94845837.44,0.44
HANSOH PHARMACEUTICAL GROUP,3692 HK,Hong Kong,32.72,2430327,79520299.44,0.37
HORIZON ROBOTICS INC,9660 HK,Hong Kong,4.23,18678497,79010042.31,0.36
BNYM-USD LIQ-ADVANT,DRELIQP ID,,1.0,10008182,78490007.84,0.36
CHINA OVERSEAS LAND & INVEST,688 HK,Hong Kong,12.48,6138155,76604174.4,0.35
JD HEALTH INTERNATIONAL INC,6618 HK,Hong Kong,34.74,1800803,62559896.22,0.29
CHINA UNICOM HONG KONG,762 HK,Hong Kong,5.825,9806849,57124895.43,0.26
SHENZHOU INTERNATIONAL GROUP,2313 HK,Hong Kong,35.98,1324385,47651372.3,0.22
CALL HSCEI WEEKLY OPTION 09/11/26 8600,,,0.0,-15920,0.0,0.0
CALL HSCEI 09/29/26 C8600 OTC,,,25.0,-8500,-10625000.0,-0.05
CALL HSCEI 09/29/26 C8600 OTC,,,25.0,-9000,-11250000.0,-0.05
CALL HANG SENG CHINA ENT 09/29/26 8600,HSCEI 09/29/26 C8600,Hong Kong,25.0,-18710,-23387500.0,-0.11
HSCEI FUTURES 09/29/26,HCU6,Hong Kong,8245.0,10218,-128334250.0,-0.59
