Name of Securities,Exchange Ticker,Exchange,Market Price (in HKD),Number of Shares Held,Market Value (in HKD),Net Assets (%)
CHINA CONSTRUCTION BANK,939 HK,Hong Kong,8.9,157479507,1401567612.3,6.31
ALIBABA GROUP HOLDING,9988 HK,Hong Kong,122.2,11282464,1378717100.8,6.21
TENCENT HOLDINGS,700 HK,Hong Kong,446.4,3066592,1368926668.8,6.16
IND & COMM BK OF CHINA,1398 HK,Hong Kong,7.22,135024859,974879481.98,4.39
CHINA MOBILE,941 HK,Hong Kong,82.4,10196540,840194896.0,3.78
MEITUAN-CLASS B,3690 HK,Hong Kong,87.65,9099934,797609215.1,3.59
XIAOMI CORP-CLASS B,1810 HK,Hong Kong,25.88,29728155,769364651.4,3.46
BANK OF CHINA,3988 HK,Hong Kong,5.305,116396858,617485331.69,2.78
CNOOC,883 HK,Hong Kong,23.92,25528222,610635070.24,2.75
PING AN INSURANCE GROUP,2318 HK,Hong Kong,54.8,10976505,601512474.0,2.71
GLOBAL X USD MM ETF,3137 HK,Hong Kong,1131.8,488556,552947680.8,2.49
BYD,1211 HK,Hong Kong,90.05,6031824,543165751.2,2.45
SEMICONDUCTOR MANUFACTURI,981 HK,Hong Kong,75.15,6880261,517051614.15,2.33
NETEASE INC,9999 HK,Hong Kong,194.2,2593914,503738098.8,2.27
BEONE MEDICINES,6160 HK,Hong Kong,214.0,1985467,424889938.0,1.91
LENOVO GROUP,992 HK,Hong Kong,33.02,11173432,368946724.64,1.66
ZIJIN MINING GROUP,2899 HK,Hong Kong,35.92,9808835,352333353.2,1.59
CHINA LIFE INSURANCE,2628 HK,Hong Kong,27.98,12185992,340964056.16,1.54
PETROCHINA,857 HK,Hong Kong,9.565,34552395,330493658.18,1.49
CHINA MERCHANTS BANK,3968 HK,Hong Kong,47.82,6390298,305584050.36,1.38
JD.COM INC-CLASS A,9618 HK,Hong Kong,113.0,2609931,294922203.0,1.33
AGRICULTURAL BANK OF CHINA,1288 HK,Hong Kong,5.9,47820353,282140082.7,1.27
INNOVENT BIOLOGICS INC,1801 HK,Hong Kong,95.35,2699438,257391413.3,1.16
BAIDU INC-CLASS A,9888 HK,Hong Kong,100.3,2476962,248439288.6,1.12
CHINA SHENHUA ENERGY,1088 HK,Hong Kong,43.26,5254351,227303224.26,1.02
YUM CHINA HOLDINGS INC,9987 HK,Hong Kong,371.2,575491,213622259.2,0.96
KUAISHOU TECHNOLOGY,1024 HK,Hong Kong,40.08,4990200,200007216.0,0.9
GEELY AUTOMOBILE HOLDINGS LT,175 HK,Hong Kong,18.67,10609856,198086011.52,0.89
POP MART INTERNATIONAL GROUP,9992 HK,Hong Kong,153.5,1207979,185424776.5,0.83
CHINA RESOURCES LAND,1109 HK,Hong Kong,33.96,5254881,178455758.76,0.8
PICC PROPERTY & CASUALTY,2328 HK,Hong Kong,15.44,11298783,174453209.52,0.79
ANTA SPORTS PRODUCTS,2020 HK,Hong Kong,72.15,2290010,165224221.5,0.74
TRIP.COM GROUP,9961 HK,Hong Kong,355.2,451613,160412937.6,0.72
CHINA PETROLEUM & CHEMICAL,386 HK,Hong Kong,4.29,36998343,158722891.47,0.71
KE HOLDINGS INC-CL A,2423 HK,Hong Kong,44.22,3468066,153357878.52,0.69
NONGFU SPRING,9633 HK,Hong Kong,42.52,3297911,140227175.72,0.63
CHINA HONGQIAO GROUP,1378 HK,Hong Kong,23.32,5719695,133383287.4,0.6
XPENG INC - CLASS A SHARES,9868 HK,Hong Kong,46.62,2663967,124194141.54,0.56
CSPC PHARMACEUTICAL GROUP LT,1093 HK,Hong Kong,8.755,13209227,115646782.39,0.52
CITIC,267 HK,Hong Kong,12.13,9527904,115573475.52,0.52
ZTO EXPRESS CAYMAN INC,2057 HK,Hong Kong,180.2,630427,113602945.4,0.51
LI AUTO INC-CLASS A,2015 HK,Hong Kong,48.48,2298351,111424056.48,0.5
AKESO INC,9926 HK,Hong Kong,90.5,1207392,109268976.0,0.49
BANK OF COMMUNICATIONS,3328 HK,Hong Kong,7.3,14333708,104636068.4,0.47
HORIZON ROBOTICS INC,9660 HK,Hong Kong,4.985,19195097,95687558.55,0.43
POSTAL SAVINGS BANK OF CHI,1658 HK,Hong Kong,4.815,17884232,86112577.08,0.39
CHINA OVERSEAS LAND & INVEST,688 HK,Hong Kong,13.42,6273155,84185740.1,0.38
HANSOH PHARMACEUTICAL GROUP,3692 HK,Hong Kong,32.94,2480327,81701971.38,0.37
JD HEALTH INTERNATIONAL INC,6618 HK,Hong Kong,39.12,1840253,71990697.36,0.32
CHINA UNICOM HONG KONG,762 HK,Hong Kong,6.33,10022849,63444634.17,0.29
SHENZHOU INTERNATIONAL GROUP,2313 HK,Hong Kong,41.42,1353785,56073774.7,0.25
CALL HSCEI 08/28/26 C8700 OTC,,,22.0,-8500,-9350000.0,-0.04
HSCEI FUTURES 08/28/26,HCQ6,Hong Kong,8434.0,10479,-10135200.0,-0.05
CALL HSCEI 08/28/26 C8700 OTC,,,22.0,-11500,-12650000.0,-0.06
CALL HANG SENG CHINA ENT 08/28/26 8700,HSCEI 08/28/26 C8700,Hong Kong,22.0,-21310,-23441000.0,-0.11
CALL HSCEI WEEKLY OPTION 08/21/26 8400,,,87.0,-10400,-45240000.0,-0.2
