Name of Securities,Exchange Ticker,Exchange,Market Price (in HKD),Number of Shares Held,Market Value (in HKD),Net Assets (%)
CHINA CONSTRUCTION BANK,939 HK,Hong Kong,8.99,171837772,1544821570.28,6.88
TENCENT HOLDINGS,700 HK,Hong Kong,443.0,3346167,1482351981.0,6.6
ALIBABA GROUP HOLDING,9988 HK,Hong Kong,111.0,12311139,1366536429.0,6.08
IND & COMM BK OF CHINA,1398 HK,Hong Kong,7.29,147335704,1074077282.16,4.78
XIAOMI CORP-CLASS B,1810 HK,Hong Kong,28.68,32438660,930340768.8,4.14
CHINA MOBILE,941 HK,Hong Kong,82.5,11125860,917883450.0,4.09
MEITUAN-CLASS B,3690 HK,Hong Kong,89.3,9929514,886705600.2,3.95
BANK OF CHINA,3988 HK,Hong Kong,5.38,127008623,683306391.74,3.04
PING AN INSURANCE GROUP,2318 HK,Hong Kong,56.65,11977345,678516594.25,3.02
CNOOC,883 HK,Hong Kong,23.2,27854917,646234074.4,2.88
HSCEI FUTURES 07/30/26,HCN6,Hong Kong,8364.0,12805,594389270.43,2.65
BYD,1211 HK,Hong Kong,88.55,6581729,582812102.95,2.59
GLOBAL X USD MM ETF,3137 HK,Hong Kong,1131.0,488556,552556836.0,2.46
NETEASE INC,9999 HK,Hong Kong,191.0,2830374,540601434.0,2.41
SEMICONDUCTOR MANUFACTURI,981 HK,Hong Kong,70.65,7506936,530365028.4,2.36
BEONE MEDICINES,6160 HK,Hong Kong,199.7,2166472,432644458.4,1.93
CHINA LIFE INSURANCE,2628 HK,Hong Kong,28.66,13296287,381071585.42,1.7
PETROCHINA,857 HK,Hong Kong,9.85,37701350,371358297.5,1.65
ZIJIN MINING GROUP,2899 HK,Hong Kong,32.68,10700130,349680248.4,1.56
CHINA MERCHANTS BANK,3968 HK,Hong Kong,48.96,6972703,341383538.88,1.52
JD.COM INC-CLASS A,9618 HK,Hong Kong,119.2,2847861,339465031.2,1.51
AGRICULTURAL BANK OF CHINA,1288 HK,Hong Kong,6.03,52179888,314644724.64,1.4
LENOVO GROUP,992 HK,Hong Kong,24.32,12191292,296492221.44,1.32
BAIDU INC-CLASS A,9888 HK,Hong Kong,104.3,2702772,281899119.6,1.25
INNOVENT BIOLOGICS INC,1801 HK,Hong Kong,89.35,2945643,263193202.05,1.17
CHINA SHENHUA ENERGY,1088 HK,Hong Kong,43.06,5733121,246868190.26,1.1
KUAISHOU TECHNOLOGY,1024 HK,Hong Kong,42.66,5445130,232289245.8,1.03
GEELY AUTOMOBILE HOLDINGS LT,175 HK,Hong Kong,18.82,11576126,217862691.32,0.97
YUM CHINA HOLDINGS INC,9987 HK,Hong Kong,346.2,627936,217391443.2,0.97
POP MART INTERNATIONAL GROUP,9992 HK,Hong Kong,165.2,1317934,217722696.8,0.97
ANTA SPORTS PRODUCTS,2020 HK,Hong Kong,76.1,2498635,190146123.5,0.85
CHINA RESOURCES LAND,1109 HK,Hong Kong,32.78,5733636,187948588.08,0.84
PICC PROPERTY & CASUALTY,2328 HK,Hong Kong,15.03,12328313,185294544.39,0.82
TRIP.COM GROUP,9961 HK,Hong Kong,355.6,492773,175230078.8,0.78
CHINA PETROLEUM & CHEMICAL,386 HK,Hong Kong,4.31,40371133,173999583.23,0.77
KE HOLDINGS INC-CL A,2423 HK,Hong Kong,42.1,3784136,159312125.6,0.71
NONGFU SPRING,9633 HK,Hong Kong,40.34,3598401,145159496.34,0.65
CHINA HONGQIAO GROUP,1378 HK,Hong Kong,23.2,6240780,144786096.0,0.64
XPENG INC - CLASS A SHARES,9868 HK,Hong Kong,48.96,2906862,142319963.52,0.63
ZTO EXPRESS CAYMAN INC,2057 HK,Hong Kong,188.9,687837,129932409.3,0.58
AKESO INC,9926 HK,Hong Kong,98.6,1317347,129890414.2,0.58
CITIC,267 HK,Hong Kong,12.14,10395904,126206274.56,0.56
LI AUTO INC-CLASS A,2015 HK,Hong Kong,48.08,2507861,120577956.88,0.54
CSPC PHARMACEUTICAL GROUP LT,1093 HK,Hong Kong,8.3,14411957,119619243.1,0.53
BANK OF COMMUNICATIONS,3328 HK,Hong Kong,7.42,15640603,116053274.26,0.52
HORIZON ROBOTICS INC,9660 HK,Hong Kong,4.62,20944937,96765608.94,0.43
POSTAL SAVINGS BANK OF CHI,1658 HK,Hong Kong,4.94,19514172,96400009.68,0.43
CHINA OVERSEAS LAND & INVEST,688 HK,Hong Kong,13.4,6844845,91720923.0,0.41
HANSOH PHARMACEUTICAL GROUP,3692 HK,Hong Kong,32.3,2706072,87406125.6,0.39
JD HEALTH INTERNATIONAL INC,6618 HK,Hong Kong,37.78,2008068,75864809.04,0.34
CHINA UNICOM HONG KONG,762 HK,Hong Kong,6.68,10935604,73049834.72,0.33
SHENZHOU INTERNATIONAL GROUP,2313 HK,Hong Kong,43.26,1477080,63898480.8,0.28
CALL HSCEI 07/30/26 C7700 OTC,,,664.0,-11500,-381800000.0,-1.7
CALL HSCEI 07/30/26 C7700 OTC,,,664.0,-12500,-415000000.0,-1.85
CALL HANG SENG CHINA ENT 07/30/26 7700,HSCEI 07/30/26 C7700,Hong Kong,664.0,-32977,-1094836400.0,-4.87
