Name of Securities,Exchange Ticker,Exchange,Market Price (in HKD),Number of Shares Held,Market Value (in HKD),Net Assets (%)
CHINA CONSTRUCTION BANK,939 HK,Hong Kong,8.78,171837772,1508735638.16,6.72
TENCENT HOLDINGS,700 HK,Hong Kong,434.6,3346167,1454244178.2,6.48
ALIBABA GROUP HOLDING,9988 HK,Hong Kong,110.0,12311139,1354225290.0,6.03
IND & COMM BK OF CHINA,1398 HK,Hong Kong,7.19,147335704,1059343711.76,4.72
CHINA MOBILE,941 HK,Hong Kong,81.75,11125860,909539055.0,4.05
XIAOMI CORP-CLASS B,1810 HK,Hong Kong,26.72,32438660,866760995.2,3.86
MEITUAN-CLASS B,3690 HK,Hong Kong,86.7,9929514,860888863.8,3.83
PING AN INSURANCE GROUP,2318 HK,Hong Kong,56.9,11977345,681510930.5,3.04
BANK OF CHINA,3988 HK,Hong Kong,5.33,127008623,676955960.59,3.02
CNOOC,883 HK,Hong Kong,23.56,27854917,656261844.52,2.92
BYD,1211 HK,Hong Kong,88.65,6581729,583470275.85,2.6
SEMICONDUCTOR MANUFACTURI,981 HK,Hong Kong,71.35,7506936,535619883.6,2.39
HSCEI FUTURES 07/30/26,HCN6,Hong Kong,8271.0,12805,534846020.43,2.38
NETEASE INC,9999 HK,Hong Kong,187.7,2830374,531261199.8,2.37
BEONE MEDICINES,6160 HK,Hong Kong,199.2,2166472,431561222.4,1.92
GLOBAL X USD MM ETF,3137 HK,Hong Kong,1131.0,349556,395347836.0,1.76
PETROCHINA,857 HK,Hong Kong,10.21,37701350,384930783.5,1.71
CHINA LIFE INSURANCE,2628 HK,Hong Kong,28.44,13296287,378146402.28,1.68
ZIJIN MINING GROUP,2899 HK,Hong Kong,32.38,10700130,346470209.4,1.54
CHINA MERCHANTS BANK,3968 HK,Hong Kong,48.76,6972703,339988998.28,1.51
JD.COM INC-CLASS A,9618 HK,Hong Kong,118.1,2847861,336332384.1,1.5
AGRICULTURAL BANK OF CHINA,1288 HK,Hong Kong,5.88,52179888,306817741.44,1.37
LENOVO GROUP,992 HK,Hong Kong,24.34,12191292,296736047.28,1.32
BAIDU INC-CLASS A,9888 HK,Hong Kong,104.3,2702772,281899119.6,1.26
INNOVENT BIOLOGICS INC,1801 HK,Hong Kong,89.95,2945643,264960587.85,1.18
CHINA SHENHUA ENERGY,1088 HK,Hong Kong,43.46,5733121,249161438.66,1.11
KUAISHOU TECHNOLOGY,1024 HK,Hong Kong,42.1,5445130,229239973.0,1.02
GEELY AUTOMOBILE HOLDINGS LT,175 HK,Hong Kong,19.06,11576126,220640961.56,0.98
POP MART INTERNATIONAL GROUP,9992 HK,Hong Kong,160.9,1317934,212055580.6,0.94
YUM CHINA HOLDINGS INC,9987 HK,Hong Kong,336.8,627936,211488844.8,0.94
ANTA SPORTS PRODUCTS,2020 HK,Hong Kong,75.85,2498635,189521464.75,0.84
CHINA RESOURCES LAND,1109 HK,Hong Kong,32.68,5733636,187375224.48,0.83
PICC PROPERTY & CASUALTY,2328 HK,Hong Kong,15.05,12328313,185541110.65,0.83
CHINA PETROLEUM & CHEMICAL,386 HK,Hong Kong,4.27,40371133,172384737.91,0.77
TRIP.COM GROUP,9961 HK,Hong Kong,342.6,492773,168824029.8,0.75
KE HOLDINGS INC-CL A,2423 HK,Hong Kong,41.8,3784136,158176884.8,0.7
CHINA HONGQIAO GROUP,1378 HK,Hong Kong,23.3,6240780,145410174.0,0.65
XPENG INC - CLASS A SHARES,9868 HK,Hong Kong,49.48,2906862,143831531.76,0.64
NONGFU SPRING,9633 HK,Hong Kong,39.9,3598401,143576199.9,0.64
AKESO INC,9926 HK,Hong Kong,99.5,1317347,131076026.5,0.58
ZTO EXPRESS CAYMAN INC,2057 HK,Hong Kong,188.5,687837,129657274.5,0.58
CITIC,267 HK,Hong Kong,12.0,10395904,124750848.0,0.56
CSPC PHARMACEUTICAL GROUP LT,1093 HK,Hong Kong,8.55,14411957,123222232.35,0.55
LI AUTO INC-CLASS A,2015 HK,Hong Kong,47.98,2507861,120327170.78,0.54
BANK OF COMMUNICATIONS,3328 HK,Hong Kong,7.34,15640603,114802026.02,0.51
POSTAL SAVINGS BANK OF CHI,1658 HK,Hong Kong,4.91,19514172,95814584.52,0.43
HORIZON ROBOTICS INC,9660 HK,Hong Kong,4.42,20944937,92576621.54,0.41
CHINA OVERSEAS LAND & INVEST,688 HK,Hong Kong,13.28,6844845,90899541.6,0.4
HANSOH PHARMACEUTICAL GROUP,3692 HK,Hong Kong,32.24,2706072,87243761.28,0.39
JD HEALTH INTERNATIONAL INC,6618 HK,Hong Kong,37.0,2008068,74298516.0,0.33
CHINA UNICOM HONG KONG,762 HK,Hong Kong,6.6,10935604,72174986.4,0.32
SHENZHOU INTERNATIONAL GROUP,2313 HK,Hong Kong,42.58,1477080,62894066.4,0.28
CALL HSCEI 07/30/26 C7700 OTC,,,572.0,-11500,-328900000.0,-1.46
CALL HSCEI 07/30/26 C7700 OTC,,,572.0,-12500,-357500000.0,-1.59
CALL HANG SENG CHINA ENT 07/30/26 7700,HSCEI 07/30/26 C7700,Hong Kong,572.0,-32977,-943142200.0,-4.2
