Name of Securities,Exchange Ticker,Exchange,Market Price (in HKD),Number of Shares Held,Market Value (in HKD),Net Assets (%)
TENCENT HOLDINGS,700 HK,Hong Kong,469.6,3349772,1573052931.2,7.05
CHINA CONSTRUCTION BANK,939 HK,Hong Kong,8.07,172022913,1388224907.91,6.23
ALIBABA GROUP HOLDING,9988 HK,Hong Kong,108.0,12324403,1331035524.0,5.97
IND & COMM BK OF CHINA,1398 HK,Hong Kong,6.65,147494446,980838065.9,4.4
CHINA MOBILE,941 HK,Hong Kong,78.45,11137847,873764097.15,3.92
XIAOMI CORP-CLASS B,1810 HK,Hong Kong,25.0,32473610,811840250.0,3.64
MEITUAN-CLASS B,3690 HK,Hong Kong,78.5,9940212,780306642.0,3.5
PING AN INSURANCE GROUP,2318 HK,Hong Kong,53.25,11990249,638480759.25,2.86
BANK OF CHINA,3988 HK,Hong Kong,5.01,127145464,636998774.64,2.86
SEMICONDUCTOR MANUFACTURI,981 HK,Hong Kong,83.55,7515024,627880255.2,2.82
CNOOC,883 HK,Hong Kong,21.8,27884928,607891430.4,2.73
NETEASE INC,9999 HK,Hong Kong,212.6,2833423,602385729.8,2.7
BYD,1211 HK,Hong Kong,82.65,6588820,544565973.0,2.44
BEONE MEDICINES,6160 HK,Hong Kong,181.9,2168806,394505811.4,1.77
CHINA LIFE INSURANCE,2628 HK,Hong Kong,28.9,13310612,384676686.8,1.72
HSCEI FUTURES 07/30/26,HCN6,Hong Kong,7983.0,12818,350810174.87,1.57
PETROCHINA,857 HK,Hong Kong,9.04,37741970,341187408.8,1.53
ZIJIN MINING GROUP,2899 HK,Hong Kong,29.42,10711658,315136978.36,1.41
CHINA MERCHANTS BANK,3968 HK,Hong Kong,44.98,6980215,313970070.7,1.41
BAIDU INC-CLASS A,9888 HK,Hong Kong,114.4,2705684,309530249.6,1.39
JD.COM INC-CLASS A,9618 HK,Hong Kong,107.7,2850929,307045053.3,1.38
LENOVO GROUP,992 HK,Hong Kong,24.04,12204427,293394425.08,1.32
AGRICULTURAL BANK OF CHINA,1288 HK,Hong Kong,5.49,52236107,286776227.43,1.29
INNOVENT BIOLOGICS INC,1801 HK,Hong Kong,86.35,2948816,254630261.6,1.14
CHINA SHENHUA ENERGY,1088 HK,Hong Kong,41.14,5739297,236114678.58,1.06
KUAISHOU TECHNOLOGY,1024 HK,Hong Kong,42.1,5450996,229486931.6,1.03
GEELY AUTOMOBILE HOLDINGS LT,175 HK,Hong Kong,18.13,11588598,210101281.74,0.94
YUM CHINA HOLDINGS INC,9987 HK,Hong Kong,334.2,628612,210082130.4,0.94
POP MART INTERNATIONAL GROUP,9992 HK,Hong Kong,151.0,1319353,199222303.0,0.89
CHINA RESOURCES LAND,1109 HK,Hong Kong,31.64,5739813,181607683.32,0.81
ANTA SPORTS PRODUCTS,2020 HK,Hong Kong,71.75,2501327,179470212.25,0.8
PICC PROPERTY & CASUALTY,2328 HK,Hong Kong,14.28,12341595,176237976.6,0.79
CHINA PETROLEUM & CHEMICAL,386 HK,Hong Kong,4.09,40414629,165295832.61,0.74
TRIP.COM GROUP,9961 HK,Hong Kong,322.8,493303,159238208.4,0.71
KE HOLDINGS INC-CL A,2423 HK,Hong Kong,39.8,3788213,150770877.4,0.68
XPENG INC - CLASS A SHARES,9868 HK,Hong Kong,50.85,2909993,147973144.05,0.66
NONGFU SPRING,9633 HK,Hong Kong,40.28,3602277,145099717.56,0.65
ZTO EXPRESS CAYMAN INC,2057 HK,Hong Kong,182.8,688578,125872058.4,0.56
CHINA HONGQIAO GROUP,1378 HK,Hong Kong,20.12,6247503,125699760.36,0.56
AKESO INC,9926 HK,Hong Kong,94.65,1318766,124821201.9,0.56
LI AUTO INC-CLASS A,2015 HK,Hong Kong,46.76,2510563,117393925.88,0.53
CITIC,267 HK,Hong Kong,10.92,10407104,113645575.68,0.51
CSPC PHARMACEUTICAL GROUP LT,1093 HK,Hong Kong,7.84,14427484,113111474.56,0.51
BANK OF COMMUNICATIONS,3328 HK,Hong Kong,6.77,15657454,106000963.58,0.48
HORIZON ROBOTICS INC,9660 HK,Hong Kong,4.36,20967503,91418313.08,0.41
POSTAL SAVINGS BANK OF CHI,1658 HK,Hong Kong,4.66,19535196,91034013.36,0.41
GLOBAL X USD MM ETF,3137 HK,Hong Kong,1129.55,78260,88398583.0,0.4
CHINA OVERSEAS LAND & INVEST,688 HK,Hong Kong,12.54,6852219,85926826.26,0.39
HANSOH PHARMACEUTICAL GROUP,3692 HK,Hong Kong,31.16,2708987,84412034.92,0.38
JD HEALTH INTERNATIONAL INC,6618 HK,Hong Kong,36.5,2010231,73373431.5,0.33
CHINA UNICOM HONG KONG,762 HK,Hong Kong,6.35,10947386,69515901.1,0.31
SHENZHOU INTERNATIONAL GROUP,2313 HK,Hong Kong,43.28,1478671,63996880.88,0.29
CALL HSCEI 07/30/26 C7700 OTC,,,349.0,-11500,-200675000.0,-0.9
CALL HSCEI 07/30/26 C7700 OTC,,,349.0,-12500,-218125000.0,-0.98
CALL HANG SENG CHINA ENT 07/30/26 7700,HSCEI 07/30/26 C7700,Hong Kong,349.0,-33038,-576513100.0,-2.59
