Name of Securities,Exchange Ticker,Exchange,Market Price (in HKD),Number of Shares Held,Market Value (in HKD),Net Assets (%)
CHINA CONSTRUCTION BANK,939 HK,Hong Kong,9.89,148419507,1467868924.23,6.71
TENCENT HOLDINGS,700 HK,Hong Kong,430.6,3227892,1389930295.2,6.35
ALIBABA GROUP HOLDING,9988 HK,Hong Kong,105.9,12905964,1366741587.6,6.24
IND & COMM BK OF CHINA,1398 HK,Hong Kong,7.65,132115859,1010686321.35,4.62
GLOBAL X USD MM ETF,3137 HK,Hong Kong,1137.2,832556,946782683.2,4.33
CHINA MOBILE,941 HK,Hong Kong,79.2,9989540,791171568.0,3.61
XIAOMI CORP-CLASS B,1810 HK,Hong Kong,27.16,28920955,785493137.8,3.59
BANK OF CHINA,3988 HK,Hong Kong,6.085,113888858,693013700.93,3.17
MEITUAN-CLASS B,3690 HK,Hong Kong,75.05,8904434,668277771.7,3.05
CNOOC,883 HK,Hong Kong,24.46,24978222,610967310.12,2.79
PING AN INSURANCE GROUP,2318 HK,Hong Kong,53.6,10740005,575664268.0,2.63
NETEASE INC,9999 HK,Hong Kong,182.1,2821114,513724859.4,2.35
BYD,1211 HK,Hong Kong,80.2,5901924,473334304.8,2.16
SEMICONDUCTOR MANUFACTURI,981 HK,Hong Kong,61.3,7226761,443000449.3,2.02
BEONE MEDICINES,6160 HK,Hong Kong,212.8,1942667,413399537.6,1.89
LENOVO GROUP,992 HK,Hong Kong,32.14,11925432,383283384.48,1.75
CHINA LIFE INSURANCE,2628 HK,Hong Kong,29.8,11922992,355305161.6,1.62
PETROCHINA,857 HK,Hong Kong,9.92,33808395,335379278.4,1.53
ZIJIN MINING GROUP,2899 HK,Hong Kong,34.62,9596835,332242427.7,1.52
CHINA MERCHANTS BANK,3968 HK,Hong Kong,52.75,6252798,329835094.5,1.51
AGRICULTURAL BANK OF CHINA,1288 HK,Hong Kong,6.415,46790353,300160114.5,1.37
JD.COM INC-CLASS A,9618 HK,Hong Kong,106.0,2483681,263270186.0,1.2
INNOVENT BIOLOGICS INC,1801 HK,Hong Kong,96.85,2646438,256307520.3,1.17
CHINA SHENHUA ENERGY,1088 HK,Hong Kong,45.44,5141351,233622989.44,1.07
BAIDU INC-CLASS A-HKD,9888 HK,Hong Kong,89.3,2509412,224090491.6,1.02
PICC PROPERTY & CASUALTY,2328 HK,Hong Kong,17.03,11054783,188262954.49,0.86
YUM CHINA HOLDINGS INC,9987 HK,Hong Kong,332.8,552891,184002124.8,0.84
POP MART INTERNATIONAL GROUP,9992 HK,Hong Kong,152.9,1173779,179470809.1,0.82
TRIP.COM GROUP,9961 HK,Hong Kong,310.6,557413,173132477.8,0.79
GEELY AUTOMOBILE HOLDINGS LT,175 HK,Hong Kong,16.59,10368856,172019321.04,0.79
CHINA PETROLEUM & CHEMICAL,386 HK,Hong Kong,4.745,36202343,171780117.54,0.78
ANTA SPORTS PRODUCTS,2020 HK,Hong Kong,73.65,2240610,165020926.5,0.75
CHINA RESOURCES LAND,1109 HK,Hong Kong,29.3,5141881,150657113.3,0.69
KUAISHOU TECHNOLOGY,1024 HK,Hong Kong,30.58,4853100,148407798.0,0.68
KE HOLDINGS INC-CL A,2423 HK,Hong Kong,44.48,3328766,148063511.68,0.68
NONGFU SPRING,9633 HK,Hong Kong,39.74,3226911,128237443.14,0.59
CITIC,267 HK,Hong Kong,13.33,9322904,124274310.32,0.57
CHINA HONGQIAO GROUP,1378 HK,Hong Kong,22.2,5507195,122259729.0,0.56
CSPC PHARMACEUTICAL GROUP LT,1093 HK,Hong Kong,8.865,12925227,114582137.36,0.52
BANK OF COMMUNICATIONS,3328 HK,Hong Kong,8.16,14025708,114449777.28,0.52
AKESO INC,9926 HK,Hong Kong,95.7,1181392,113059214.4,0.52
XPENG INC - CLASS A SHARES,9868 HK,Hong Kong,42.02,2609667,109658207.34,0.5
LI AUTO INC-CLASS A,2015 HK,Hong Kong,47.52,2186151,103885895.52,0.47
ZTO EXPRESS CAYMAN INC,2057 HK,Hong Kong,163.3,616827,100727849.1,0.46
POSTAL SAVINGS BANK OF CHI,1658 HK,Hong Kong,5.385,17499232,94233364.32,0.43
HANSOH PHARMACEUTICAL GROUP,3692 HK,Hong Kong,34.4,2430327,83603248.8,0.38
BNYM-USD LIQ-ADVANT,DRELIQP ID,,1.0,10008182,78500473.83,0.36
HORIZON ROBOTICS INC,9660 HK,Hong Kong,4.185,18678497,78169509.95,0.36
CHINA OVERSEAS LAND & INVEST,688 HK,Hong Kong,12.31,6138155,75560688.05,0.35
JD HEALTH INTERNATIONAL INC,6618 HK,Hong Kong,34.8,1800803,62667944.4,0.29
CHINA UNICOM HONG KONG,762 HK,Hong Kong,6.02,9806849,59037230.98,0.27
SHENZHOU INTERNATIONAL GROUP,2313 HK,Hong Kong,35.46,1324385,46962692.1,0.21
CALL HSCEI 09/29/26 C8600 OTC,,,22.0,-8500,-9350000.0,-0.04
CALL HSCEI 09/29/26 C8600 OTC,,,22.0,-9000,-9900000.0,-0.05
CALL HSCEI WEEKLY OPTION 09/18/26 8375,,,29.0,-13280,-19256000.0,-0.09
CALL HANG SENG CHINA ENT 09/29/26 8600,HSCEI 09/29/26 C8600,Hong Kong,22.0,-18710,-20581000.0,-0.09
HSCEI FUTURES 09/29/26,HCU6,Hong Kong,8276.0,10218,-112496350.0,-0.51
