Name of Securities,Exchange Ticker,Exchange,Market Price (in HKD),Number of Shares Held,Market Value (in HKD),Net Assets (%)
TENCENT HOLDINGS,700 HK,Hong Kong,475.2,3066592,1457244518.4,6.53
CHINA CONSTRUCTION BANK,939 HK,Hong Kong,9.21,157479507,1450386259.47,6.5
ALIBABA GROUP HOLDING,9988 HK,Hong Kong,117.0,11282464,1320048288.0,5.92
IND & COMM BK OF CHINA,1398 HK,Hong Kong,7.51,135024859,1014036691.09,4.55
XIAOMI CORP-CLASS B,1810 HK,Hong Kong,28.78,29728155,855576300.9,3.84
CHINA MOBILE,941 HK,Hong Kong,83.65,10196540,852940571.0,3.82
MEITUAN-CLASS B,3690 HK,Hong Kong,92.5,9099934,841743895.0,3.77
PING AN INSURANCE GROUP,2318 HK,Hong Kong,58.65,10976505,643772018.25,2.89
BANK OF CHINA,3988 HK,Hong Kong,5.51,116396858,641346687.58,2.88
CNOOC,883 HK,Hong Kong,23.82,25528222,608082248.04,2.73
BYD,1211 HK,Hong Kong,94.15,6031824,567896229.6,2.55
GLOBAL X USD MM ETF,3137 HK,Hong Kong,1132.7,488556,553387381.2,2.48
NETEASE INC,9999 HK,Hong Kong,207.8,2593914,539015329.2,2.42
SEMICONDUCTOR MANUFACTURI,981 HK,Hong Kong,63.25,6880261,435176508.25,1.95
BEONE MEDICINES,6160 HK,Hong Kong,194.0,1985467,385180598.0,1.73
CHINA LIFE INSURANCE,2628 HK,Hong Kong,29.2,12185992,355830966.4,1.6
PETROCHINA,857 HK,Hong Kong,9.94,34552395,343450806.3,1.54
JD.COM INC-CLASS A,9618 HK,Hong Kong,127.1,2609931,331722230.1,1.49
ZIJIN MINING GROUP,2899 HK,Hong Kong,33.24,9808835,326045675.4,1.46
CHINA MERCHANTS BANK,3968 HK,Hong Kong,50.9,6390298,325266168.2,1.46
AGRICULTURAL BANK OF CHINA,1288 HK,Hong Kong,6.31,47820353,301746427.43,1.35
LENOVO GROUP,992 HK,Hong Kong,23.86,11173432,266598087.52,1.2
BAIDU INC-CLASS A,9888 HK,Hong Kong,105.9,2476962,262310275.8,1.18
INNOVENT BIOLOGICS INC,1801 HK,Hong Kong,86.7,2699438,234041274.6,1.05
CHINA SHENHUA ENERGY,1088 HK,Hong Kong,43.46,5254351,228354094.46,1.02
KUAISHOU TECHNOLOGY,1024 HK,Hong Kong,43.7,4990200,218071740.0,0.98
YUM CHINA HOLDINGS INC,9987 HK,Hong Kong,372.8,575491,214543044.8,0.96
GEELY AUTOMOBILE HOLDINGS LT,175 HK,Hong Kong,19.8,10609856,210075148.8,0.94
POP MART INTERNATIONAL GROUP,9992 HK,Hong Kong,162.6,1207979,196417385.4,0.88
PICC PROPERTY & CASUALTY,2328 HK,Hong Kong,16.4,11298783,185300041.2,0.83
ANTA SPORTS PRODUCTS,2020 HK,Hong Kong,78.95,2290010,180796289.5,0.81
CHINA RESOURCES LAND,1109 HK,Hong Kong,33.2,5254881,174462049.2,0.78
TRIP.COM GROUP,9961 HK,Hong Kong,366.4,451613,165471003.2,0.74
CHINA PETROLEUM & CHEMICAL,386 HK,Hong Kong,4.43,36998343,163902659.49,0.73
KE HOLDINGS INC-CL A,2423 HK,Hong Kong,43.42,3468066,150583425.72,0.68
NONGFU SPRING,9633 HK,Hong Kong,43.78,3297911,144382543.58,0.65
CHINA HONGQIAO GROUP,1378 HK,Hong Kong,24.54,5719695,140361315.3,0.63
XPENG INC - CLASS A SHARES,9868 HK,Hong Kong,50.6,2663967,134796730.2,0.6
LI AUTO INC-CLASS A,2015 HK,Hong Kong,53.4,2298351,122731943.4,0.55
CITIC,267 HK,Hong Kong,12.37,9527904,117860172.48,0.53
ZTO EXPRESS CAYMAN INC,2057 HK,Hong Kong,186.8,630427,117763763.6,0.53
AKESO INC,9926 HK,Hong Kong,93.95,1207392,113434478.4,0.51
CSPC PHARMACEUTICAL GROUP LT,1093 HK,Hong Kong,8.58,13209227,113335167.66,0.51
BANK OF COMMUNICATIONS,3328 HK,Hong Kong,7.56,14333708,108362832.48,0.49
HORIZON ROBOTICS INC,9660 HK,Hong Kong,5.17,19195097,99238651.49,0.44
POSTAL SAVINGS BANK OF CHI,1658 HK,Hong Kong,5.08,17884232,90851898.56,0.41
CHINA OVERSEAS LAND & INVEST,688 HK,Hong Kong,13.51,6273155,84750324.05,0.38
HANSOH PHARMACEUTICAL GROUP,3692 HK,Hong Kong,32.18,2480327,79816922.86,0.36
JD HEALTH INTERNATIONAL INC,6618 HK,Hong Kong,39.4,1840253,72505968.2,0.33
CHINA UNICOM HONG KONG,762 HK,Hong Kong,6.72,10022849,67353545.28,0.3
SHENZHOU INTERNATIONAL GROUP,2313 HK,Hong Kong,44.58,1353785,60351735.3,0.27
