Name of Securities,Exchange Ticker,Exchange,Market Price (in HKD),Number of Shares Held,Market Value (in HKD),Net Assets (%)
ALIBABA GROUP HOLDING,9988 HK,Hong Kong,126.7,11282464,1429488188.8,6.42
CHINA CONSTRUCTION BANK,939 HK,Hong Kong,8.96,157479507,1411016382.72,6.34
TENCENT HOLDINGS,700 HK,Hong Kong,442.4,3066592,1356660300.8,6.1
IND & COMM BK OF CHINA,1398 HK,Hong Kong,7.275,135024859,982305849.23,4.41
CHINA MOBILE,941 HK,Hong Kong,82.1,10196540,837135934.0,3.76
MEITUAN-CLASS B,3690 HK,Hong Kong,85.55,9099934,778499353.7,3.5
XIAOMI CORP-CLASS B,1810 HK,Hong Kong,26.18,29728155,778283097.9,3.5
CNOOC,883 HK,Hong Kong,24.42,25528222,623399181.24,2.8
BANK OF CHINA,3988 HK,Hong Kong,5.32,116396858,619231284.56,2.78
PING AN INSURANCE GROUP,2318 HK,Hong Kong,53.9,10976505,591633619.5,2.66
GLOBAL X USD MM ETF,3137 HK,Hong Kong,1134.6,488556,554315637.6,2.49
BYD,1211 HK,Hong Kong,90.0,6031824,542864160.0,2.44
SEMICONDUCTOR MANUFACTURI,981 HK,Hong Kong,75.85,6880261,521867796.85,2.35
NETEASE INC,9999 HK,Hong Kong,193.8,2593914,502700533.2,2.26
BEONE MEDICINES,6160 HK,Hong Kong,220.8,1985467,438391113.6,1.97
LENOVO GROUP,992 HK,Hong Kong,31.34,11173432,350175358.88,1.57
ZIJIN MINING GROUP,2899 HK,Hong Kong,35.5,9808835,348213642.5,1.56
PETROCHINA,857 HK,Hong Kong,9.805,34552395,338786232.98,1.52
CHINA LIFE INSURANCE,2628 HK,Hong Kong,26.88,12185992,327559464.96,1.47
CHINA MERCHANTS BANK,3968 HK,Hong Kong,48.0,6390298,306734304.0,1.38
AGRICULTURAL BANK OF CHINA,1288 HK,Hong Kong,6.09,47820353,291225949.77,1.31
JD.COM INC-CLASS A,9618 HK,Hong Kong,111.0,2609931,289702341.0,1.3
INNOVENT BIOLOGICS INC,1801 HK,Hong Kong,96.65,2699438,260900682.7,1.17
BAIDU INC-CLASS A,9888 HK,Hong Kong,101.1,2476962,250420858.2,1.13
CHINA SHENHUA ENERGY,1088 HK,Hong Kong,43.64,5254351,229299877.64,1.03
YUM CHINA HOLDINGS INC,9987 HK,Hong Kong,368.6,575491,212125982.6,0.95
KUAISHOU TECHNOLOGY,1024 HK,Hong Kong,39.38,4990200,196514076.0,0.88
GEELY AUTOMOBILE HOLDINGS LT,175 HK,Hong Kong,18.26,10609856,193735970.56,0.87
POP MART INTERNATIONAL GROUP,9992 HK,Hong Kong,150.1,1207979,181317647.9,0.81
CHINA RESOURCES LAND,1109 HK,Hong Kong,34.24,5254881,179927125.44,0.81
PICC PROPERTY & CASUALTY,2328 HK,Hong Kong,15.25,11298783,172306440.75,0.77
ANTA SPORTS PRODUCTS,2020 HK,Hong Kong,72.1,2290010,165109721.0,0.74
CHINA PETROLEUM & CHEMICAL,386 HK,Hong Kong,4.31,36998343,159462858.33,0.72
TRIP.COM GROUP,9961 HK,Hong Kong,350.2,451613,158154872.6,0.71
KE HOLDINGS INC-CL A,2423 HK,Hong Kong,43.98,3468066,152525542.68,0.69
NONGFU SPRING,9633 HK,Hong Kong,42.16,3297911,139039927.76,0.62
CHINA HONGQIAO GROUP,1378 HK,Hong Kong,22.96,5719695,131324197.2,0.59
XPENG INC - CLASS A SHARES,9868 HK,Hong Kong,47.26,2663967,125899080.42,0.57
CSPC PHARMACEUTICAL GROUP LT,1093 HK,Hong Kong,8.8,13209227,116241197.6,0.52
CITIC,267 HK,Hong Kong,12.2,9527904,116240428.8,0.52
ZTO EXPRESS CAYMAN INC,2057 HK,Hong Kong,182.8,630427,115242055.6,0.52
LI AUTO INC-CLASS A,2015 HK,Hong Kong,47.88,2298351,110045045.88,0.49
AKESO INC,9926 HK,Hong Kong,91.0,1207392,109872672.0,0.49
BANK OF COMMUNICATIONS,3328 HK,Hong Kong,7.345,14333708,105281085.26,0.47
HORIZON ROBOTICS INC,9660 HK,Hong Kong,4.72,19195097,90600857.84,0.41
CHINA OVERSEAS LAND & INVEST,688 HK,Hong Kong,13.89,6273155,87134122.95,0.39
POSTAL SAVINGS BANK OF CHI,1658 HK,Hong Kong,4.82,17884232,86201998.24,0.39
HANSOH PHARMACEUTICAL GROUP,3692 HK,Hong Kong,32.88,2480327,81553151.76,0.37
JD HEALTH INTERNATIONAL INC,6618 HK,Hong Kong,38.5,1840253,70849740.5,0.32
CHINA UNICOM HONG KONG,762 HK,Hong Kong,6.27,10022849,62843263.23,0.28
SHENZHOU INTERNATIONAL GROUP,2313 HK,Hong Kong,40.6,1353785,54963671.0,0.25
HSCEI FUTURES 08/28/26,HCQ6,Hong Kong,8441.0,10191,-6395550.0,-0.03
CALL HSCEI 08/28/26 C8700 OTC,,,17.0,-8500,-7225000.0,-0.03
CALL HSCEI 08/28/26 C8700 OTC,,,17.0,-11500,-9775000.0,-0.04
CALL HANG SENG CHINA ENT 08/28/26 8700,HSCEI 08/28/26 C8700,Hong Kong,17.0,-21310,-18113500.0,-0.08
CALL HSCEI WEEKLY OPTION 08/21/26 8400,,,83.0,-10400,-43160000.0,-0.19
