Name of Securities,Exchange Ticker,Exchange,Market Price (in HKD),Number of Shares Held,Market Value (in HKD),Net Assets (%)
TENCENT HOLDINGS,700 HK,Hong Kong,461.6,3346167,1544590687.2,6.89
CHINA CONSTRUCTION BANK,939 HK,Hong Kong,8.29,171837772,1424535129.88,6.36
ALIBABA GROUP HOLDING,9988 HK,Hong Kong,112.6,12311139,1386234251.4,6.19
IND & COMM BK OF CHINA,1398 HK,Hong Kong,6.91,147335704,1018089714.64,4.54
CHINA MOBILE,941 HK,Hong Kong,79.95,11125860,889512507.0,3.97
XIAOMI CORP-CLASS B,1810 HK,Hong Kong,26.88,32438660,871951180.8,3.89
MEITUAN-CLASS B,3690 HK,Hong Kong,83.65,9929514,830603846.1,3.71
PING AN INSURANCE GROUP,2318 HK,Hong Kong,54.6,11977345,653963037.0,2.92
BANK OF CHINA,3988 HK,Hong Kong,5.08,127008623,645203804.84,2.88
CNOOC,883 HK,Hong Kong,22.72,27854917,632863714.24,2.82
BYD,1211 HK,Hong Kong,88.7,6581729,583799362.3,2.6
NETEASE INC,9999 HK,Hong Kong,202.8,2830374,573999847.2,2.56
SEMICONDUCTOR MANUFACTURI,981 HK,Hong Kong,67.7,7506936,508219567.2,2.27
HSCEI FUTURES 07/30/26,HCN6,Hong Kong,8108.0,12805,430485270.43,1.92
BEONE MEDICINES,6160 HK,Hong Kong,185.6,2166472,402097203.2,1.79
PETROCHINA,857 HK,Hong Kong,9.59,37701350,361555946.5,1.61
CHINA LIFE INSURANCE,2628 HK,Hong Kong,26.48,13296287,352085679.76,1.57
JD.COM INC-CLASS A,9618 HK,Hong Kong,116.3,2847861,331206234.3,1.48
CHINA MERCHANTS BANK,3968 HK,Hong Kong,47.08,6972703,328274857.24,1.46
ZIJIN MINING GROUP,2899 HK,Hong Kong,29.38,10700130,314369819.4,1.4
AGRICULTURAL BANK OF CHINA,1288 HK,Hong Kong,5.68,52179888,296381763.84,1.32
BAIDU INC-CLASS A,9888 HK,Hong Kong,106.5,2702772,287845218.0,1.28
GLOBAL X USD MM ETF,3137 HK,Hong Kong,1128.45,238556,269198518.2,1.2
INNOVENT BIOLOGICS INC,1801 HK,Hong Kong,88.95,2945643,262014944.85,1.17
LENOVO GROUP,992 HK,Hong Kong,21.42,12191292,261137474.64,1.17
CHINA SHENHUA ENERGY,1088 HK,Hong Kong,42.4,5733121,243084330.4,1.08
KUAISHOU TECHNOLOGY,1024 HK,Hong Kong,43.28,5445130,235665226.4,1.05
YUM CHINA HOLDINGS INC,9987 HK,Hong Kong,347.8,627936,218396140.8,0.97
POP MART INTERNATIONAL GROUP,9992 HK,Hong Kong,163.6,1317934,215614002.4,0.96
GEELY AUTOMOBILE HOLDINGS LT,175 HK,Hong Kong,18.48,11576126,213926808.48,0.95
CHINA RESOURCES LAND,1109 HK,Hong Kong,33.72,5733636,193338205.92,0.86
ANTA SPORTS PRODUCTS,2020 HK,Hong Kong,74.15,2498635,185273785.25,0.83
PICC PROPERTY & CASUALTY,2328 HK,Hong Kong,14.18,12328313,174815478.34,0.78
CHINA PETROLEUM & CHEMICAL,386 HK,Hong Kong,4.26,40371133,171981026.58,0.77
KE HOLDINGS INC-CL A,2423 HK,Hong Kong,45.04,3784136,170437485.44,0.76
TRIP.COM GROUP,9961 HK,Hong Kong,338.4,492773,166754383.2,0.74
NONGFU SPRING,9633 HK,Hong Kong,42.22,3598401,151924490.22,0.68
XPENG INC - CLASS A SHARES,9868 HK,Hong Kong,51.65,2906862,150139422.3,0.67
CHINA HONGQIAO GROUP,1378 HK,Hong Kong,22.1,6240780,137921238.0,0.62
ZTO EXPRESS CAYMAN INC,2057 HK,Hong Kong,189.2,687837,130138760.4,0.58
LI AUTO INC-CLASS A,2015 HK,Hong Kong,48.94,2507861,122734717.34,0.55
CITIC,267 HK,Hong Kong,11.3,10395904,117473715.2,0.52
AKESO INC,9926 HK,Hong Kong,88.35,1317347,116387607.45,0.52
CSPC PHARMACEUTICAL GROUP LT,1093 HK,Hong Kong,8.1,14411957,116736851.7,0.52
BANK OF COMMUNICATIONS,3328 HK,Hong Kong,6.97,15640603,109015002.91,0.49
POSTAL SAVINGS BANK OF CHI,1658 HK,Hong Kong,4.85,19514172,94643734.2,0.42
CHINA OVERSEAS LAND & INVEST,688 HK,Hong Kong,13.37,6844845,91515577.65,0.41
HORIZON ROBOTICS INC,9660 HK,Hong Kong,4.33,20944937,90691577.21,0.4
HANSOH PHARMACEUTICAL GROUP,3692 HK,Hong Kong,31.8,2706072,86053089.6,0.38
JD HEALTH INTERNATIONAL INC,6618 HK,Hong Kong,37.22,2008068,74740290.96,0.33
CHINA UNICOM HONG KONG,762 HK,Hong Kong,6.38,10935604,69769153.52,0.31
SHENZHOU INTERNATIONAL GROUP,2313 HK,Hong Kong,44.4,1477080,65582352.0,0.29
CALL HSCEI 07/30/26 C7700 OTC,,,441.0,-11500,-253575000.0,-1.13
CALL HSCEI 07/30/26 C7700 OTC,,,441.0,-12500,-275625000.0,-1.23
CALL HANG SENG CHINA ENT 07/30/26 7700,HSCEI 07/30/26 C7700,Hong Kong,441.0,-32977,-727142850.0,-3.24
