Name of Securities,Exchange Ticker,Exchange,Market Price (in HKD),Number of Shares Held,Market Value (in HKD),Net Assets (%)
CHINA CONSTRUCTION BANK,939 HK,Hong Kong,9.565,157479507,1506291484.46,6.85
TENCENT HOLDINGS,700 HK,Hong Kong,433.0,3066592,1327834336.0,6.04
ALIBABA GROUP HOLDING,9988 HK,Hong Kong,107.5,11282464,1212864880.0,5.52
IND & COMM BK OF CHINA,1398 HK,Hong Kong,7.545,135024859,1018762561.16,4.63
GLOBAL X USD MM ETF,3137 HK,Hong Kong,1136.85,832556,946491288.6,4.3
XIAOMI CORP-CLASS B,1810 HK,Hong Kong,27.44,29728155,815740573.2,3.71
CHINA MOBILE,941 HK,Hong Kong,79.25,10196540,808075795.0,3.67
MEITUAN-CLASS B,3690 HK,Hong Kong,77.65,9099934,706609875.1,3.21
BANK OF CHINA,3988 HK,Hong Kong,5.95,116396858,692561305.1,3.15
CNOOC,883 HK,Hong Kong,24.74,25528222,631568212.28,2.87
PING AN INSURANCE GROUP,2318 HK,Hong Kong,56.95,10976505,625111959.75,2.84
BYD,1211 HK,Hong Kong,85.7,6031824,516927316.8,2.35
NETEASE INC,9999 HK,Hong Kong,183.0,2593914,474686262.0,2.16
SEMICONDUCTOR MANUFACTURI,981 HK,Hong Kong,68.05,6880261,468201761.05,2.13
BEONE MEDICINES,6160 HK,Hong Kong,218.2,1985467,433228899.4,1.97
CHINA LIFE INSURANCE,2628 HK,Hong Kong,29.92,12185992,364604880.64,1.66
ZIJIN MINING GROUP,2899 HK,Hong Kong,36.34,9808835,356453063.9,1.62
PETROCHINA,857 HK,Hong Kong,10.02,34552395,346214997.9,1.57
LENOVO GROUP,992 HK,Hong Kong,30.54,11173432,341236613.28,1.55
CHINA MERCHANTS BANK,3968 HK,Hong Kong,51.9,6390298,331656466.2,1.51
AGRICULTURAL BANK OF CHINA,1288 HK,Hong Kong,6.395,47820353,305811157.44,1.39
JD.COM INC-CLASS A,9618 HK,Hong Kong,106.9,2609931,279001623.9,1.27
INNOVENT BIOLOGICS INC,1801 HK,Hong Kong,102.6,2699438,276962338.8,1.26
CHINA SHENHUA ENERGY,1088 HK,Hong Kong,44.78,5254351,235289837.78,1.07
BAIDU INC-CLASS A-HKD,9888 HK,Hong Kong,91.5,2476962,226642023.0,1.03
YUM CHINA HOLDINGS INC,9987 HK,Hong Kong,345.4,575491,198774591.4,0.9
PICC PROPERTY & CASUALTY,2328 HK,Hong Kong,17.45,11298783,197163763.35,0.9
POP MART INTERNATIONAL GROUP,9992 HK,Hong Kong,153.4,1207979,185303978.6,0.84
GEELY AUTOMOBILE HOLDINGS LT,175 HK,Hong Kong,17.22,10609856,182701720.32,0.83
CHINA PETROLEUM & CHEMICAL,386 HK,Hong Kong,4.725,36998343,174817170.68,0.79
ANTA SPORTS PRODUCTS,2020 HK,Hong Kong,75.85,2290010,173697258.5,0.79
KUAISHOU TECHNOLOGY,1024 HK,Hong Kong,32.76,4990200,163478952.0,0.74
KE HOLDINGS INC-CL A,2423 HK,Hong Kong,46.44,3468066,161056985.04,0.73
CHINA RESOURCES LAND,1109 HK,Hong Kong,30.46,5254881,160063675.26,0.73
TRIP.COM GROUP,9961 HK,Hong Kong,325.2,451613,146864547.6,0.67
NONGFU SPRING,9633 HK,Hong Kong,41.52,3297911,136929264.72,0.62
CHINA HONGQIAO GROUP,1378 HK,Hong Kong,23.26,5719695,133040105.7,0.6
CSPC PHARMACEUTICAL GROUP LT,1093 HK,Hong Kong,9.61,13209227,126940671.47,0.58
CITIC,267 HK,Hong Kong,13.27,9527904,126435286.08,0.57
XPENG INC - CLASS A SHARES,9868 HK,Hong Kong,42.8,2663967,114017787.6,0.52
BANK OF COMMUNICATIONS,3328 HK,Hong Kong,7.86,14333708,112662944.88,0.51
AKESO INC,9926 HK,Hong Kong,90.8,1207392,109631193.6,0.5
LI AUTO INC-CLASS A,2015 HK,Hong Kong,46.38,2298351,106597519.38,0.48
ZTO EXPRESS CAYMAN INC,2057 HK,Hong Kong,161.5,630427,101813960.5,0.46
POSTAL SAVINGS BANK OF CHI,1658 HK,Hong Kong,5.38,17884232,96217168.16,0.44
HANSOH PHARMACEUTICAL GROUP,3692 HK,Hong Kong,35.96,2480327,89192558.92,0.41
HORIZON ROBOTICS INC,9660 HK,Hong Kong,4.37,19195097,83882573.89,0.38
CHINA OVERSEAS LAND & INVEST,688 HK,Hong Kong,13.17,6273155,82617451.35,0.38
BNYM-USD LIQ-ADVANT,DRELIQP ID,,1.0,10008182,78465392.99,0.36
JD HEALTH INTERNATIONAL INC,6618 HK,Hong Kong,36.0,1840253,66249108.0,0.3
CHINA UNICOM HONG KONG,762 HK,Hong Kong,5.605,10022849,56178068.65,0.26
SHENZHOU INTERNATIONAL GROUP,2313 HK,Hong Kong,36.48,1353785,49386076.8,0.22
CALL HSCEI WEEKLY OPTION 09/04/26 8525,,,1.0,-365,-18250.0,0.0
CALL HSCEI WEEKLY OPTION 09/04/26 8550,,,1.0,-15500,-775000.0,0.0
CALL HSCEI 09/29/26 C8600 OTC,,,61.0,-8500,-25925000.0,-0.12
CALL HSCEI 09/29/26 C8600 OTC,,,61.0,-9000,-27450000.0,-0.12
CALL HANG SENG CHINA ENT 09/29/26 8600,HSCEI 09/29/26 C8600,Hong Kong,61.0,-18710,-57065500.0,-0.26
HSCEI FUTURES 09/29/26,HCU6,Hong Kong,8366.0,10163,-65996600.0,-0.3
