Name of Securities,Exchange Ticker,Exchange,Market Price (in HKD),Number of Shares Held,Market Value (in HKD),Net Assets (%)
CHINA CONSTRUCTION BANK,939 HK,Hong Kong,9.135,157479507,1438575296.45,6.43
TENCENT HOLDINGS,700 HK,Hong Kong,447.8,3066592,1373219897.6,6.14
ALIBABA GROUP HOLDING,9988 HK,Hong Kong,115.5,11282464,1303124592.0,5.82
IND & COMM BK OF CHINA,1398 HK,Hong Kong,7.455,135024859,1006610323.85,4.5
GLOBAL X USD MM ETF,3137 HK,Hong Kong,1135.5,832556,945367338.0,4.22
XIAOMI CORP-CLASS B,1810 HK,Hong Kong,27.48,29728155,816929699.4,3.65
CHINA MOBILE,941 HK,Hong Kong,79.45,10196540,810115103.0,3.62
MEITUAN-CLASS B,3690 HK,Hong Kong,77.5,9099934,705244885.0,3.15
CNOOC,883 HK,Hong Kong,25.12,25528222,641268936.64,2.87
BANK OF CHINA,3988 HK,Hong Kong,5.505,116396858,640764703.29,2.86
PING AN INSURANCE GROUP,2318 HK,Hong Kong,57.2,10976505,627856086.0,2.81
BYD,1211 HK,Hong Kong,91.25,6031824,550403940.0,2.46
NETEASE INC,9999 HK,Hong Kong,193.2,2593914,501144184.8,2.24
SEMICONDUCTOR MANUFACTURI,981 HK,Hong Kong,71.3,6880261,490562609.3,2.19
BEONE MEDICINES,6160 HK,Hong Kong,226.0,1985467,448715542.0,2.01
ZIJIN MINING GROUP,2899 HK,Hong Kong,37.66,9808835,369400726.1,1.65
CHINA LIFE INSURANCE,2628 HK,Hong Kong,29.32,12185992,357293285.44,1.6
PETROCHINA,857 HK,Hong Kong,9.97,34552395,344487378.15,1.54
LENOVO GROUP,992 HK,Hong Kong,30.72,11173432,343247831.04,1.53
CHINA MERCHANTS BANK,3968 HK,Hong Kong,49.52,6390298,316447556.96,1.41
AGRICULTURAL BANK OF CHINA,1288 HK,Hong Kong,6.24,47820353,298399002.72,1.33
JD.COM INC-CLASS A,9618 HK,Hong Kong,112.1,2609931,292573265.1,1.31
INNOVENT BIOLOGICS INC,1801 HK,Hong Kong,107.6,2699438,290459528.8,1.3
CHINA SHENHUA ENERGY,1088 HK,Hong Kong,45.72,5254351,240228927.72,1.07
BAIDU INC-CLASS A,9888 HK,Hong Kong,95.75,2476962,237169111.5,1.06
YUM CHINA HOLDINGS INC,9987 HK,Hong Kong,358.6,575491,206371072.6,0.92
GEELY AUTOMOBILE HOLDINGS LT,175 HK,Hong Kong,18.3,10609856,194160364.8,0.87
POP MART INTERNATIONAL GROUP,9992 HK,Hong Kong,154.0,1207979,186028766.0,0.83
PICC PROPERTY & CASUALTY,2328 HK,Hong Kong,16.12,11298783,182136381.96,0.81
ANTA SPORTS PRODUCTS,2020 HK,Hong Kong,77.8,2290010,178162778.0,0.8
CHINA RESOURCES LAND,1109 HK,Hong Kong,33.84,5254881,177825173.04,0.79
CHINA PETROLEUM & CHEMICAL,386 HK,Hong Kong,4.68,36998343,173152245.24,0.77
KUAISHOU TECHNOLOGY,1024 HK,Hong Kong,33.66,4990200,167970132.0,0.75
KE HOLDINGS INC-CL A,2423 HK,Hong Kong,47.06,3468066,163207185.96,0.73
TRIP.COM GROUP,9961 HK,Hong Kong,355.0,451613,160322615.0,0.72
NONGFU SPRING,9633 HK,Hong Kong,42.94,3297911,141612298.34,0.63
CHINA HONGQIAO GROUP,1378 HK,Hong Kong,23.14,5719695,132353742.3,0.59
CSPC PHARMACEUTICAL GROUP LT,1093 HK,Hong Kong,9.68,13209227,127865317.36,0.57
AKESO INC,9926 HK,Hong Kong,101.2,1207392,122188070.4,0.55
CITIC,267 HK,Hong Kong,12.82,9527904,122147729.28,0.55
XPENG INC - CLASS A SHARES,9868 HK,Hong Kong,45.12,2663967,120198191.04,0.54
LI AUTO INC-CLASS A,2015 HK,Hong Kong,48.6,2298351,111699858.6,0.5
BANK OF COMMUNICATIONS,3328 HK,Hong Kong,7.54,14333708,108076158.32,0.48
ZTO EXPRESS CAYMAN INC,2057 HK,Hong Kong,166.2,630427,104776967.4,0.47
HANSOH PHARMACEUTICAL GROUP,3692 HK,Hong Kong,36.82,2480327,91325640.14,0.41
HORIZON ROBOTICS INC,9660 HK,Hong Kong,4.745,19195097,91080735.27,0.41
CHINA OVERSEAS LAND & INVEST,688 HK,Hong Kong,14.17,6273155,88890606.35,0.4
POSTAL SAVINGS BANK OF CHI,1658 HK,Hong Kong,4.97,17884232,88884633.04,0.4
BNYM-USD LIQ-ADVANT,DRELIQP ID,,1.0,10000000,78393866.46,0.35
JD HEALTH INTERNATIONAL INC,6618 HK,Hong Kong,36.74,1840253,67610895.22,0.3
CHINA UNICOM HONG KONG,762 HK,Hong Kong,5.665,10022849,56779439.59,0.25
SHENZHOU INTERNATIONAL GROUP,2313 HK,Hong Kong,36.94,1353785,50008817.9,0.22
CALL HSCEI 08/28/26 C8700 OTC,,,1.0,-8500,-425000.0,0.0
CALL HSCEI 08/28/26 C8700 OTC,,,1.0,-11500,-575000.0,0.0
CALL HANG SENG CHINA ENT 08/28/26 8700,HSCEI 08/28/26 C8700,Hong Kong,1.0,-31710,-1585500.0,-0.01
HSCEI FUTURES 09/29/26,HCU6,Hong Kong,8479.0,9733,-8790250.0,-0.04
