Name of Securities,Exchange Ticker,Exchange,Market Price (in HKD),Number of Shares Held,Market Value (in HKD),Net Assets (%)
TENCENT HOLDINGS,700 HK,Hong Kong,457.6,3346167,1531206019.2,6.86
CHINA CONSTRUCTION BANK,939 HK,Hong Kong,8.22,171837772,1412506485.84,6.32
ALIBABA GROUP HOLDING,9988 HK,Hong Kong,110.7,12311139,1362843087.3,6.1
IND & COMM BK OF CHINA,1398 HK,Hong Kong,6.83,147335704,1006302858.32,4.51
CHINA MOBILE,941 HK,Hong Kong,79.25,11125860,881724405.0,3.95
XIAOMI CORP-CLASS B,1810 HK,Hong Kong,25.84,32438660,838214974.4,3.75
MEITUAN-CLASS B,3690 HK,Hong Kong,77.95,9929514,774005616.3,3.47
BANK OF CHINA,3988 HK,Hong Kong,5.1,127008623,647743977.3,2.9
PING AN INSURANCE GROUP,2318 HK,Hong Kong,53.25,11977345,637793621.25,2.86
CNOOC,883 HK,Hong Kong,22.26,27854917,620050452.42,2.78
SEMICONDUCTOR MANUFACTURI,981 HK,Hong Kong,78.35,7506936,588168435.6,2.63
NETEASE INC,9999 HK,Hong Kong,207.0,2830374,585887418.0,2.62
BYD,1211 HK,Hong Kong,83.95,6581729,552536149.55,2.47
BEONE MEDICINES,6160 HK,Hong Kong,186.1,2166472,403180439.2,1.81
HSCEI FUTURES 07/30/26,HCN6,Hong Kong,8059.0,12805,399113020.43,1.79
CHINA LIFE INSURANCE,2628 HK,Hong Kong,27.52,13296287,365913818.24,1.64
PETROCHINA,857 HK,Hong Kong,9.25,37701350,348737487.5,1.56
JD.COM INC-CLASS A,9618 HK,Hong Kong,113.2,2847861,322377865.2,1.44
CHINA MERCHANTS BANK,3968 HK,Hong Kong,45.98,6972703,320604883.94,1.44
ZIJIN MINING GROUP,2899 HK,Hong Kong,29.54,10700130,316081840.2,1.42
BAIDU INC-CLASS A,9888 HK,Hong Kong,114.3,2702772,308926839.6,1.38
AGRICULTURAL BANK OF CHINA,1288 HK,Hong Kong,5.54,52179888,289076579.52,1.29
LENOVO GROUP,992 HK,Hong Kong,23.3,12191292,284057103.6,1.27
GLOBAL X USD MM ETF,3137 HK,Hong Kong,1127.1,238556,268876467.6,1.2
INNOVENT BIOLOGICS INC,1801 HK,Hong Kong,89.1,2945643,262456791.3,1.18
CHINA SHENHUA ENERGY,1088 HK,Hong Kong,41.54,5733121,238153846.34,1.07
KUAISHOU TECHNOLOGY,1024 HK,Hong Kong,43.6,5445130,237407668.0,1.06
YUM CHINA HOLDINGS INC,9987 HK,Hong Kong,348.4,627936,218772902.4,0.98
GEELY AUTOMOBILE HOLDINGS LT,175 HK,Hong Kong,18.17,11576126,210338209.42,0.94
POP MART INTERNATIONAL GROUP,9992 HK,Hong Kong,153.5,1317934,202302869.0,0.91
CHINA RESOURCES LAND,1109 HK,Hong Kong,32.7,5733636,187489897.2,0.84
ANTA SPORTS PRODUCTS,2020 HK,Hong Kong,73.4,2498635,183399809.0,0.82
PICC PROPERTY & CASUALTY,2328 HK,Hong Kong,13.96,12328313,172103249.48,0.77
CHINA PETROLEUM & CHEMICAL,386 HK,Hong Kong,4.09,40371133,165117933.97,0.74
TRIP.COM GROUP,9961 HK,Hong Kong,334.4,492773,164783291.2,0.74
KE HOLDINGS INC-CL A,2423 HK,Hong Kong,41.78,3784136,158101202.08,0.71
XPENG INC - CLASS A SHARES,9868 HK,Hong Kong,50.8,2906862,147668589.6,0.66
NONGFU SPRING,9633 HK,Hong Kong,41.02,3598401,147606409.02,0.66
CHINA HONGQIAO GROUP,1378 HK,Hong Kong,21.48,6240780,134051954.4,0.6
ZTO EXPRESS CAYMAN INC,2057 HK,Hong Kong,187.8,687837,129175788.6,0.58
AKESO INC,9926 HK,Hong Kong,95.25,1317347,125477301.75,0.56
LI AUTO INC-CLASS A,2015 HK,Hong Kong,47.2,2507861,118371039.2,0.53
CSPC PHARMACEUTICAL GROUP LT,1093 HK,Hong Kong,8.16,14411957,117601569.12,0.53
CITIC,267 HK,Hong Kong,11.12,10395904,115602452.48,0.52
BANK OF COMMUNICATIONS,3328 HK,Hong Kong,6.92,15640603,108232972.76,0.48
POSTAL SAVINGS BANK OF CHI,1658 HK,Hong Kong,4.75,19514172,92692317.0,0.42
HORIZON ROBOTICS INC,9660 HK,Hong Kong,4.42,20944937,92576621.54,0.41
CHINA OVERSEAS LAND & INVEST,688 HK,Hong Kong,13.1,6844845,89667469.5,0.4
HANSOH PHARMACEUTICAL GROUP,3692 HK,Hong Kong,32.52,2706072,88001461.44,0.39
JD HEALTH INTERNATIONAL INC,6618 HK,Hong Kong,36.7,2008068,73696095.6,0.33
CHINA UNICOM HONG KONG,762 HK,Hong Kong,6.48,10935604,70862713.92,0.32
SHENZHOU INTERNATIONAL GROUP,2313 HK,Hong Kong,42.82,1477080,63248565.6,0.28
CALL HSCEI 07/30/26 C7700 OTC,,,400.0,-11500,-230000000.0,-1.03
CALL HSCEI 07/30/26 C7700 OTC,,,400.0,-12500,-250000000.0,-1.12
CALL HANG SENG CHINA ENT 07/30/26 7700,HSCEI 07/30/26 C7700,Hong Kong,400.0,-32977,-659540000.0,-2.95
