Name of Securities,Exchange Ticker,Exchange,Market Price (in HKD),Number of Shares Held,Market Value (in HKD),Net Assets (%)
TENCENT HOLDINGS,700 HK,Hong Kong,461.2,3376552,1557265782.4,7.01
CHINA CONSTRUCTION BANK,939 HK,Hong Kong,7.83,173398261,1357708383.63,6.11
ALIBABA GROUP HOLDING,9988 HK,Hong Kong,95.8,12422943,1190117939.4,5.36
IND & COMM BK OF CHINA,1398 HK,Hong Kong,6.49,148673702,964892325.98,4.34
CHINA MOBILE,941 HK,Hong Kong,77.15,11226871,866153097.65,3.9
MEITUAN-CLASS B,3690 HK,Hong Kong,78.35,10019668,785040987.8,3.53
XIAOMI CORP-CLASS B,1810 HK,Hong Kong,23.1,32733246,756137982.6,3.4
PING AN INSURANCE GROUP,2318 HK,Hong Kong,52.3,12086137,632104965.1,2.85
BANK OF CHINA,3988 HK,Hong Kong,4.82,128162012,617740897.84,2.78
CNOOC,883 HK,Hong Kong,21.1,28107852,593075677.2,2.67
NETEASE INC,9999 HK,Hong Kong,205.2,2856095,586070694.0,2.64
SEMICONDUCTOR MANUFACTURI,981 HK,Hong Kong,73.45,7575084,556389919.8,2.5
BYD,1211 HK,Hong Kong,83.45,6641496,554232841.2,2.49
BEONE MEDICINES,6160 HK,Hong Kong,184.3,2186122,402902284.6,1.81
CHINA LIFE INSURANCE,2628 HK,Hong Kong,28.3,13417056,379702684.8,1.71
PETROCHINA,857 HK,Hong Kong,8.94,38043726,340110910.44,1.53
ZIJIN MINING GROUP,2899 HK,Hong Kong,30.2,10797302,326078520.4,1.47
CHINA MERCHANTS BANK,3968 HK,Hong Kong,44.86,7036011,315635453.46,1.42
BAIDU INC-CLASS A,9888 HK,Hong Kong,110.6,2727316,301641149.6,1.36
JD.COM INC-CLASS A,9618 HK,Hong Kong,104.4,2873705,300014802.0,1.35
AGRICULTURAL BANK OF CHINA,1288 HK,Hong Kong,5.38,52653719,283277008.22,1.28
INNOVENT BIOLOGICS INC,1801 HK,Hong Kong,87.2,2972372,259190838.4,1.17
LENOVO GROUP,992 HK,Hong Kong,20.88,12301979,256865321.52,1.16
CHINA SHENHUA ENERGY,1088 HK,Hong Kong,40.54,5785161,234530426.94,1.06
GEELY AUTOMOBILE HOLDINGS LT,175 HK,Hong Kong,19.22,11681262,224513855.64,1.01
KUAISHOU TECHNOLOGY,1024 HK,Hong Kong,40.46,5494572,222310383.12,1.0
HSCEI FUTURES 07/30/26,HCN6,Hong Kong,7759.0,13497,218434899.9,0.98
YUM CHINA HOLDINGS INC,9987 HK,Hong Kong,333.2,633656,211134179.2,0.95
POP MART INTERNATIONAL GROUP,9992 HK,Hong Kong,151.1,1329909,200949249.9,0.9
ANTA SPORTS PRODUCTS,2020 HK,Hong Kong,73.25,2521347,184688667.75,0.83
PICC PROPERTY & CASUALTY,2328 HK,Hong Kong,14.66,12440291,182374666.06,0.82
CHINA RESOURCES LAND,1109 HK,Hong Kong,31.5,5785729,182250463.5,0.82
CHINA PETROLEUM & CHEMICAL,386 HK,Hong Kong,4.08,40737757,166210048.56,0.75
TRIP.COM GROUP,9961 HK,Hong Kong,319.4,497255,158823247.0,0.71
XPENG INC - CLASS A SHARES,9868 HK,Hong Kong,52.25,2933237,153261633.25,0.69
KE HOLDINGS INC-CL A,2423 HK,Hong Kong,38.66,3818477,147622320.82,0.66
NONGFU SPRING,9633 HK,Hong Kong,40.18,3631085,145896995.3,0.66
CHINA HONGQIAO GROUP,1378 HK,Hong Kong,20.92,6297475,131743177.0,0.59
AKESO INC,9926 HK,Hong Kong,97.65,1329322,129808293.3,0.58
ZTO EXPRESS CAYMAN INC,2057 HK,Hong Kong,181.5,694090,125977335.0,0.57
LI AUTO INC-CLASS A,2015 HK,Hong Kong,46.6,2530635,117927591.0,0.53
CSPC PHARMACEUTICAL GROUP LT,1093 HK,Hong Kong,7.87,14542820,114451993.4,0.52
CITIC,267 HK,Hong Kong,10.73,10490304,112560961.92,0.51
BANK OF COMMUNICATIONS,3328 HK,Hong Kong,6.62,15782618,104480931.16,0.47
HORIZON ROBOTICS INC,9660 HK,Hong Kong,4.41,21135151,93206015.91,0.42
POSTAL SAVINGS BANK OF CHI,1658 HK,Hong Kong,4.6,19691404,90580458.4,0.41
HANSOH PHARMACEUTICAL GROUP,3692 HK,Hong Kong,32.56,2730671,88910647.76,0.4
GLOBAL X USD MM ETF,3137 HK,Hong Kong,1128.35,78260,88304671.0,0.4
CHINA OVERSEAS LAND & INVEST,688 HK,Hong Kong,12.36,6907027,85370853.72,0.38
JD HEALTH INTERNATIONAL INC,6618 HK,Hong Kong,36.22,2026299,73392549.78,0.33
CHINA UNICOM HONG KONG,762 HK,Hong Kong,6.18,11034902,68195694.36,0.31
SHENZHOU INTERNATIONAL GROUP,2313 HK,Hong Kong,42.02,1490475,62629759.5,0.28
CALL HSCEI 07/30/26 C7700 OTC,,,204.0,-11500,-117300000.0,-0.53
CALL HSCEI 07/30/26 C7700 OTC,,,204.0,-12500,-127500000.0,-0.57
CALL HANG SENG CHINA ENT 07/30/26 7700,HSCEI 07/30/26 C7700,Hong Kong,204.0,-33494,-341638800.0,-1.54
