Name of Securities,Exchange Ticker,Exchange,Market Price (in HKD),Number of Shares Held,Market Value (in HKD),Net Assets (%)
CHINA CONSTRUCTION BANK,939 HK,Hong Kong,9.2,157479507,1448811464.4,6.46
ALIBABA GROUP HOLDING,9988 HK,Hong Kong,126.2,11282464,1423846956.8,6.35
TENCENT HOLDINGS,700 HK,Hong Kong,451.4,3066592,1384259628.8,6.17
IND & COMM BK OF CHINA,1398 HK,Hong Kong,7.475,135024859,1009310821.03,4.5
CHINA MOBILE,941 HK,Hong Kong,82.4,10196540,840194896.0,3.75
XIAOMI CORP-CLASS B,1810 HK,Hong Kong,27.76,29728155,825253582.8,3.68
MEITUAN-CLASS B,3690 HK,Hong Kong,85.85,9099934,781229333.9,3.48
BANK OF CHINA,3988 HK,Hong Kong,5.44,116396858,633198907.52,2.82
CNOOC,883 HK,Hong Kong,24.66,25528222,629525954.52,2.81
PING AN INSURANCE GROUP,2318 HK,Hong Kong,54.1,10976505,593828920.5,2.65
GLOBAL X USD MM ETF,3137 HK,Hong Kong,1135.3,488556,554657626.8,2.47
BYD,1211 HK,Hong Kong,91.8,6031824,553721443.2,2.47
NETEASE INC,9999 HK,Hong Kong,193.4,2593914,501662967.6,2.24
SEMICONDUCTOR MANUFACTURI,981 HK,Hong Kong,72.1,6880261,496066818.1,2.21
BEONE MEDICINES,6160 HK,Hong Kong,227.8,1985467,452289382.6,2.02
ZIJIN MINING GROUP,2899 HK,Hong Kong,36.76,9808835,360572774.6,1.61
PETROCHINA,857 HK,Hong Kong,10.03,34552395,346560521.85,1.55
LENOVO GROUP,992 HK,Hong Kong,29.72,11173432,332074399.04,1.48
CHINA LIFE INSURANCE,2628 HK,Hong Kong,26.7,12185992,325365986.4,1.45
CHINA MERCHANTS BANK,3968 HK,Hong Kong,49.0,6390298,313124602.0,1.4
AGRICULTURAL BANK OF CHINA,1288 HK,Hong Kong,6.27,47820353,299833613.31,1.34
JD.COM INC-CLASS A,9618 HK,Hong Kong,114.5,2609931,298837099.5,1.33
INNOVENT BIOLOGICS INC,1801 HK,Hong Kong,101.2,2699438,273183125.6,1.22
CHINA SHENHUA ENERGY,1088 HK,Hong Kong,44.44,5254351,233503358.44,1.04
BAIDU INC-CLASS A,9888 HK,Hong Kong,92.15,2476962,228252048.3,1.02
YUM CHINA HOLDINGS INC,9987 HK,Hong Kong,378.0,575491,217535598.0,0.97
GEELY AUTOMOBILE HOLDINGS LT,175 HK,Hong Kong,18.54,10609856,196706730.24,0.88
POP MART INTERNATIONAL GROUP,9992 HK,Hong Kong,153.7,1207979,185666372.3,0.83
CHINA RESOURCES LAND,1109 HK,Hong Kong,35.24,5254881,185182006.44,0.83
PICC PROPERTY & CASUALTY,2328 HK,Hong Kong,15.53,11298783,175470099.99,0.78
ANTA SPORTS PRODUCTS,2020 HK,Hong Kong,74.9,2290010,171521749.0,0.76
KUAISHOU TECHNOLOGY,1024 HK,Hong Kong,33.64,4990200,167870328.0,0.75
TRIP.COM GROUP,9961 HK,Hong Kong,361.6,451613,163303260.8,0.73
CHINA PETROLEUM & CHEMICAL,386 HK,Hong Kong,4.37,36998343,161682758.91,0.72
KE HOLDINGS INC-CL A,2423 HK,Hong Kong,44.12,3468066,153011071.92,0.68
NONGFU SPRING,9633 HK,Hong Kong,42.24,3297911,139303760.64,0.62
CHINA HONGQIAO GROUP,1378 HK,Hong Kong,22.4,5719695,128121168.0,0.57
XPENG INC - CLASS A SHARES,9868 HK,Hong Kong,47.82,2663967,127390901.94,0.57
CSPC PHARMACEUTICAL GROUP LT,1093 HK,Hong Kong,9.52,13209227,125751841.04,0.56
CITIC,267 HK,Hong Kong,12.42,9527904,118336567.68,0.53
LI AUTO INC-CLASS A,2015 HK,Hong Kong,50.55,2298351,116181643.05,0.52
AKESO INC,9926 HK,Hong Kong,93.9,1207392,113374108.8,0.51
BANK OF COMMUNICATIONS,3328 HK,Hong Kong,7.48,14333708,107216135.84,0.48
ZTO EXPRESS CAYMAN INC,2057 HK,Hong Kong,166.6,630427,105029138.2,0.47
HORIZON ROBOTICS INC,9660 HK,Hong Kong,4.85,19195097,93096220.45,0.42
CHINA OVERSEAS LAND & INVEST,688 HK,Hong Kong,14.15,6273155,88765143.25,0.4
POSTAL SAVINGS BANK OF CHI,1658 HK,Hong Kong,4.905,17884232,87722157.96,0.39
HANSOH PHARMACEUTICAL GROUP,3692 HK,Hong Kong,33.68,2480327,83537413.36,0.37
JD HEALTH INTERNATIONAL INC,6618 HK,Hong Kong,38.04,1840253,70003224.12,0.31
CHINA UNICOM HONG KONG,762 HK,Hong Kong,5.695,10022849,57080125.06,0.25
SHENZHOU INTERNATIONAL GROUP,2313 HK,Hong Kong,41.88,1353785,56696515.8,0.25
HSCEI FUTURES 08/28/26,HCQ6,Hong Kong,8548.0,10191,48126300.0,0.21
CALL HSCEI 08/28/26 C8700 OTC,,,35.0,-8500,-14875000.0,-0.07
CALL HSCEI 08/28/26 C8700 OTC,,,35.0,-11500,-20125000.0,-0.09
CALL HANG SENG CHINA ENT 08/28/26 8700,HSCEI 08/28/26 C8700,Hong Kong,35.0,-21310,-37292500.0,-0.17
CALL HSCEI WEEKLY OPTION 08/21/26 8400,,,158.0,-10400,-82160000.0,-0.37
