Name of Securities,Exchange Ticker,Exchange,Market Price (in HKD),Number of Shares Held,Market Value (in HKD),Net Assets (%)
TENCENT HOLDINGS,700 HK,Hong Kong,484.0,3346167,1619544828.0,7.21
ALIBABA GROUP HOLDING,9988 HK,Hong Kong,116.9,12311139,1439172149.1,6.41
CHINA CONSTRUCTION BANK,939 HK,Hong Kong,8.19,171837772,1407351352.68,6.27
IND & COMM BK OF CHINA,1398 HK,Hong Kong,6.88,147335704,1013669643.52,4.51
XIAOMI CORP-CLASS B,1810 HK,Hong Kong,27.5,32438660,892063150.0,3.97
CHINA MOBILE,941 HK,Hong Kong,79.6,11125860,885618456.0,3.94
MEITUAN-CLASS B,3690 HK,Hong Kong,87.2,9929514,865853620.8,3.86
PING AN INSURANCE GROUP,2318 HK,Hong Kong,54.8,11977345,656358506.0,2.92
BANK OF CHINA,3988 HK,Hong Kong,5.1,127008623,647743977.3,2.88
CNOOC,883 HK,Hong Kong,22.88,27854917,637320500.96,2.84
BYD,1211 HK,Hong Kong,90.95,6581729,598608252.55,2.67
NETEASE INC,9999 HK,Hong Kong,204.6,2830374,579094520.4,2.58
SEMICONDUCTOR MANUFACTURI,981 HK,Hong Kong,75.2,7506936,564521587.2,2.51
HSCEI FUTURES 07/30/26,HCN6,Hong Kong,8304.0,12805,555974270.43,2.48
BEONE MEDICINES,6160 HK,Hong Kong,190.8,2166472,413362857.6,1.84
CHINA LIFE INSURANCE,2628 HK,Hong Kong,27.7,13296287,368307149.9,1.64
PETROCHINA,857 HK,Hong Kong,9.47,37701350,357031784.5,1.59
JD.COM INC-CLASS A,9618 HK,Hong Kong,116.8,2847861,332630164.8,1.48
ZIJIN MINING GROUP,2899 HK,Hong Kong,30.86,10700130,330206011.8,1.47
CHINA MERCHANTS BANK,3968 HK,Hong Kong,46.3,6972703,322836148.9,1.44
BAIDU INC-CLASS A,9888 HK,Hong Kong,110.3,2702772,298115751.6,1.33
AGRICULTURAL BANK OF CHINA,1288 HK,Hong Kong,5.61,52179888,292729171.68,1.3
INNOVENT BIOLOGICS INC,1801 HK,Hong Kong,94.2,2945643,277479570.6,1.24
LENOVO GROUP,992 HK,Hong Kong,22.26,12191292,271378159.92,1.21
GLOBAL X USD MM ETF,3137 HK,Hong Kong,1130.15,238556,269604063.4,1.2
KUAISHOU TECHNOLOGY,1024 HK,Hong Kong,46.92,5445130,255485499.6,1.14
CHINA SHENHUA ENERGY,1088 HK,Hong Kong,41.88,5733121,240103107.48,1.07
GEELY AUTOMOBILE HOLDINGS LT,175 HK,Hong Kong,19.39,11576126,224461083.14,1.0
POP MART INTERNATIONAL GROUP,9992 HK,Hong Kong,168.1,1317934,221544705.4,0.99
YUM CHINA HOLDINGS INC,9987 HK,Hong Kong,347.0,627936,217893792.0,0.97
CHINA RESOURCES LAND,1109 HK,Hong Kong,34.62,5733636,198498478.32,0.88
ANTA SPORTS PRODUCTS,2020 HK,Hong Kong,73.8,2498635,184399263.0,0.82
PICC PROPERTY & CASUALTY,2328 HK,Hong Kong,14.27,12328313,175925026.51,0.78
KE HOLDINGS INC-CL A,2423 HK,Hong Kong,45.6,3784136,172556601.6,0.77
CHINA PETROLEUM & CHEMICAL,386 HK,Hong Kong,4.24,40371133,171173603.92,0.76
TRIP.COM GROUP,9961 HK,Hong Kong,342.2,492773,168626920.6,0.75
XPENG INC - CLASS A SHARES,9868 HK,Hong Kong,56.55,2906862,164383046.1,0.73
NONGFU SPRING,9633 HK,Hong Kong,42.02,3598401,151204810.02,0.67
CHINA HONGQIAO GROUP,1378 HK,Hong Kong,22.86,6240780,142664230.8,0.64
AKESO INC,9926 HK,Hong Kong,101.8,1317347,134105924.6,0.6
ZTO EXPRESS CAYMAN INC,2057 HK,Hong Kong,193.4,687837,133027675.8,0.59
LI AUTO INC-CLASS A,2015 HK,Hong Kong,50.4,2507861,126396194.4,0.56
CSPC PHARMACEUTICAL GROUP LT,1093 HK,Hong Kong,8.6,14411957,123942830.2,0.55
CITIC,267 HK,Hong Kong,11.3,10395904,117473715.2,0.52
BANK OF COMMUNICATIONS,3328 HK,Hong Kong,6.89,15640603,107763754.67,0.48
HORIZON ROBOTICS INC,9660 HK,Hong Kong,4.61,20944937,96556159.57,0.43
POSTAL SAVINGS BANK OF CHI,1658 HK,Hong Kong,4.8,19514172,93668025.6,0.42
CHINA OVERSEAS LAND & INVEST,688 HK,Hong Kong,13.56,6844845,92816098.2,0.41
HANSOH PHARMACEUTICAL GROUP,3692 HK,Hong Kong,33.16,2706072,89733347.52,0.4
JD HEALTH INTERNATIONAL INC,6618 HK,Hong Kong,39.2,2008068,78716265.6,0.35
CHINA UNICOM HONG KONG,762 HK,Hong Kong,6.5,10935604,71081426.0,0.32
SHENZHOU INTERNATIONAL GROUP,2313 HK,Hong Kong,45.0,1477080,66468600.0,0.3
CALL HSCEI 07/30/26 C7700 OTC,,,617.0,-11500,-354775000.0,-1.58
CALL HSCEI 07/30/26 C7700 OTC,,,617.0,-12500,-385625000.0,-1.72
CALL HANG SENG CHINA ENT 07/30/26 7700,HSCEI 07/30/26 C7700,Hong Kong,617.0,-32977,-1017340450.0,-4.53
