Name of Securities,Exchange Ticker,Exchange,Market Price (in HKD),Number of Shares Held,Market Value (in HKD),Net Assets (%)
TENCENT HOLDINGS,700 HK,Hong Kong,481.4,3066592,1476257388.8,6.57
ALIBABA GROUP HOLDING,9988 HK,Hong Kong,126.7,11282464,1429488188.8,6.36
CHINA CONSTRUCTION BANK,939 HK,Hong Kong,8.855,157479507,1394481034.49,6.2
IND & COMM BK OF CHINA,1398 HK,Hong Kong,7.215,135024859,974204357.69,4.33
MEITUAN-CLASS B,3690 HK,Hong Kong,93.9,9099934,854483802.6,3.8
CHINA MOBILE,941 HK,Hong Kong,82.05,10196540,836626107.0,3.72
XIAOMI CORP-CLASS B,1810 HK,Hong Kong,27.62,29728155,821091641.1,3.65
PING AN INSURANCE GROUP,2318 HK,Hong Kong,56.75,10976505,622916658.75,2.77
BANK OF CHINA,3988 HK,Hong Kong,5.285,116396858,615157394.53,2.74
CNOOC,883 HK,Hong Kong,23.4,25528222,597360394.8,2.66
BYD,1211 HK,Hong Kong,92.3,6031824,556737355.2,2.48
GLOBAL X USD MM ETF,3137 HK,Hong Kong,1134.0,488556,554022504.0,2.46
NETEASE INC,9999 HK,Hong Kong,205.6,2593914,533308718.4,2.37
SEMICONDUCTOR MANUFACTURI,981 HK,Hong Kong,66.2,6880261,455473278.2,2.03
BEONE MEDICINES,6160 HK,Hong Kong,213.2,1985467,423301564.4,1.88
ZIJIN MINING GROUP,2899 HK,Hong Kong,37.56,9808835,368419842.6,1.64
CHINA LIFE INSURANCE,2628 HK,Hong Kong,28.06,12185992,341938935.52,1.52
JD.COM INC-CLASS A,9618 HK,Hong Kong,130.4,2609931,340335002.4,1.51
PETROCHINA,857 HK,Hong Kong,9.565,34552395,330493658.18,1.47
LENOVO GROUP,992 HK,Hong Kong,29.0,11173432,324029528.0,1.44
CHINA MERCHANTS BANK,3968 HK,Hong Kong,49.0,6390298,313124602.0,1.39
AGRICULTURAL BANK OF CHINA,1288 HK,Hong Kong,5.89,47820353,281661879.17,1.25
BAIDU INC-CLASS A,9888 HK,Hong Kong,107.3,2476962,265778022.6,1.18
INNOVENT BIOLOGICS INC,1801 HK,Hong Kong,97.3,2699438,262655317.4,1.17
CHINA SHENHUA ENERGY,1088 HK,Hong Kong,44.18,5254351,232137227.18,1.03
KUAISHOU TECHNOLOGY,1024 HK,Hong Kong,44.32,4990200,221165664.0,0.98
YUM CHINA HOLDINGS INC,9987 HK,Hong Kong,377.4,575491,217190303.4,0.97
GEELY AUTOMOBILE HOLDINGS LT,175 HK,Hong Kong,19.01,10609856,201693362.56,0.9
POP MART INTERNATIONAL GROUP,9992 HK,Hong Kong,154.4,1207979,186511957.6,0.83
PICC PROPERTY & CASUALTY,2328 HK,Hong Kong,15.82,11298783,178746747.06,0.79
CHINA RESOURCES LAND,1109 HK,Hong Kong,32.9,5254881,172885584.9,0.77
ANTA SPORTS PRODUCTS,2020 HK,Hong Kong,75.45,2290010,172781254.5,0.77
TRIP.COM GROUP,9961 HK,Hong Kong,364.6,451613,164658099.8,0.73
CHINA PETROLEUM & CHEMICAL,386 HK,Hong Kong,4.32,36998343,159832841.76,0.71
KE HOLDINGS INC-CL A,2423 HK,Hong Kong,45.52,3468066,157866364.32,0.7
NONGFU SPRING,9633 HK,Hong Kong,44.32,3297911,146163415.52,0.65
CHINA HONGQIAO GROUP,1378 HK,Hong Kong,24.38,5719695,139446164.1,0.62
XPENG INC - CLASS A SHARES,9868 HK,Hong Kong,47.12,2663967,125526125.04,0.56
AKESO INC,9926 HK,Hong Kong,101.5,1207392,122550288.0,0.55
ZTO EXPRESS CAYMAN INC,2057 HK,Hong Kong,186.4,630427,117511592.8,0.52
LI AUTO INC-CLASS A,2015 HK,Hong Kong,50.1,2298351,115147385.1,0.51
CITIC,267 HK,Hong Kong,12.04,9527904,114715964.16,0.51
CSPC PHARMACEUTICAL GROUP LT,1093 HK,Hong Kong,8.625,13209227,113929582.88,0.51
BANK OF COMMUNICATIONS,3328 HK,Hong Kong,7.315,14333708,104851074.02,0.47
HORIZON ROBOTICS INC,9660 HK,Hong Kong,5.095,19195097,97799019.22,0.43
HSCEI FUTURES 08/28/26,HCQ6,Hong Kong,8633.0,10739,96522850.0,0.43
POSTAL SAVINGS BANK OF CHI,1658 HK,Hong Kong,4.865,17884232,87006788.68,0.39
HANSOH PHARMACEUTICAL GROUP,3692 HK,Hong Kong,34.54,2480327,85670494.58,0.38
CHINA OVERSEAS LAND & INVEST,688 HK,Hong Kong,13.19,6273155,82742914.45,0.37
JD HEALTH INTERNATIONAL INC,6618 HK,Hong Kong,40.08,1840253,73757340.24,0.33
CHINA UNICOM HONG KONG,762 HK,Hong Kong,6.37,10022849,63845548.13,0.28
SHENZHOU INTERNATIONAL GROUP,2313 HK,Hong Kong,44.52,1353785,60270508.2,0.27
CALL HSCEI WEEKLY OPTION 08/14/26 8550,,,109.0,-5400,-29430000.0,-0.13
CALL HSCEI 08/28/26 C8700 OTC,,,111.0,-8500,-47175000.0,-0.21
CALL HSCEI 08/28/26 C8700 OTC,,,111.0,-11500,-63825000.0,-0.28
CALL HANG SENG CHINA ENT 08/28/26 8700,HSCEI 08/28/26 C8700,Hong Kong,111.0,-26310,-146020500.0,-0.65
