Name of Securities,Exchange Ticker,Exchange,Market Price (in HKD),Number of Shares Held,Market Value (in HKD),Net Assets (%)
CHINA CONSTRUCTION BANK,939 HK,Hong Kong,8.74,171837772,1501862127.28,6.68
TENCENT HOLDINGS,700 HK,Hong Kong,445.2,3346167,1489713548.4,6.63
ALIBABA GROUP HOLDING,9988 HK,Hong Kong,114.9,12311139,1414549871.1,6.3
IND & COMM BK OF CHINA,1398 HK,Hong Kong,7.17,147335704,1056396997.68,4.7
CHINA MOBILE,941 HK,Hong Kong,81.4,11125860,905645004.0,4.03
XIAOMI CORP-CLASS B,1810 HK,Hong Kong,27.14,32438660,880385232.4,3.92
MEITUAN-CLASS B,3690 HK,Hong Kong,87.3,9929514,866846572.2,3.86
PING AN INSURANCE GROUP,2318 HK,Hong Kong,57.05,11977345,683307532.25,3.04
CNOOC,883 HK,Hong Kong,24.22,27854917,674646089.74,3.0
BANK OF CHINA,3988 HK,Hong Kong,5.31,127008623,674415788.13,3.0
HSCEI FUTURES 07/30/26,HCN6,Hong Kong,8350.0,12805,585425770.43,2.61
BYD,1211 HK,Hong Kong,88.65,6581729,583470275.85,2.6
NETEASE INC,9999 HK,Hong Kong,191.0,2830374,540601434.0,2.41
SEMICONDUCTOR MANUFACTURI,981 HK,Hong Kong,70.75,7506936,531115722.0,2.36
BEONE MEDICINES,6160 HK,Hong Kong,193.8,2166472,419862273.6,1.87
GLOBAL X USD MM ETF,3137 HK,Hong Kong,1131.0,349556,395347836.0,1.76
PETROCHINA,857 HK,Hong Kong,10.11,37701350,381160648.5,1.7
CHINA LIFE INSURANCE,2628 HK,Hong Kong,28.6,13296287,380273808.2,1.69
ZIJIN MINING GROUP,2899 HK,Hong Kong,33.52,10700130,358668357.6,1.6
JD.COM INC-CLASS A,9618 HK,Hong Kong,119.6,2847861,340604175.6,1.52
CHINA MERCHANTS BANK,3968 HK,Hong Kong,48.52,6972703,338315549.56,1.51
AGRICULTURAL BANK OF CHINA,1288 HK,Hong Kong,5.85,52179888,305252344.8,1.36
LENOVO GROUP,992 HK,Hong Kong,24.62,12191292,300149609.04,1.34
BAIDU INC-CLASS A,9888 HK,Hong Kong,106.8,2702772,288656049.6,1.28
INNOVENT BIOLOGICS INC,1801 HK,Hong Kong,91.05,2945643,268200795.15,1.19
CHINA SHENHUA ENERGY,1088 HK,Hong Kong,44.2,5733121,253403948.2,1.13
KUAISHOU TECHNOLOGY,1024 HK,Hong Kong,43.08,5445130,234576200.4,1.04
YUM CHINA HOLDINGS INC,9987 HK,Hong Kong,343.2,627936,215507635.2,0.96
GEELY AUTOMOBILE HOLDINGS LT,175 HK,Hong Kong,18.52,11576126,214389853.52,0.95
POP MART INTERNATIONAL GROUP,9992 HK,Hong Kong,162.0,1317934,213505308.0,0.95
CHINA RESOURCES LAND,1109 HK,Hong Kong,34.0,5733636,194943624.0,0.87
ANTA SPORTS PRODUCTS,2020 HK,Hong Kong,76.85,2498635,192020099.75,0.85
PICC PROPERTY & CASUALTY,2328 HK,Hong Kong,15.04,12328313,185417827.52,0.83
CHINA PETROLEUM & CHEMICAL,386 HK,Hong Kong,4.33,40371133,174807005.89,0.78
TRIP.COM GROUP,9961 HK,Hong Kong,345.4,492773,170203794.2,0.76
KE HOLDINGS INC-CL A,2423 HK,Hong Kong,42.86,3784136,162188068.96,0.72
CHINA HONGQIAO GROUP,1378 HK,Hong Kong,23.94,6240780,149404273.2,0.67
XPENG INC - CLASS A SHARES,9868 HK,Hong Kong,51.3,2906862,149122020.6,0.66
NONGFU SPRING,9633 HK,Hong Kong,40.44,3598401,145519336.44,0.65
AKESO INC,9926 HK,Hong Kong,102.8,1317347,135423271.6,0.6
ZTO EXPRESS CAYMAN INC,2057 HK,Hong Kong,190.4,687837,130964164.8,0.58
CITIC,267 HK,Hong Kong,12.06,10395904,125374602.24,0.56
LI AUTO INC-CLASS A,2015 HK,Hong Kong,48.96,2507861,122784874.56,0.55
CSPC PHARMACEUTICAL GROUP LT,1093 HK,Hong Kong,8.37,14411957,120628080.09,0.54
BANK OF COMMUNICATIONS,3328 HK,Hong Kong,7.28,15640603,113863589.84,0.51
POSTAL SAVINGS BANK OF CHI,1658 HK,Hong Kong,4.91,19514172,95814584.52,0.43
HORIZON ROBOTICS INC,9660 HK,Hong Kong,4.57,20944937,95718362.09,0.43
CHINA OVERSEAS LAND & INVEST,688 HK,Hong Kong,13.56,6844845,92816098.2,0.41
HANSOH PHARMACEUTICAL GROUP,3692 HK,Hong Kong,32.58,2706072,88163825.76,0.39
JD HEALTH INTERNATIONAL INC,6618 HK,Hong Kong,37.5,2008068,75302550.0,0.34
CHINA UNICOM HONG KONG,762 HK,Hong Kong,6.63,10935604,72503054.52,0.32
SHENZHOU INTERNATIONAL GROUP,2313 HK,Hong Kong,42.28,1477080,62450942.4,0.28
CALL HSCEI 07/30/26 C7700 OTC,,,651.0,-11500,-374325000.0,-1.67
CALL HSCEI 07/30/26 C7700 OTC,,,651.0,-12500,-406875000.0,-1.81
CALL HANG SENG CHINA ENT 07/30/26 7700,HSCEI 07/30/26 C7700,Hong Kong,651.0,-32977,-1073401350.0,-4.78
