Name of Securities,Exchange Ticker,Exchange,Market Price (in HKD),Number of Shares Held,Market Value (in HKD),Net Assets (%)
CHINA CONSTRUCTION BANK,939 HK,Hong Kong,9.36,172234507,1612114985.52,7.14
TENCENT HOLDINGS,700 HK,Hong Kong,471.8,3353892,1582366245.6,7.01
ALIBABA GROUP HOLDING,9988 HK,Hong Kong,111.8,12339564,1379563255.2,6.11
IND & COMM BK OF CHINA,1398 HK,Hong Kong,7.64,147675859,1128243562.76,5.0
XIAOMI CORP-CLASS B,1810 HK,Hong Kong,31.04,32513555,1009220747.2,4.47
CHINA MOBILE,941 HK,Hong Kong,84.8,11151540,945650592.0,4.19
MEITUAN-CLASS B,3690 HK,Hong Kong,92.65,9952434,922093010.1,4.09
BANK OF CHINA,3988 HK,Hong Kong,5.54,127301858,705252293.32,3.13
PING AN INSURANCE GROUP,2318 HK,Hong Kong,58.7,12005005,704693793.5,3.12
CNOOC,883 HK,Hong Kong,24.18,27919222,675086787.96,2.99
BYD,1211 HK,Hong Kong,94.8,6596924,625388395.2,2.77
NETEASE INC,9999 HK,Hong Kong,206.6,2836914,586106432.4,2.6
GLOBAL X USD MM ETF,3137 HK,Hong Kong,1131.8,488556,552947680.8,2.45
SEMICONDUCTOR MANUFACTURI,981 HK,Hong Kong,62.0,7524261,466504182.0,2.07
BEONE MEDICINES,6160 HK,Hong Kong,196.1,2171467,425824678.7,1.89
CHINA LIFE INSURANCE,2628 HK,Hong Kong,28.9,13326992,385150068.8,1.71
PETROCHINA,857 HK,Hong Kong,10.15,37788395,383552209.25,1.7
JD.COM INC-CLASS A,9618 HK,Hong Kong,128.7,2854431,367365269.7,1.63
CHINA MERCHANTS BANK,3968 HK,Hong Kong,51.2,6988798,357826457.6,1.59
ZIJIN MINING GROUP,2899 HK,Hong Kong,32.52,10724835,348771634.2,1.55
AGRICULTURAL BANK OF CHINA,1288 HK,Hong Kong,6.51,52300353,340475298.03,1.51
BAIDU INC-CLASS A,9888 HK,Hong Kong,102.1,2709012,276590125.2,1.23
LENOVO GROUP,992 HK,Hong Kong,21.74,12219432,265650451.68,1.18
INNOVENT BIOLOGICS INC,1801 HK,Hong Kong,88.1,2952438,260109787.8,1.15
CHINA SHENHUA ENERGY,1088 HK,Hong Kong,43.72,5746351,251230465.72,1.11
GEELY AUTOMOBILE HOLDINGS LT,175 HK,Hong Kong,20.46,11602856,237394433.76,1.05
KUAISHOU TECHNOLOGY,1024 HK,Hong Kong,42.94,5457700,234353638.0,1.04
YUM CHINA HOLDINGS INC,9987 HK,Hong Kong,365.8,629391,230231227.8,1.02
POP MART INTERNATIONAL GROUP,9992 HK,Hong Kong,163.2,1320979,215583772.8,0.96
PICC PROPERTY & CASUALTY,2328 HK,Hong Kong,16.8,12356783,207593954.4,0.92
ANTA SPORTS PRODUCTS,2020 HK,Hong Kong,79.6,2504410,199351036.0,0.88
CHINA RESOURCES LAND,1109 HK,Hong Kong,34.0,5746881,195393954.0,0.87
TRIP.COM GROUP,9961 HK,Hong Kong,367.0,493913,181266071.0,0.8
CHINA PETROLEUM & CHEMICAL,386 HK,Hong Kong,4.46,40464343,180470969.78,0.8
KE HOLDINGS INC-CL A,2423 HK,Hong Kong,43.4,3792866,164610384.4,0.73
NONGFU SPRING,9633 HK,Hong Kong,45.56,3606711,164321753.16,0.73
CHINA HONGQIAO GROUP,1378 HK,Hong Kong,24.04,6255195,150374887.8,0.67
XPENG INC - CLASS A SHARES,9868 HK,Hong Kong,50.5,2913567,147135133.5,0.65
LI AUTO INC-CLASS A,2015 HK,Hong Kong,54.25,2513651,136365566.75,0.6
ZTO EXPRESS CAYMAN INC,2057 HK,Hong Kong,189.6,689427,130715359.2,0.58
HSCEI FUTURES 08/28/26,HCQ6,Hong Kong,8672.0,11764,129927150.0,0.58
CITIC,267 HK,Hong Kong,12.43,10419904,129519406.72,0.57
CSPC PHARMACEUTICAL GROUP LT,1093 HK,Hong Kong,8.55,14445227,123506690.85,0.55
AKESO INC,9926 HK,Hong Kong,93.2,1320392,123060534.4,0.55
BANK OF COMMUNICATIONS,3328 HK,Hong Kong,7.67,15676708,120240350.36,0.53
HORIZON ROBOTICS INC,9660 HK,Hong Kong,5.22,20993297,109585010.34,0.49
POSTAL SAVINGS BANK OF CHI,1658 HK,Hong Kong,5.11,19559232,99947675.52,0.44
CHINA OVERSEAS LAND & INVEST,688 HK,Hong Kong,13.8,6860655,94677039.0,0.42
HANSOH PHARMACEUTICAL GROUP,3692 HK,Hong Kong,32.34,2712327,87716655.18,0.39
JD HEALTH INTERNATIONAL INC,6618 HK,Hong Kong,39.28,2012703,79058973.84,0.35
CHINA UNICOM HONG KONG,762 HK,Hong Kong,6.78,10960849,74314556.22,0.33
SHENZHOU INTERNATIONAL GROUP,2313 HK,Hong Kong,44.18,1480485,65407827.3,0.29
CALL HSCEI 07/30/26 C7700 OTC,,,937.0,-11500,-538775000.0,-2.39
CALL HSCEI 07/30/26 C7700 OTC,,,937.0,-12500,-585625000.0,-2.6
CALL HANG SENG CHINA ENT 07/30/26 7700,HSCEI 07/30/26 C7700,Hong Kong,937.0,-33108,-1551109800.0,-6.87
