Name of Securities,Exchange Ticker,Exchange,Market Price (in HKD),Number of Shares Held,Market Value (in HKD),Net Assets (%)
TENCENT HOLDINGS,700 HK,Hong Kong,490.4,3066592,1503856716.8,6.71
CHINA CONSTRUCTION BANK,939 HK,Hong Kong,9.2,157479507,1448811464.4,6.46
ALIBABA GROUP HOLDING,9988 HK,Hong Kong,125.2,11282464,1412564492.8,6.3
IND & COMM BK OF CHINA,1398 HK,Hong Kong,7.495,135024859,1012011318.21,4.51
CHINA MOBILE,941 HK,Hong Kong,83.6,10196540,852430744.0,3.8
MEITUAN-CLASS B,3690 HK,Hong Kong,93.45,9099934,850388832.3,3.79
XIAOMI CORP-CLASS B,1810 HK,Hong Kong,27.96,29728155,831199213.8,3.71
PING AN INSURANCE GROUP,2318 HK,Hong Kong,58.45,10976505,641576717.25,2.86
BANK OF CHINA,3988 HK,Hong Kong,5.485,116396858,638436766.13,2.85
CNOOC,883 HK,Hong Kong,23.74,25528222,606039990.28,2.7
BYD,1211 HK,Hong Kong,94.9,6031824,572420097.6,2.55
GLOBAL X USD MM ETF,3137 HK,Hong Kong,1131.95,488556,553020964.2,2.47
NETEASE INC,9999 HK,Hong Kong,208.0,2593914,539534112.0,2.41
SEMICONDUCTOR MANUFACTURI,981 HK,Hong Kong,62.2,6880261,427952234.2,1.91
BEONE MEDICINES,6160 HK,Hong Kong,190.9,1985467,379025650.3,1.69
CHINA LIFE INSURANCE,2628 HK,Hong Kong,29.0,12185992,353393768.0,1.58
PETROCHINA,857 HK,Hong Kong,9.81,34552395,338958994.95,1.51
JD.COM INC-CLASS A,9618 HK,Hong Kong,129.3,2609931,337464078.3,1.51
CHINA MERCHANTS BANK,3968 HK,Hong Kong,50.9,6390298,325266168.2,1.45
ZIJIN MINING GROUP,2899 HK,Hong Kong,32.92,9808835,322906848.2,1.44
AGRICULTURAL BANK OF CHINA,1288 HK,Hong Kong,6.19,47820353,296007985.07,1.32
LENOVO GROUP,992 HK,Hong Kong,24.74,11173432,276430707.68,1.23
BAIDU INC-CLASS A,9888 HK,Hong Kong,109.9,2476962,272218123.8,1.21
INNOVENT BIOLOGICS INC,1801 HK,Hong Kong,86.0,2699438,232151668.0,1.04
KUAISHOU TECHNOLOGY,1024 HK,Hong Kong,45.02,4990200,224658804.0,1.0
CHINA SHENHUA ENERGY,1088 HK,Hong Kong,42.64,5254351,224045526.64,1.0
YUM CHINA HOLDINGS INC,9987 HK,Hong Kong,384.8,575491,221448936.8,0.99
GEELY AUTOMOBILE HOLDINGS LT,175 HK,Hong Kong,19.58,10609856,207740980.48,0.93
POP MART INTERNATIONAL GROUP,9992 HK,Hong Kong,159.9,1207979,193155842.1,0.86
PICC PROPERTY & CASUALTY,2328 HK,Hong Kong,16.16,11298783,182588333.28,0.81
ANTA SPORTS PRODUCTS,2020 HK,Hong Kong,77.0,2290010,176330770.0,0.79
CHINA RESOURCES LAND,1109 HK,Hong Kong,33.1,5254881,173936561.1,0.78
TRIP.COM GROUP,9961 HK,Hong Kong,363.6,451613,164206486.8,0.73
CHINA PETROLEUM & CHEMICAL,386 HK,Hong Kong,4.385,36998343,162237734.06,0.72
KE HOLDINGS INC-CL A,2423 HK,Hong Kong,44.52,3468066,154398298.32,0.69
NONGFU SPRING,9633 HK,Hong Kong,43.6,3297911,143788919.6,0.64
CHINA HONGQIAO GROUP,1378 HK,Hong Kong,22.96,5719695,131324197.2,0.59
XPENG INC - CLASS A SHARES,9868 HK,Hong Kong,49.04,2663967,130640941.68,0.58
ZTO EXPRESS CAYMAN INC,2057 HK,Hong Kong,192.3,630427,121231112.1,0.54
LI AUTO INC-CLASS A,2015 HK,Hong Kong,51.85,2298351,119169499.35,0.53
CITIC,267 HK,Hong Kong,12.17,9527904,115954591.68,0.52
CSPC PHARMACEUTICAL GROUP LT,1093 HK,Hong Kong,8.465,13209227,111816106.56,0.5
AKESO INC,9926 HK,Hong Kong,91.85,1207392,110898955.2,0.49
BANK OF COMMUNICATIONS,3328 HK,Hong Kong,7.59,14333708,108792843.72,0.49
HSCEI FUTURES 08/28/26,HCQ6,Hong Kong,8652.0,10479,104967500.0,0.47
HORIZON ROBOTICS INC,9660 HK,Hong Kong,5.135,19195097,98566823.1,0.44
POSTAL SAVINGS BANK OF CHI,1658 HK,Hong Kong,5.05,17884232,90315371.6,0.4
CHINA OVERSEAS LAND & INVEST,688 HK,Hong Kong,13.4,6273155,84060277.0,0.37
HANSOH PHARMACEUTICAL GROUP,3692 HK,Hong Kong,31.5,2480327,78130300.5,0.35
JD HEALTH INTERNATIONAL INC,6618 HK,Hong Kong,39.8,1840253,73242069.4,0.33
CHINA UNICOM HONG KONG,762 HK,Hong Kong,6.705,10022849,67203202.55,0.3
SHENZHOU INTERNATIONAL GROUP,2313 HK,Hong Kong,43.24,1353785,58537663.4,0.26
CALL HSCEI WEEKLY OPTION 08/07/26 8750,,,37.0,-1200,-2220000.0,-0.01
CALL HSCEI 08/28/26 C8700 OTC,,,164.0,-8500,-69700000.0,-0.31
CALL HSCEI 08/28/26 C8700 OTC,,,164.0,-11500,-94300000.0,-0.42
CALL HANG SENG CHINA ENT 08/28/26 8700,HSCEI 08/28/26 C8700,Hong Kong,164.0,-29010,-237882000.0,-1.06
