Name of Securities,Exchange Ticker,Exchange,Market Price (in HKD),Number of Shares Held,Market Value (in HKD),Net Assets (%)
TENCENT HOLDINGS,700 HK,Hong Kong,474.0,3346167,1586083158.0,7.08
CHINA CONSTRUCTION BANK,939 HK,Hong Kong,8.17,171837772,1403914597.24,6.27
ALIBABA GROUP HOLDING,9988 HK,Hong Kong,113.4,12311139,1396083162.6,6.23
IND & COMM BK OF CHINA,1398 HK,Hong Kong,6.79,147335704,1000409430.16,4.46
CHINA MOBILE,941 HK,Hong Kong,79.0,11125860,878942940.0,3.92
XIAOMI CORP-CLASS B,1810 HK,Hong Kong,25.86,32438660,838863747.6,3.74
MEITUAN-CLASS B,3690 HK,Hong Kong,83.4,9929514,828121467.6,3.7
PING AN INSURANCE GROUP,2318 HK,Hong Kong,54.4,11977345,651567568.0,2.91
BANK OF CHINA,3988 HK,Hong Kong,5.04,127008623,640123459.92,2.86
CNOOC,883 HK,Hong Kong,22.9,27854917,637877599.3,2.85
NETEASE INC,9999 HK,Hong Kong,202.6,2830374,573433772.4,2.56
SEMICONDUCTOR MANUFACTURI,981 HK,Hong Kong,76.3,7506936,572779216.8,2.56
BYD,1211 HK,Hong Kong,86.95,6581729,572281336.55,2.55
HSCEI FUTURES 07/30/26,HCN6,Hong Kong,8176.0,12805,474022270.43,2.12
BEONE MEDICINES,6160 HK,Hong Kong,188.4,2166472,408163324.8,1.82
CHINA LIFE INSURANCE,2628 HK,Hong Kong,28.0,13296287,372296036.0,1.66
PETROCHINA,857 HK,Hong Kong,9.54,37701350,359670879.0,1.61
JD.COM INC-CLASS A,9618 HK,Hong Kong,115.7,2847861,329497517.7,1.47
ZIJIN MINING GROUP,2899 HK,Hong Kong,30.2,10700130,323143926.0,1.44
CHINA MERCHANTS BANK,3968 HK,Hong Kong,46.2,6972703,322138878.6,1.44
LENOVO GROUP,992 HK,Hong Kong,23.86,12191292,290884227.12,1.3
BAIDU INC-CLASS A,9888 HK,Hong Kong,107.5,2702772,290547990.0,1.3
AGRICULTURAL BANK OF CHINA,1288 HK,Hong Kong,5.53,52179888,288554780.64,1.29
INNOVENT BIOLOGICS INC,1801 HK,Hong Kong,97.05,2945643,285874653.15,1.28
GLOBAL X USD MM ETF,3137 HK,Hong Kong,1127.15,238556,268888395.4,1.2
CHINA SHENHUA ENERGY,1088 HK,Hong Kong,42.92,5733121,246065553.32,1.1
KUAISHOU TECHNOLOGY,1024 HK,Hong Kong,44.7,5445130,243397311.0,1.09
YUM CHINA HOLDINGS INC,9987 HK,Hong Kong,343.4,627936,215633222.4,0.96
GEELY AUTOMOBILE HOLDINGS LT,175 HK,Hong Kong,18.4,11576126,213000718.4,0.95
POP MART INTERNATIONAL GROUP,9992 HK,Hong Kong,157.3,1317934,207311018.2,0.93
CHINA RESOURCES LAND,1109 HK,Hong Kong,33.64,5733636,192879515.04,0.86
ANTA SPORTS PRODUCTS,2020 HK,Hong Kong,73.75,2498635,184274331.25,0.82
PICC PROPERTY & CASUALTY,2328 HK,Hong Kong,14.27,12328313,175925026.51,0.79
CHINA PETROLEUM & CHEMICAL,386 HK,Hong Kong,4.14,40371133,167136490.62,0.75
KE HOLDINGS INC-CL A,2423 HK,Hong Kong,43.72,3784136,165442425.92,0.74
TRIP.COM GROUP,9961 HK,Hong Kong,335.6,492773,165374618.8,0.74
XPENG INC - CLASS A SHARES,9868 HK,Hong Kong,52.55,2906862,152755598.1,0.68
NONGFU SPRING,9633 HK,Hong Kong,41.58,3598401,149621513.58,0.67
CHINA HONGQIAO GROUP,1378 HK,Hong Kong,23.16,6240780,144536464.8,0.65
AKESO INC,9926 HK,Hong Kong,103.5,1317347,136345414.5,0.61
ZTO EXPRESS CAYMAN INC,2057 HK,Hong Kong,191.2,687837,131514434.4,0.59
LI AUTO INC-CLASS A,2015 HK,Hong Kong,48.78,2507861,122333459.58,0.55
CSPC PHARMACEUTICAL GROUP LT,1093 HK,Hong Kong,8.43,14411957,121492797.51,0.54
CITIC,267 HK,Hong Kong,11.28,10395904,117265797.12,0.52
BANK OF COMMUNICATIONS,3328 HK,Hong Kong,6.9,15640603,107920160.7,0.48
POSTAL SAVINGS BANK OF CHI,1658 HK,Hong Kong,4.78,19514172,93277742.16,0.42
HORIZON ROBOTICS INC,9660 HK,Hong Kong,4.42,20944937,92576621.54,0.41
CHINA OVERSEAS LAND & INVEST,688 HK,Hong Kong,13.08,6844845,89530572.6,0.4
HANSOH PHARMACEUTICAL GROUP,3692 HK,Hong Kong,32.8,2706072,88759161.6,0.4
JD HEALTH INTERNATIONAL INC,6618 HK,Hong Kong,37.52,2008068,75342711.36,0.34
CHINA UNICOM HONG KONG,762 HK,Hong Kong,6.41,10935604,70097221.64,0.31
SHENZHOU INTERNATIONAL GROUP,2313 HK,Hong Kong,43.06,1477080,63603064.8,0.28
CALL HSCEI 07/30/26 C7700 OTC,,,496.0,-11500,-285200000.0,-1.27
CALL HSCEI 07/30/26 C7700 OTC,,,496.0,-12500,-310000000.0,-1.38
CALL HANG SENG CHINA ENT 07/30/26 7700,HSCEI 07/30/26 C7700,Hong Kong,496.0,-32977,-817829600.0,-3.65
