Name of Securities,Exchange Ticker,Exchange,Market Price (in HKD),Number of Shares Held,Market Value (in HKD),Net Assets (%)
CHINA CONSTRUCTION BANK,939 HK,Hong Kong,9.245,157479507,1455898042.22,6.44
TENCENT HOLDINGS,700 HK,Hong Kong,457.0,3066592,1401432544.0,6.2
ALIBABA GROUP HOLDING,9988 HK,Hong Kong,123.0,11282464,1387743072.0,6.14
IND & COMM BK OF CHINA,1398 HK,Hong Kong,7.475,135024859,1009310821.03,4.47
GLOBAL X USD MM ETF,3137 HK,Hong Kong,1134.0,832556,944118504.0,4.18
XIAOMI CORP-CLASS B,1810 HK,Hong Kong,29.02,29728155,862711058.1,3.82
CHINA MOBILE,941 HK,Hong Kong,82.8,10196540,844273512.0,3.74
MEITUAN-CLASS B,3690 HK,Hong Kong,85.0,9099934,773494390.0,3.42
CNOOC,883 HK,Hong Kong,25.18,25528222,642800629.96,2.84
BANK OF CHINA,3988 HK,Hong Kong,5.505,116396858,640764703.29,2.84
PING AN INSURANCE GROUP,2318 HK,Hong Kong,56.2,10976505,616879581.0,2.73
BYD,1211 HK,Hong Kong,93.15,6031824,561864405.6,2.49
NETEASE INC,9999 HK,Hong Kong,202.0,2593914,523970628.0,2.32
SEMICONDUCTOR MANUFACTURI,981 HK,Hong Kong,72.5,6880261,498818922.5,2.21
BEONE MEDICINES,6160 HK,Hong Kong,228.0,1985467,452686476.0,2.0
ZIJIN MINING GROUP,2899 HK,Hong Kong,38.56,9808835,378228677.6,1.67
PETROCHINA,857 HK,Hong Kong,10.13,34552395,350015761.35,1.55
CHINA LIFE INSURANCE,2628 HK,Hong Kong,28.06,12185992,341938935.52,1.51
LENOVO GROUP,992 HK,Hong Kong,29.78,11173432,332744804.96,1.47
CHINA MERCHANTS BANK,3968 HK,Hong Kong,49.44,6390298,315936333.12,1.4
JD.COM INC-CLASS A,9618 HK,Hong Kong,115.2,2609931,300664051.2,1.33
AGRICULTURAL BANK OF CHINA,1288 HK,Hong Kong,6.28,47820353,300311816.84,1.33
INNOVENT BIOLOGICS INC,1801 HK,Hong Kong,102.4,2699438,276422451.2,1.22
CHINA SHENHUA ENERGY,1088 HK,Hong Kong,45.02,5254351,236550882.02,1.05
BAIDU INC-CLASS A,9888 HK,Hong Kong,93.2,2476962,230852858.4,1.02
YUM CHINA HOLDINGS INC,9987 HK,Hong Kong,387.8,575491,223175409.8,0.99
GEELY AUTOMOBILE HOLDINGS LT,175 HK,Hong Kong,18.75,10609856,198934800.0,0.88
CHINA RESOURCES LAND,1109 HK,Hong Kong,35.38,5254881,185917689.78,0.82
PICC PROPERTY & CASUALTY,2328 HK,Hong Kong,16.09,11298783,181797418.47,0.8
POP MART INTERNATIONAL GROUP,9992 HK,Hong Kong,149.0,1207979,179988871.0,0.8
KUAISHOU TECHNOLOGY,1024 HK,Hong Kong,34.42,4990200,171762684.0,0.76
ANTA SPORTS PRODUCTS,2020 HK,Hong Kong,74.1,2290010,169689741.0,0.75
TRIP.COM GROUP,9961 HK,Hong Kong,363.0,451613,163935519.0,0.73
CHINA PETROLEUM & CHEMICAL,386 HK,Hong Kong,4.405,36998343,162977700.92,0.72
KE HOLDINGS INC-CL A,2423 HK,Hong Kong,45.38,3468066,157380835.08,0.7
NONGFU SPRING,9633 HK,Hong Kong,42.54,3297911,140293133.94,0.62
CHINA HONGQIAO GROUP,1378 HK,Hong Kong,23.18,5719695,132582530.1,0.59
XPENG INC - CLASS A SHARES,9868 HK,Hong Kong,48.1,2663967,128136812.7,0.57
CITIC,267 HK,Hong Kong,13.19,9527904,125673053.76,0.56
CSPC PHARMACEUTICAL GROUP LT,1093 HK,Hong Kong,9.19,13209227,121392796.13,0.54
LI AUTO INC-CLASS A,2015 HK,Hong Kong,51.2,2298351,117675571.2,0.52
AKESO INC,9926 HK,Hong Kong,90.25,1207392,108967128.0,0.48
BANK OF COMMUNICATIONS,3328 HK,Hong Kong,7.56,14333708,108362832.48,0.48
ZTO EXPRESS CAYMAN INC,2057 HK,Hong Kong,169.5,630427,106857376.5,0.47
HORIZON ROBOTICS INC,9660 HK,Hong Kong,4.97,19195097,95399632.09,0.42
HSCEI FUTURES 08/28/26,HCQ6,Hong Kong,8637.0,9665,88537750.0,0.39
CHINA OVERSEAS LAND & INVEST,688 HK,Hong Kong,14.1,6273155,88451485.5,0.39
POSTAL SAVINGS BANK OF CHI,1658 HK,Hong Kong,4.935,17884232,88258684.92,0.39
HANSOH PHARMACEUTICAL GROUP,3692 HK,Hong Kong,33.08,2480327,82049217.16,0.36
JD HEALTH INTERNATIONAL INC,6618 HK,Hong Kong,38.66,1840253,71144180.98,0.31
CHINA UNICOM HONG KONG,762 HK,Hong Kong,5.81,10022849,58232752.69,0.26
SHENZHOU INTERNATIONAL GROUP,2313 HK,Hong Kong,41.86,1353785,56669440.1,0.25
CALL HSCEI 08/28/26 C8700 OTC,,,52.0,-8500,-22100000.0,-0.1
CALL HSCEI 08/28/26 C8700 OTC,,,52.0,-11500,-29900000.0,-0.13
CALL HANG SENG CHINA ENT 08/28/26 8700,HSCEI 08/28/26 C8700,Hong Kong,52.0,-21310,-55406000.0,-0.25
CALL HSCEI WEEKLY OPTION 08/21/26 8400,,,198.0,-10400,-102960000.0,-0.46
