Name of Securities,Exchange Ticker,Exchange,Market Price (in HKD),Number of Shares Held,Market Value (in HKD),Net Assets (%)
CHINA CONSTRUCTION BANK,939 HK,Hong Kong,9.175,157479507,1444874476.73,6.49
TENCENT HOLDINGS,700 HK,Hong Kong,440.0,3066592,1349300480.0,6.06
ALIBABA GROUP HOLDING,9988 HK,Hong Kong,112.5,11282464,1269277200.0,5.7
IND & COMM BK OF CHINA,1398 HK,Hong Kong,7.46,135024859,1007285448.14,4.52
GLOBAL X USD MM ETF,3137 HK,Hong Kong,1135.4,832556,945284082.4,4.24
CHINA MOBILE,941 HK,Hong Kong,82.35,10196540,839685069.0,3.77
XIAOMI CORP-CLASS B,1810 HK,Hong Kong,27.82,29728155,827037272.1,3.71
MEITUAN-CLASS B,3690 HK,Hong Kong,82.7,9099934,752564541.8,3.38
CNOOC,883 HK,Hong Kong,25.4,25528222,648416838.8,2.91
BANK OF CHINA,3988 HK,Hong Kong,5.485,116396858,638436766.13,2.87
PING AN INSURANCE GROUP,2318 HK,Hong Kong,56.6,10976505,621270183.0,2.79
BYD,1211 HK,Hong Kong,92.8,6031824,559753267.2,2.51
NETEASE INC,9999 HK,Hong Kong,194.9,2593914,505553838.6,2.27
SEMICONDUCTOR MANUFACTURI,981 HK,Hong Kong,66.75,6880261,459257421.75,2.06
BEONE MEDICINES,6160 HK,Hong Kong,221.4,1985467,439582393.8,1.97
ZIJIN MINING GROUP,2899 HK,Hong Kong,38.44,9808835,377051617.4,1.69
PETROCHINA,857 HK,Hong Kong,10.14,34552395,350361285.3,1.57
CHINA LIFE INSURANCE,2628 HK,Hong Kong,28.66,12185992,349250530.72,1.57
LENOVO GROUP,992 HK,Hong Kong,29.64,11173432,331180524.48,1.49
CHINA MERCHANTS BANK,3968 HK,Hong Kong,49.52,6390298,316447556.96,1.42
AGRICULTURAL BANK OF CHINA,1288 HK,Hong Kong,6.235,47820353,298159900.96,1.34
JD.COM INC-CLASS A,9618 HK,Hong Kong,113.3,2609931,295705182.3,1.33
INNOVENT BIOLOGICS INC,1801 HK,Hong Kong,99.5,2699438,268594081.0,1.21
CHINA SHENHUA ENERGY,1088 HK,Hong Kong,45.64,5254351,239808579.64,1.08
BAIDU INC-CLASS A,9888 HK,Hong Kong,89.7,2476962,222183491.4,1.0
YUM CHINA HOLDINGS INC,9987 HK,Hong Kong,378.8,575491,217995990.8,0.98
GEELY AUTOMOBILE HOLDINGS LT,175 HK,Hong Kong,18.47,10609856,195964040.32,0.88
POP MART INTERNATIONAL GROUP,9992 HK,Hong Kong,155.0,1207979,187236745.0,0.84
PICC PROPERTY & CASUALTY,2328 HK,Hong Kong,16.25,11298783,183605223.75,0.82
CHINA RESOURCES LAND,1109 HK,Hong Kong,34.22,5254881,179822027.82,0.81
CHINA PETROLEUM & CHEMICAL,386 HK,Hong Kong,4.665,36998343,172597270.1,0.77
ANTA SPORTS PRODUCTS,2020 HK,Hong Kong,72.7,2290010,166483727.0,0.75
KUAISHOU TECHNOLOGY,1024 HK,Hong Kong,33.02,4990200,164776404.0,0.74
KE HOLDINGS INC-CL A,2423 HK,Hong Kong,47.0,3468066,162999102.0,0.73
TRIP.COM GROUP,9961 HK,Hong Kong,359.8,451613,162490357.4,0.73
NONGFU SPRING,9633 HK,Hong Kong,43.14,3297911,142271880.54,0.64
CHINA HONGQIAO GROUP,1378 HK,Hong Kong,23.9,5719695,136700710.5,0.61
XPENG INC - CLASS A SHARES,9868 HK,Hong Kong,47.68,2663967,127017946.56,0.57
CSPC PHARMACEUTICAL GROUP LT,1093 HK,Hong Kong,9.395,13209227,124100687.67,0.56
CITIC,267 HK,Hong Kong,13.02,9527904,124053310.08,0.56
LI AUTO INC-CLASS A,2015 HK,Hong Kong,49.46,2298351,113676440.46,0.51
BANK OF COMMUNICATIONS,3328 HK,Hong Kong,7.555,14333708,108291163.94,0.49
AKESO INC,9926 HK,Hong Kong,88.35,1207392,106673083.2,0.48
ZTO EXPRESS CAYMAN INC,2057 HK,Hong Kong,164.1,630427,103453070.7,0.46
HORIZON ROBOTICS INC,9660 HK,Hong Kong,4.745,19195097,91080735.27,0.41
POSTAL SAVINGS BANK OF CHI,1658 HK,Hong Kong,4.99,17884232,89242317.68,0.4
CHINA OVERSEAS LAND & INVEST,688 HK,Hong Kong,13.83,6273155,86757733.65,0.39
HANSOH PHARMACEUTICAL GROUP,3692 HK,Hong Kong,31.06,2480327,77038956.62,0.35
JD HEALTH INTERNATIONAL INC,6618 HK,Hong Kong,37.32,1840253,68678241.96,0.31
CHINA UNICOM HONG KONG,762 HK,Hong Kong,5.805,10022849,58182638.45,0.26
SHENZHOU INTERNATIONAL GROUP,2313 HK,Hong Kong,42.08,1353785,56967272.8,0.26
CALL HSCEI 08/28/26 C8700 OTC,,,8.0,-8500,-3400000.0,-0.02
CALL HSCEI 08/28/26 C8700 OTC,,,8.0,-11500,-4600000.0,-0.02
HSCEI FUTURES 08/28/26,HCQ6,Hong Kong,8444.0,9665,-4729500.0,-0.02
CALL HANG SENG CHINA ENT 08/28/26 8700,HSCEI 08/28/26 C8700,Hong Kong,8.0,-31710,-12684000.0,-0.06
