Name of Securities,Exchange Ticker,Exchange,Market Price (in HKD),Number of Shares Held,Market Value (in HKD),Net Assets (%)
CHINA CONSTRUCTION BANK,939 HK,Hong Kong,9.61,148419507,1426311462.27,6.57
TENCENT HOLDINGS,700 HK,Hong Kong,438.8,3227892,1416399009.6,6.52
ALIBABA GROUP HOLDING,9988 HK,Hong Kong,107.2,12905964,1383519340.8,6.37
IND & COMM BK OF CHINA,1398 HK,Hong Kong,7.49,132115859,989547783.91,4.56
GLOBAL X USD MM ETF,3137 HK,Hong Kong,1138.0,832556,947448728.0,4.36
CHINA MOBILE,941 HK,Hong Kong,79.05,9989540,789673137.0,3.64
XIAOMI CORP-CLASS B,1810 HK,Hong Kong,26.5,28920955,766405307.5,3.53
BANK OF CHINA,3988 HK,Hong Kong,5.955,113888858,678208149.39,3.12
MEITUAN-CLASS B,3690 HK,Hong Kong,74.75,8904434,665606441.5,3.07
CNOOC,883 HK,Hong Kong,24.48,24978222,611466874.56,2.82
PING AN INSURANCE GROUP,2318 HK,Hong Kong,53.05,10740005,569757265.25,2.62
NETEASE INC,9999 HK,Hong Kong,187.1,2821114,527830429.4,2.43
BYD,1211 HK,Hong Kong,79.05,5901924,466547092.2,2.15
SEMICONDUCTOR MANUFACTURI,981 HK,Hong Kong,60.75,7226761,439025730.75,2.02
BEONE MEDICINES,6160 HK,Hong Kong,212.4,1942667,412622470.8,1.9
LENOVO GROUP,992 HK,Hong Kong,31.2,11925432,372073478.4,1.71
CHINA LIFE INSURANCE,2628 HK,Hong Kong,28.96,11922992,345289848.32,1.59
PETROCHINA,857 HK,Hong Kong,9.975,33808395,337238740.13,1.55
CHINA MERCHANTS BANK,3968 HK,Hong Kong,51.2,6252798,320143257.6,1.47
ZIJIN MINING GROUP,2899 HK,Hong Kong,33.3,9596835,319574605.5,1.47
AGRICULTURAL BANK OF CHINA,1288 HK,Hong Kong,6.31,46790353,295247127.43,1.36
JD.COM INC-CLASS A,9618 HK,Hong Kong,106.3,2483681,264015290.3,1.22
INNOVENT BIOLOGICS INC,1801 HK,Hong Kong,95.0,2646438,251411610.0,1.16
BNYM-USD LIQ-ADVANT,DRELIQP ID,,1.0,30008182,235395218.15,1.08
CHINA SHENHUA ENERGY,1088 HK,Hong Kong,45.48,5141351,233828643.48,1.08
BAIDU INC-CLASS A-HKD,9888 HK,Hong Kong,88.9,2509412,223086726.8,1.03
PICC PROPERTY & CASUALTY,2328 HK,Hong Kong,16.79,11054783,185609806.57,0.85
YUM CHINA HOLDINGS INC,9987 HK,Hong Kong,331.2,552891,183117499.2,0.84
POP MART INTERNATIONAL GROUP,9992 HK,Hong Kong,152.2,1173779,178649163.8,0.82
TRIP.COM GROUP,9961 HK,Hong Kong,311.2,557413,173466925.6,0.8
CHINA PETROLEUM & CHEMICAL,386 HK,Hong Kong,4.63,36202343,167616848.09,0.77
GEELY AUTOMOBILE HOLDINGS LT,175 HK,Hong Kong,16.14,10368856,167353335.84,0.77
ANTA SPORTS PRODUCTS,2020 HK,Hong Kong,73.25,2240610,164124682.5,0.76
CHINA RESOURCES LAND,1109 HK,Hong Kong,28.48,5141881,146440770.88,0.67
KUAISHOU TECHNOLOGY,1024 HK,Hong Kong,29.8,4853100,144622380.0,0.67
KE HOLDINGS INC-CL A,2423 HK,Hong Kong,42.82,3328766,142537760.12,0.66
NONGFU SPRING,9633 HK,Hong Kong,39.44,3226911,127269369.84,0.59
CITIC,267 HK,Hong Kong,12.98,9322904,121011293.92,0.56
CHINA HONGQIAO GROUP,1378 HK,Hong Kong,21.48,5507195,118294548.6,0.54
BANK OF COMMUNICATIONS,3328 HK,Hong Kong,8.025,14025708,112556306.7,0.52
AKESO INC,9926 HK,Hong Kong,95.25,1181392,112527588.0,0.52
CSPC PHARMACEUTICAL GROUP LT,1093 HK,Hong Kong,8.7,12925227,112449474.9,0.52
XPENG INC - CLASS A SHARES,9868 HK,Hong Kong,40.38,2609667,105378353.46,0.49
LI AUTO INC-CLASS A,2015 HK,Hong Kong,46.12,2186151,100825284.12,0.46
ZTO EXPRESS CAYMAN INC,2057 HK,Hong Kong,161.1,616827,99370829.7,0.46
POSTAL SAVINGS BANK OF CHI,1658 HK,Hong Kong,5.33,17499232,93270906.56,0.43
HANSOH PHARMACEUTICAL GROUP,3692 HK,Hong Kong,33.92,2430327,82436691.84,0.38
HORIZON ROBOTICS INC,9660 HK,Hong Kong,4.11,18678497,76768622.67,0.35
CHINA OVERSEAS LAND & INVEST,688 HK,Hong Kong,12.12,6138155,74394438.6,0.34
JD HEALTH INTERNATIONAL INC,6618 HK,Hong Kong,34.8,1800803,62667944.4,0.29
CHINA UNICOM HONG KONG,762 HK,Hong Kong,5.81,9806849,56977792.69,0.26
SHENZHOU INTERNATIONAL GROUP,2313 HK,Hong Kong,35.32,1324385,46777278.2,0.22
CALL HSCEI 09/29/26 C8600 OTC,,,16.0,-8500,-6800000.0,-0.03
CALL HSCEI 09/29/26 C8600 OTC,,,16.0,-9000,-7200000.0,-0.03
CALL HSCEI WEEKLY OPTION 09/18/26 8375,,,12.0,-13280,-7968000.0,-0.04
CALL HANG SENG CHINA ENT 09/29/26 8600,HSCEI 09/29/26 C8600,Hong Kong,16.0,-18710,-14968000.0,-0.07
HSCEI FUTURES 09/29/26,HCU6,Hong Kong,8212.0,10218,-145193950.0,-0.67
