Name of Securities,Exchange Ticker,Exchange,Market Price (in HKD),Number of Shares Held,Market Value (in HKD),Net Assets (%)
TENCENT HOLDINGS,700 HK,Hong Kong,460.2,3349772,1541565074.4,6.9
CHINA CONSTRUCTION BANK,939 HK,Hong Kong,8.13,172022913,1398546282.69,6.26
ALIBABA GROUP HOLDING,9988 HK,Hong Kong,110.2,12324403,1358149210.6,6.08
IND & COMM BK OF CHINA,1398 HK,Hong Kong,6.66,147494446,982313010.36,4.4
CHINA MOBILE,941 HK,Hong Kong,78.75,11137847,877105451.25,3.93
XIAOMI CORP-CLASS B,1810 HK,Hong Kong,25.84,32473610,839118082.4,3.76
MEITUAN-CLASS B,3690 HK,Hong Kong,78.7,9940212,782294684.4,3.5
BANK OF CHINA,3988 HK,Hong Kong,5.09,127145464,647170411.76,2.9
PING AN INSURANCE GROUP,2318 HK,Hong Kong,53.05,11990249,636082709.45,2.85
CNOOC,883 HK,Hong Kong,21.82,27884928,608449128.96,2.73
SEMICONDUCTOR MANUFACTURI,981 HK,Hong Kong,79.65,7515024,598571661.6,2.68
NETEASE INC,9999 HK,Hong Kong,206.8,2833423,585951876.4,2.62
BYD,1211 HK,Hong Kong,84.9,6588820,559390818.0,2.51
BEONE MEDICINES,6160 HK,Hong Kong,183.5,2168806,397975901.0,1.78
HSCEI FUTURES 07/30/26,HCN6,Hong Kong,8028.0,12818,379650674.87,1.7
CHINA LIFE INSURANCE,2628 HK,Hong Kong,28.42,13310612,378287593.04,1.69
PETROCHINA,857 HK,Hong Kong,9.03,37741970,340809989.1,1.53
ZIJIN MINING GROUP,2899 HK,Hong Kong,30.0,10711658,321349740.0,1.44
CHINA MERCHANTS BANK,3968 HK,Hong Kong,45.72,6980215,319135429.8,1.43
JD.COM INC-CLASS A,9618 HK,Hong Kong,110.2,2850929,314172375.8,1.41
BAIDU INC-CLASS A,9888 HK,Hong Kong,115.4,2705684,312235933.6,1.4
LENOVO GROUP,992 HK,Hong Kong,24.48,12204427,298764372.96,1.34
AGRICULTURAL BANK OF CHINA,1288 HK,Hong Kong,5.49,52236107,286776227.43,1.28
GLOBAL X USD MM ETF,3137 HK,Hong Kong,1127.05,238556,268864539.8,1.2
INNOVENT BIOLOGICS INC,1801 HK,Hong Kong,89.7,2948816,264508795.2,1.18
KUAISHOU TECHNOLOGY,1024 HK,Hong Kong,43.04,5450996,234610867.84,1.05
CHINA SHENHUA ENERGY,1088 HK,Hong Kong,40.86,5739297,234507675.42,1.05
GEELY AUTOMOBILE HOLDINGS LT,175 HK,Hong Kong,18.64,11588598,216011466.72,0.97
YUM CHINA HOLDINGS INC,9987 HK,Hong Kong,337.2,628612,211967966.4,0.95
POP MART INTERNATIONAL GROUP,9992 HK,Hong Kong,150.7,1319353,198826497.1,0.89
CHINA RESOURCES LAND,1109 HK,Hong Kong,32.18,5739813,184707182.34,0.83
ANTA SPORTS PRODUCTS,2020 HK,Hong Kong,72.95,2501327,182471804.65,0.82
PICC PROPERTY & CASUALTY,2328 HK,Hong Kong,14.18,12341595,175003817.1,0.78
CHINA PETROLEUM & CHEMICAL,386 HK,Hong Kong,4.06,40414629,164083393.74,0.73
TRIP.COM GROUP,9961 HK,Hong Kong,329.4,493303,162494008.2,0.73
KE HOLDINGS INC-CL A,2423 HK,Hong Kong,40.62,3788213,153877212.06,0.69
XPENG INC - CLASS A SHARES,9868 HK,Hong Kong,51.25,2909993,149137141.25,0.67
NONGFU SPRING,9633 HK,Hong Kong,39.74,3602277,143154487.98,0.64
CHINA HONGQIAO GROUP,1378 HK,Hong Kong,20.74,6247503,129573212.22,0.58
AKESO INC,9926 HK,Hong Kong,97.25,1318766,128249993.5,0.57
ZTO EXPRESS CAYMAN INC,2057 HK,Hong Kong,185.4,688578,127662361.2,0.57
LI AUTO INC-CLASS A,2015 HK,Hong Kong,47.42,2510563,119050897.46,0.53
CSPC PHARMACEUTICAL GROUP LT,1093 HK,Hong Kong,8.11,14427484,117006895.24,0.52
CITIC,267 HK,Hong Kong,11.02,10407104,114686286.08,0.51
BANK OF COMMUNICATIONS,3328 HK,Hong Kong,6.83,15657454,106940410.82,0.48
HORIZON ROBOTICS INC,9660 HK,Hong Kong,4.42,20967503,92676363.26,0.42
POSTAL SAVINGS BANK OF CHI,1658 HK,Hong Kong,4.67,19535196,91229365.32,0.41
CHINA OVERSEAS LAND & INVEST,688 HK,Hong Kong,12.91,6852219,88462147.29,0.4
HANSOH PHARMACEUTICAL GROUP,3692 HK,Hong Kong,31.94,2708987,86525044.78,0.39
JD HEALTH INTERNATIONAL INC,6618 HK,Hong Kong,37.3,2010231,74981616.3,0.34
CHINA UNICOM HONG KONG,762 HK,Hong Kong,6.4,10947386,70063270.4,0.31
SHENZHOU INTERNATIONAL GROUP,2313 HK,Hong Kong,43.7,1478671,64617922.7,0.29
CALL HSCEI 07/30/26 C7700 OTC,,,383.0,-11500,-220225000.0,-0.99
CALL HSCEI 07/30/26 C7700 OTC,,,383.0,-12500,-239375000.0,-1.07
CALL HANG SENG CHINA ENT 07/30/26 7700,HSCEI 07/30/26 C7700,Hong Kong,383.0,-33038,-632677700.0,-2.83
