Name of Securities,Exchange Ticker,Exchange,Market Price (in HKD),Number of Shares Held,Market Value (in HKD),Net Assets (%)
CHINA CONSTRUCTION BANK,939 HK,Hong Kong,9.59,148419507,1423343072.13,6.53
ALIBABA GROUP HOLDING,9988 HK,Hong Kong,109.3,12905964,1410621865.2,6.48
TENCENT HOLDINGS,700 HK,Hong Kong,419.0,3227892,1352486748.0,6.21
IND & COMM BK OF CHINA,1398 HK,Hong Kong,7.5,132115859,990868942.5,4.55
GLOBAL X USD MM ETF,3137 HK,Hong Kong,1138.95,832556,948239656.2,4.35
CHINA MOBILE,941 HK,Hong Kong,79.05,9989540,789673137.0,3.62
XIAOMI CORP-CLASS B,1810 HK,Hong Kong,26.4,28920955,763513212.0,3.5
BANK OF CHINA,3988 HK,Hong Kong,5.985,113888858,681624815.13,3.13
MEITUAN-CLASS B,3690 HK,Hong Kong,73.2,8904434,651804568.8,2.99
CNOOC,883 HK,Hong Kong,23.6,24978222,589486039.2,2.71
PING AN INSURANCE GROUP,2318 HK,Hong Kong,53.2,10740005,571368266.0,2.62
NETEASE INC,9999 HK,Hong Kong,183.6,2821114,517956530.4,2.38
BYD,1211 HK,Hong Kong,81.5,5901924,481006806.0,2.21
SEMICONDUCTOR MANUFACTURI,981 HK,Hong Kong,65.15,7226761,470823479.15,2.16
LENOVO GROUP,992 HK,Hong Kong,37.58,11925432,448157734.56,2.06
BEONE MEDICINES,6160 HK,Hong Kong,212.6,1942667,413011004.2,1.9
CHINA LIFE INSURANCE,2628 HK,Hong Kong,29.38,11922992,350297504.96,1.61
ZIJIN MINING GROUP,2899 HK,Hong Kong,34.14,9596835,327635946.9,1.5
PETROCHINA,857 HK,Hong Kong,9.49,33808395,320841668.55,1.47
CHINA MERCHANTS BANK,3968 HK,Hong Kong,51.2,6252798,320143257.6,1.47
AGRICULTURAL BANK OF CHINA,1288 HK,Hong Kong,6.3,46790353,294779223.9,1.35
JD.COM INC-CLASS A,9618 HK,Hong Kong,105.0,2483681,260786505.0,1.2
INNOVENT BIOLOGICS INC,1801 HK,Hong Kong,96.6,2646438,255645910.8,1.17
BNYM-USD LIQ-ADVANT,DRELIQP ID,,1.0,30008182,235458016.81,1.08
CHINA SHENHUA ENERGY,1088 HK,Hong Kong,44.46,5141351,228584465.46,1.05
BAIDU INC-CLASS A-HKD,9888 HK,Hong Kong,87.2,2509412,218820726.4,1.0
PICC PROPERTY & CASUALTY,2328 HK,Hong Kong,16.74,11054783,185057067.42,0.85
POP MART INTERNATIONAL GROUP,9992 HK,Hong Kong,155.1,1173779,182053122.9,0.84
YUM CHINA HOLDINGS INC,9987 HK,Hong Kong,324.2,552891,179247262.2,0.82
TRIP.COM GROUP,9961 HK,Hong Kong,319.4,557413,178037712.2,0.82
GEELY AUTOMOBILE HOLDINGS LT,175 HK,Hong Kong,15.94,10368856,165279564.64,0.76
CHINA PETROLEUM & CHEMICAL,386 HK,Hong Kong,4.51,36202343,163272566.93,0.75
ANTA SPORTS PRODUCTS,2020 HK,Hong Kong,71.7,2240610,160651737.0,0.74
KUAISHOU TECHNOLOGY,1024 HK,Hong Kong,30.74,4853100,149184294.0,0.68
CHINA RESOURCES LAND,1109 HK,Hong Kong,28.64,5141881,147263471.84,0.68
KE HOLDINGS INC-CL A,2423 HK,Hong Kong,43.08,3328766,143403239.28,0.66
NONGFU SPRING,9633 HK,Hong Kong,38.6,3226911,124558764.6,0.57
CHINA HONGQIAO GROUP,1378 HK,Hong Kong,22.12,5507195,121819153.4,0.56
CITIC,267 HK,Hong Kong,13.04,9322904,121570668.16,0.56
CSPC PHARMACEUTICAL GROUP LT,1093 HK,Hong Kong,8.93,12925227,115422277.11,0.53
BANK OF COMMUNICATIONS,3328 HK,Hong Kong,8.14,14025708,114169263.12,0.52
XPENG INC - CLASS A SHARES,9868 HK,Hong Kong,42.04,2609667,109710400.68,0.5
AKESO INC,9926 HK,Hong Kong,90.5,1181392,106915976.0,0.49
LI AUTO INC-CLASS A,2015 HK,Hong Kong,47.56,2186151,103973341.56,0.48
ZTO EXPRESS CAYMAN INC,2057 HK,Hong Kong,163.0,616827,100542801.0,0.46
POSTAL SAVINGS BANK OF CHI,1658 HK,Hong Kong,5.4,17499232,94495852.8,0.43
HANSOH PHARMACEUTICAL GROUP,3692 HK,Hong Kong,34.3,2430327,83360216.1,0.38
HORIZON ROBOTICS INC,9660 HK,Hong Kong,4.195,18678497,78356294.92,0.36
CHINA OVERSEAS LAND & INVEST,688 HK,Hong Kong,12.2,6138155,74885491.0,0.34
JD HEALTH INTERNATIONAL INC,6618 HK,Hong Kong,36.28,1800803,65333132.84,0.3
CHINA UNICOM HONG KONG,762 HK,Hong Kong,5.73,9806849,56193244.77,0.26
SHENZHOU INTERNATIONAL GROUP,2313 HK,Hong Kong,35.04,1324385,46406450.4,0.21
CALL HSCEI WEEKLY OPTION 09/18/26 8375,,,0.0,-13280,0.0,0.0
CALL HSCEI 09/29/26 C8600 OTC,,,10.0,-8500,-4250000.0,-0.02
CALL HSCEI 09/29/26 C8600 OTC,,,10.0,-9000,-4500000.0,-0.02
CALL HANG SENG CHINA ENT 09/29/26 8600,HSCEI 09/29/26 C8600,Hong Kong,10.0,-18710,-9355000.0,-0.04
HSCEI FUTURES 09/29/26,HCU6,Hong Kong,8231.0,10218,-135486850.0,-0.62
