Name of Securities,Exchange Ticker,Exchange,Market Price (in HKD),Number of Shares Held,Market Value (in HKD),Net Assets (%)
TENCENT HOLDINGS,700 HK,Hong Kong,492.2,3066592,1509376582.4,6.74
ALIBABA GROUP HOLDING,9988 HK,Hong Kong,128.1,11282464,1445283638.4,6.45
CHINA CONSTRUCTION BANK,939 HK,Hong Kong,8.8,157479507,1385819661.6,6.19
IND & COMM BK OF CHINA,1398 HK,Hong Kong,7.205,135024859,972854109.1,4.34
MEITUAN-CLASS B,3690 HK,Hong Kong,93.05,9099934,846748858.7,3.78
CHINA MOBILE,941 HK,Hong Kong,82.7,10196540,843253858.0,3.77
XIAOMI CORP-CLASS B,1810 HK,Hong Kong,27.64,29728155,821686204.2,3.67
PING AN INSURANCE GROUP,2318 HK,Hong Kong,58.0,10976505,636637290.0,2.84
BANK OF CHINA,3988 HK,Hong Kong,5.27,116396858,613411441.66,2.74
CNOOC,883 HK,Hong Kong,22.96,25528222,586127977.12,2.62
BYD,1211 HK,Hong Kong,93.8,6031824,565785091.2,2.53
GLOBAL X USD MM ETF,3137 HK,Hong Kong,1132.75,488556,553411809.0,2.47
NETEASE INC,9999 HK,Hong Kong,202.6,2593914,525526976.4,2.35
SEMICONDUCTOR MANUFACTURI,981 HK,Hong Kong,68.0,6880261,467857748.0,2.09
BEONE MEDICINES,6160 HK,Hong Kong,198.7,1985467,394512292.9,1.76
CHINA LIFE INSURANCE,2628 HK,Hong Kong,29.26,12185992,356562125.92,1.59
ZIJIN MINING GROUP,2899 HK,Hong Kong,35.2,9808835,345270992.0,1.54
JD.COM INC-CLASS A,9618 HK,Hong Kong,130.0,2609931,339291030.0,1.52
PETROCHINA,857 HK,Hong Kong,9.49,34552395,327902228.55,1.46
CHINA MERCHANTS BANK,3968 HK,Hong Kong,48.76,6390298,311590930.48,1.39
LENOVO GROUP,992 HK,Hong Kong,26.28,11173432,293637792.96,1.31
AGRICULTURAL BANK OF CHINA,1288 HK,Hong Kong,5.94,47820353,284052896.82,1.27
BAIDU INC-CLASS A,9888 HK,Hong Kong,112.0,2476962,277419744.0,1.24
INNOVENT BIOLOGICS INC,1801 HK,Hong Kong,90.3,2699438,243759251.4,1.09
KUAISHOU TECHNOLOGY,1024 HK,Hong Kong,45.48,4990200,226954296.0,1.01
CHINA SHENHUA ENERGY,1088 HK,Hong Kong,42.14,5254351,221418351.14,0.99
YUM CHINA HOLDINGS INC,9987 HK,Hong Kong,379.0,575491,218111089.0,0.97
GEELY AUTOMOBILE HOLDINGS LT,175 HK,Hong Kong,19.43,10609856,206149502.08,0.92
POP MART INTERNATIONAL GROUP,9992 HK,Hong Kong,161.4,1207979,194967810.6,0.87
PICC PROPERTY & CASUALTY,2328 HK,Hong Kong,16.0,11298783,180780528.0,0.81
CHINA RESOURCES LAND,1109 HK,Hong Kong,33.08,5254881,173831463.48,0.78
ANTA SPORTS PRODUCTS,2020 HK,Hong Kong,75.55,2290010,173010255.5,0.77
TRIP.COM GROUP,9961 HK,Hong Kong,366.6,451613,165561325.8,0.74
CHINA PETROLEUM & CHEMICAL,386 HK,Hong Kong,4.325,36998343,160017833.48,0.71
KE HOLDINGS INC-CL A,2423 HK,Hong Kong,44.6,3468066,154675743.6,0.69
NONGFU SPRING,9633 HK,Hong Kong,42.02,3297911,138578220.22,0.62
CHINA HONGQIAO GROUP,1378 HK,Hong Kong,24.04,5719695,137501467.8,0.61
XPENG INC - CLASS A SHARES,9868 HK,Hong Kong,47.24,2663967,125845801.08,0.56
ZTO EXPRESS CAYMAN INC,2057 HK,Hong Kong,190.8,630427,120285471.6,0.54
LI AUTO INC-CLASS A,2015 HK,Hong Kong,50.65,2298351,116411478.15,0.52
AKESO INC,9926 HK,Hong Kong,95.5,1207392,115305936.0,0.51
CITIC,267 HK,Hong Kong,12.02,9527904,114525406.08,0.51
CSPC PHARMACEUTICAL GROUP LT,1093 HK,Hong Kong,8.375,13209227,110627276.13,0.49
BANK OF COMMUNICATIONS,3328 HK,Hong Kong,7.335,14333708,105137748.18,0.47
HORIZON ROBOTICS INC,9660 HK,Hong Kong,5.165,19195097,99142676.01,0.44
POSTAL SAVINGS BANK OF CHI,1658 HK,Hong Kong,4.865,17884232,87006788.68,0.39
HSCEI FUTURES 08/28/26,HCQ6,Hong Kong,8612.0,10479,84009500.0,0.38
CHINA OVERSEAS LAND & INVEST,688 HK,Hong Kong,13.2,6273155,82805646.0,0.37
HANSOH PHARMACEUTICAL GROUP,3692 HK,Hong Kong,31.42,2480327,77931874.34,0.35
JD HEALTH INTERNATIONAL INC,6618 HK,Hong Kong,39.36,1840253,72432358.08,0.32
CHINA UNICOM HONG KONG,762 HK,Hong Kong,6.59,10022849,66050574.91,0.29
SHENZHOU INTERNATIONAL GROUP,2313 HK,Hong Kong,42.98,1353785,58185679.3,0.26
CALL HSCEI WEEKLY OPTION 08/07/26 8750,,,10.0,-2693,-1346500.0,-0.01
CALL HSCEI 08/28/26 C8700 OTC,,,128.0,-8500,-54400000.0,-0.24
CALL HSCEI 08/28/26 C8700 OTC,,,128.0,-11500,-73600000.0,-0.33
CALL HANG SENG CHINA ENT 08/28/26 8700,HSCEI 08/28/26 C8700,Hong Kong,128.0,-29010,-185664000.0,-0.83
