Name of Securities,Exchange Ticker,Exchange,Market Price (in HKD),Number of Shares Held,Market Value (in HKD),Net Assets (%)
CHINA CONSTRUCTION BANK,939 HK,Hong Kong,9.18,157479507,1445661874.26,6.49
TENCENT HOLDINGS,700 HK,Hong Kong,442.0,3066592,1355433664.0,6.09
ALIBABA GROUP HOLDING,9988 HK,Hong Kong,114.2,11282464,1288457388.8,5.79
IND & COMM BK OF CHINA,1398 HK,Hong Kong,7.475,135024859,1009310821.03,4.53
GLOBAL X USD MM ETF,3137 HK,Hong Kong,1135.5,832556,945367338.0,4.25
XIAOMI CORP-CLASS B,1810 HK,Hong Kong,27.76,29728155,825253582.8,3.71
CHINA MOBILE,941 HK,Hong Kong,80.15,10196540,817252681.0,3.67
MEITUAN-CLASS B,3690 HK,Hong Kong,77.2,9099934,702514904.8,3.16
BANK OF CHINA,3988 HK,Hong Kong,5.545,116396858,645420577.61,2.9
CNOOC,883 HK,Hong Kong,25.12,25528222,641268936.64,2.88
PING AN INSURANCE GROUP,2318 HK,Hong Kong,56.4,10976505,619074882.0,2.78
BYD,1211 HK,Hong Kong,93.6,6031824,564578726.4,2.54
NETEASE INC,9999 HK,Hong Kong,199.0,2593914,516188886.0,2.32
SEMICONDUCTOR MANUFACTURI,981 HK,Hong Kong,67.85,6880261,466825708.85,2.1
BEONE MEDICINES,6160 HK,Hong Kong,223.2,1985467,443156234.4,1.99
ZIJIN MINING GROUP,2899 HK,Hong Kong,37.04,9808835,363319248.4,1.63
PETROCHINA,857 HK,Hong Kong,10.06,34552395,347597093.7,1.56
LENOVO GROUP,992 HK,Hong Kong,30.8,11173432,344141705.6,1.55
CHINA LIFE INSURANCE,2628 HK,Hong Kong,28.12,12185992,342670095.04,1.54
CHINA MERCHANTS BANK,3968 HK,Hong Kong,49.38,6390298,315552915.24,1.42
AGRICULTURAL BANK OF CHINA,1288 HK,Hong Kong,6.25,47820353,298877206.25,1.34
JD.COM INC-CLASS A,9618 HK,Hong Kong,113.0,2609931,294922203.0,1.32
INNOVENT BIOLOGICS INC,1801 HK,Hong Kong,100.1,2699438,270213743.8,1.21
CHINA SHENHUA ENERGY,1088 HK,Hong Kong,45.22,5254351,237601752.22,1.07
BAIDU INC-CLASS A,9888 HK,Hong Kong,89.75,2476962,222307339.5,1.0
YUM CHINA HOLDINGS INC,9987 HK,Hong Kong,374.8,575491,215694026.8,0.97
GEELY AUTOMOBILE HOLDINGS LT,175 HK,Hong Kong,18.98,10609856,201375066.88,0.9
POP MART INTERNATIONAL GROUP,9992 HK,Hong Kong,155.2,1207979,187478340.8,0.84
PICC PROPERTY & CASUALTY,2328 HK,Hong Kong,16.16,11298783,182588333.28,0.82
CHINA RESOURCES LAND,1109 HK,Hong Kong,34.28,5254881,180137320.68,0.81
CHINA PETROLEUM & CHEMICAL,386 HK,Hong Kong,4.7,36998343,173892212.1,0.78
KUAISHOU TECHNOLOGY,1024 HK,Hong Kong,33.26,4990200,165974052.0,0.75
ANTA SPORTS PRODUCTS,2020 HK,Hong Kong,71.9,2290010,164651719.0,0.74
TRIP.COM GROUP,9961 HK,Hong Kong,355.8,451613,160683905.4,0.72
KE HOLDINGS INC-CL A,2423 HK,Hong Kong,45.72,3468066,158559977.52,0.71
NONGFU SPRING,9633 HK,Hong Kong,43.04,3297911,141942089.44,0.64
CHINA HONGQIAO GROUP,1378 HK,Hong Kong,23.48,5719695,134298438.6,0.6
CSPC PHARMACEUTICAL GROUP LT,1093 HK,Hong Kong,9.41,13209227,124298826.07,0.56
CITIC,267 HK,Hong Kong,12.92,9527904,123100519.68,0.55
XPENG INC - CLASS A SHARES,9868 HK,Hong Kong,43.3,2663967,115349771.1,0.52
LI AUTO INC-CLASS A,2015 HK,Hong Kong,47.68,2298351,109585375.68,0.49
BANK OF COMMUNICATIONS,3328 HK,Hong Kong,7.535,14333708,108004489.78,0.49
AKESO INC,9926 HK,Hong Kong,88.9,1207392,107337148.8,0.48
ZTO EXPRESS CAYMAN INC,2057 HK,Hong Kong,164.5,630427,103705241.5,0.47
HORIZON ROBOTICS INC,9660 HK,Hong Kong,4.77,19195097,91560612.69,0.41
POSTAL SAVINGS BANK OF CHI,1658 HK,Hong Kong,4.945,17884232,88437527.24,0.4
CHINA OVERSEAS LAND & INVEST,688 HK,Hong Kong,13.79,6273155,86506807.45,0.39
BNYM-USD LIQ-ADVANT,DRELIQP ID,,1.0,10000000,78387721.35,0.35
HANSOH PHARMACEUTICAL GROUP,3692 HK,Hong Kong,31.58,2480327,78328726.66,0.35
JD HEALTH INTERNATIONAL INC,6618 HK,Hong Kong,37.94,1840253,69819198.82,0.31
CHINA UNICOM HONG KONG,762 HK,Hong Kong,5.78,10022849,57932067.22,0.26
SHENZHOU INTERNATIONAL GROUP,2313 HK,Hong Kong,41.14,1353785,55694714.9,0.25
HSCEI FUTURES 08/28/26,HCQ6,Hong Kong,8459.0,7665,1445500.0,0.01
HSCEI FUTURES 09/29/26,HCU6,Hong Kong,8446.0,2000,-1400000.0,-0.01
CALL HSCEI 08/28/26 C8700 OTC,,,5.0,-8500,-2125000.0,-0.01
CALL HSCEI 08/28/26 C8700 OTC,,,5.0,-11500,-2875000.0,-0.01
CALL HANG SENG CHINA ENT 08/28/26 8700,HSCEI 08/28/26 C8700,Hong Kong,5.0,-31710,-7927500.0,-0.04
