Name of Securities,Exchange Ticker,Exchange,Market Price (in HKD),Number of Shares Held,Market Value (in HKD),Net Assets (%)
CHINA CONSTRUCTION BANK,939 HK,Hong Kong,9.5,157479507,1496055316.5,6.74
TENCENT HOLDINGS,700 HK,Hong Kong,453.0,3066592,1389166176.0,6.26
ALIBABA GROUP HOLDING,9988 HK,Hong Kong,114.2,11282464,1288457388.8,5.81
IND & COMM BK OF CHINA,1398 HK,Hong Kong,7.57,135024859,1022138182.63,4.61
GLOBAL X USD MM ETF,3137 HK,Hong Kong,1135.0,832556,944951060.0,4.26
XIAOMI CORP-CLASS B,1810 HK,Hong Kong,27.62,29728155,821091641.1,3.7
CHINA MOBILE,941 HK,Hong Kong,79.25,10196540,808075795.0,3.64
MEITUAN-CLASS B,3690 HK,Hong Kong,78.9,9099934,717984792.6,3.24
BANK OF CHINA,3988 HK,Hong Kong,5.9,116396858,686741462.2,3.09
CNOOC,883 HK,Hong Kong,25.3,25528222,645864016.6,2.91
PING AN INSURANCE GROUP,2318 HK,Hong Kong,56.55,10976505,620721357.75,2.8
BYD,1211 HK,Hong Kong,87.2,6031824,525975052.8,2.37
NETEASE INC,9999 HK,Hong Kong,192.4,2593914,499069053.6,2.25
SEMICONDUCTOR MANUFACTURI,981 HK,Hong Kong,70.75,6880261,486778465.75,2.19
BEONE MEDICINES,6160 HK,Hong Kong,215.4,1985467,427669591.8,1.93
CHINA LIFE INSURANCE,2628 HK,Hong Kong,30.3,12185992,369235557.6,1.66
ZIJIN MINING GROUP,2899 HK,Hong Kong,36.62,9808835,359199537.7,1.62
PETROCHINA,857 HK,Hong Kong,10.17,34552395,351397857.15,1.58
LENOVO GROUP,992 HK,Hong Kong,30.04,11173432,335649897.28,1.51
CHINA MERCHANTS BANK,3968 HK,Hong Kong,50.95,6390298,325585683.1,1.47
AGRICULTURAL BANK OF CHINA,1288 HK,Hong Kong,6.345,47820353,303420139.79,1.37
JD.COM INC-CLASS A,9618 HK,Hong Kong,112.2,2609931,292834258.2,1.32
INNOVENT BIOLOGICS INC,1801 HK,Hong Kong,103.8,2699438,280201664.4,1.26
CHINA SHENHUA ENERGY,1088 HK,Hong Kong,46.36,5254351,243591712.36,1.1
BAIDU INC-CLASS A,9888 HK,Hong Kong,96.2,2476962,238283744.4,1.07
YUM CHINA HOLDINGS INC,9987 HK,Hong Kong,352.4,575491,202803028.4,0.91
PICC PROPERTY & CASUALTY,2328 HK,Hong Kong,17.04,11298783,192531262.32,0.87
POP MART INTERNATIONAL GROUP,9992 HK,Hong Kong,156.1,1207979,188565521.9,0.85
GEELY AUTOMOBILE HOLDINGS LT,175 HK,Hong Kong,17.6,10609856,186733465.6,0.84
ANTA SPORTS PRODUCTS,2020 HK,Hong Kong,77.7,2290010,177933777.0,0.8
CHINA PETROLEUM & CHEMICAL,386 HK,Hong Kong,4.785,36998343,177037071.26,0.8
KUAISHOU TECHNOLOGY,1024 HK,Hong Kong,33.58,4990200,167570916.0,0.76
TRIP.COM GROUP,9961 HK,Hong Kong,359.2,451613,162219389.6,0.73
KE HOLDINGS INC-CL A,2423 HK,Hong Kong,46.44,3468066,161056985.04,0.73
CHINA RESOURCES LAND,1109 HK,Hong Kong,30.06,5254881,157961722.86,0.71
NONGFU SPRING,9633 HK,Hong Kong,43.02,3297911,141876131.22,0.64
CHINA HONGQIAO GROUP,1378 HK,Hong Kong,22.82,5719695,130523439.9,0.59
CITIC,267 HK,Hong Kong,13.17,9527904,125482495.68,0.57
CSPC PHARMACEUTICAL GROUP LT,1093 HK,Hong Kong,9.24,13209227,122053257.48,0.55
XPENG INC - CLASS A SHARES,9868 HK,Hong Kong,44.9,2663967,119612118.3,0.54
BANK OF COMMUNICATIONS,3328 HK,Hong Kong,7.8,14333708,111802922.4,0.5
LI AUTO INC-CLASS A,2015 HK,Hong Kong,47.82,2298351,109907144.82,0.5
AKESO INC,9926 HK,Hong Kong,89.9,1207392,108544540.8,0.49
ZTO EXPRESS CAYMAN INC,2057 HK,Hong Kong,167.2,630427,105407394.4,0.47
POSTAL SAVINGS BANK OF CHI,1658 HK,Hong Kong,5.3,17884232,94786429.6,0.43
HORIZON ROBOTICS INC,9660 HK,Hong Kong,4.72,19195097,90600857.84,0.41
HANSOH PHARMACEUTICAL GROUP,3692 HK,Hong Kong,35.34,2480327,87654756.18,0.39
CHINA OVERSEAS LAND & INVEST,688 HK,Hong Kong,12.53,6273155,78602632.15,0.35
BNYM-USD LIQ-ADVANT,DRELIQP ID,,1.0,10000000,78393251.91,0.35
JD HEALTH INTERNATIONAL INC,6618 HK,Hong Kong,36.5,1840253,67169234.5,0.3
CHINA UNICOM HONG KONG,762 HK,Hong Kong,5.59,10022849,56027725.91,0.25
SHENZHOU INTERNATIONAL GROUP,2313 HK,Hong Kong,35.1,1353785,47517853.5,0.21
HSCEI FUTURES 09/29/26,HCU6,Hong Kong,8481.0,10163,-7559350.0,-0.03
CALL HSCEI WEEKLY OPTION 09/04/26 8550,,,30.0,-15500,-23250000.0,-0.1
CALL HSCEI 09/29/26 C8600 OTC,,,109.0,-8500,-46325000.0,-0.21
CALL HSCEI 09/29/26 C8600 OTC,,,109.0,-9000,-49050000.0,-0.22
CALL HANG SENG CHINA ENT 09/29/26 8600,HSCEI 09/29/26 C8600,Hong Kong,109.0,-18710,-101969500.0,-0.46
