Name of Securities,Exchange Ticker,Exchange,Market Price (in HKD),Number of Shares Held,Market Value (in HKD),Net Assets (%)
TENCENT HOLDINGS,700 HK,Hong Kong,430.2,3375522,1452149564.4,6.63
CHINA CONSTRUCTION BANK,939 HK,Hong Kong,7.84,173345364,1359027653.76,6.2
ALIBABA GROUP HOLDING,9988 HK,Hong Kong,94.5,12419154,1173610053.0,5.36
IND & COMM BK OF CHINA,1398 HK,Hong Kong,6.42,148628347,954193987.74,4.35
CHINA MOBILE,941 HK,Hong Kong,76.5,11223447,858593695.5,3.92
XIAOMI CORP-CLASS B,1810 HK,Hong Kong,22.6,32723261,739545698.6,3.38
MEITUAN-CLASS B,3690 HK,Hong Kong,70.85,10016612,709676960.2,3.24
PING AN INSURANCE GROUP,2318 HK,Hong Kong,52.3,12082450,631912135.0,2.88
BANK OF CHINA,3988 HK,Hong Kong,4.81,128122915,616271221.15,2.81
SEMICONDUCTOR MANUFACTURI,981 HK,Hong Kong,80.4,7572774,608851029.6,2.78
CNOOC,883 HK,Hong Kong,20.4,28099278,573225271.2,2.62
NETEASE INC,9999 HK,Hong Kong,200.0,2855224,571044800.0,2.61
BYD,1211 HK,Hong Kong,78.3,6639470,519870501.0,2.37
BEONE MEDICINES,6160 HK,Hong Kong,174.7,2185456,381799163.2,1.74
CHINA LIFE INSURANCE,2628 HK,Hong Kong,28.08,13412963,376636001.04,1.72
PETROCHINA,857 HK,Hong Kong,8.75,38032121,332781058.75,1.52
CHINA MERCHANTS BANK,3968 HK,Hong Kong,43.86,7033865,308505318.9,1.41
ZIJIN MINING GROUP,2899 HK,Hong Kong,28.18,10794009,304175173.62,1.39
BAIDU INC-CLASS A,9888 HK,Hong Kong,110.0,2726484,299913240.0,1.37
JD.COM INC-CLASS A,9618 HK,Hong Kong,102.8,2872829,295326821.2,1.35
AGRICULTURAL BANK OF CHINA,1288 HK,Hong Kong,5.31,52637657,279505958.67,1.28
LENOVO GROUP,992 HK,Hong Kong,22.02,12298227,270806958.54,1.24
INNOVENT BIOLOGICS INC,1801 HK,Hong Kong,85.35,2971466,253614623.1,1.16
KUAISHOU TECHNOLOGY,1024 HK,Hong Kong,42.64,5492896,234217085.44,1.07
CHINA SHENHUA ENERGY,1088 HK,Hong Kong,39.6,5783397,229022521.2,1.05
YUM CHINA HOLDINGS INC,9987 HK,Hong Kong,325.8,633463,206382245.4,0.94
POP MART INTERNATIONAL GROUP,9992 HK,Hong Kong,153.4,1329504,203945913.6,0.93
GEELY AUTOMOBILE HOLDINGS LT,175 HK,Hong Kong,17.32,11677699,202257746.68,0.92
ANTA SPORTS PRODUCTS,2020 HK,Hong Kong,72.95,2520578,183876165.1,0.84
CHINA RESOURCES LAND,1109 HK,Hong Kong,31.06,5783964,179649921.84,0.82
PICC PROPERTY & CASUALTY,2328 HK,Hong Kong,14.07,12436496,174981498.72,0.8
CHINA PETROLEUM & CHEMICAL,386 HK,Hong Kong,4.02,40725330,163715826.6,0.75
TRIP.COM GROUP,9961 HK,Hong Kong,317.4,497104,157780809.6,0.72
XPENG INC - CLASS A SHARES,9868 HK,Hong Kong,51.8,2932343,151895367.4,0.69
KE HOLDINGS INC-CL A,2423 HK,Hong Kong,38.9,3817313,148493475.7,0.68
NONGFU SPRING,9633 HK,Hong Kong,40.44,3629978,146796310.32,0.67
AKESO INC,9926 HK,Hong Kong,94.8,1328917,125981331.6,0.57
CHINA HONGQIAO GROUP,1378 HK,Hong Kong,20.0,6295554,125911080.0,0.57
ZTO EXPRESS CAYMAN INC,2057 HK,Hong Kong,180.1,693879,124967607.9,0.57
HSCEI FUTURES 07/30/26,HCN6,Hong Kong,7618.0,13493,123280549.9,0.56
LI AUTO INC-CLASS A,2015 HK,Hong Kong,46.84,2529863,118498782.92,0.54
CITIC,267 HK,Hong Kong,10.69,10487104,112107141.76,0.51
CSPC PHARMACEUTICAL GROUP LT,1093 HK,Hong Kong,7.55,14538384,109764799.2,0.5
BANK OF COMMUNICATIONS,3328 HK,Hong Kong,6.55,15777804,103344616.2,0.47
POSTAL SAVINGS BANK OF CHI,1658 HK,Hong Kong,4.63,19685397,91143388.11,0.42
HORIZON ROBOTICS INC,9660 HK,Hong Kong,4.29,21128704,90642140.16,0.41
HANSOH PHARMACEUTICAL GROUP,3692 HK,Hong Kong,31.52,2729838,86044493.76,0.39
CHINA OVERSEAS LAND & INVEST,688 HK,Hong Kong,12.39,6904920,85551958.8,0.39
JD HEALTH INTERNATIONAL INC,6618 HK,Hong Kong,34.16,2025681,69197262.96,0.32
CHINA UNICOM HONG KONG,762 HK,Hong Kong,6.1,11031536,67292369.6,0.31
SHENZHOU INTERNATIONAL GROUP,2313 HK,Hong Kong,40.84,1490021,60852457.64,0.28
CALL HSCEI 07/30/26 C7700 OTC,,,146.0,-11500,-83950000.0,-0.38
CALL HSCEI 07/30/26 C7700 OTC,,,146.0,-12500,-91250000.0,-0.42
CALL HANG SENG CHINA ENT 07/30/26 7700,HSCEI 07/30/26 C7700,Hong Kong,146.0,-33477,-244382100.0,-1.12
