Name of Securities,Exchange Ticker,Exchange,Market Price (in HKD),Number of Shares Held,Market Value (in HKD),Net Assets (%)
CHINA CONSTRUCTION BANK,939 HK,Hong Kong,8.3,173345364,1438766521.2,6.49
TENCENT HOLDINGS,700 HK,Hong Kong,421.4,3375522,1422444970.8,6.41
ALIBABA GROUP HOLDING,9988 HK,Hong Kong,95.0,12419154,1179819630.0,5.32
IND & COMM BK OF CHINA,1398 HK,Hong Kong,6.63,148628347,985405940.61,4.44
CHINA MOBILE,941 HK,Hong Kong,77.65,11223447,871500659.55,3.93
XIAOMI CORP-CLASS B,1810 HK,Hong Kong,22.3,32723261,729728720.3,3.29
MEITUAN-CLASS B,3690 HK,Hong Kong,66.1,10016612,662098053.2,2.99
SEMICONDUCTOR MANUFACTURI,981 HK,Hong Kong,86.0,7572774,651258564.0,2.94
BANK OF CHINA,3988 HK,Hong Kong,4.99,128122915,639333345.85,2.88
PING AN INSURANCE GROUP,2318 HK,Hong Kong,51.95,12082450,627683277.5,2.83
CNOOC,883 HK,Hong Kong,21.22,28099278,596266679.16,2.69
NETEASE INC,9999 HK,Hong Kong,181.8,2855224,519079723.2,2.34
BYD,1211 HK,Hong Kong,76.05,6639470,504931693.5,2.28
CHINA LIFE INSURANCE,2628 HK,Hong Kong,28.48,13412963,382001186.24,1.72
BEONE MEDICINES,6160 HK,Hong Kong,167.0,2185456,364971152.0,1.65
PETROCHINA,857 HK,Hong Kong,8.73,38032121,332020416.33,1.5
CHINA MERCHANTS BANK,3968 HK,Hong Kong,44.84,7033865,315398506.6,1.42
ZIJIN MINING GROUP,2899 HK,Hong Kong,28.04,10794009,302664012.36,1.36
LENOVO GROUP,992 HK,Hong Kong,23.98,12298227,294911483.46,1.33
AGRICULTURAL BANK OF CHINA,1288 HK,Hong Kong,5.42,52637657,285296100.94,1.29
JD.COM INC-CLASS A,9618 HK,Hong Kong,98.75,2872829,283691863.75,1.28
BAIDU INC-CLASS A,9888 HK,Hong Kong,103.4,2726484,281918445.6,1.27
CHINA SHENHUA ENERGY,1088 HK,Hong Kong,40.58,5783397,234690250.26,1.06
KUAISHOU TECHNOLOGY,1024 HK,Hong Kong,42.16,5492896,231580495.36,1.04
INNOVENT BIOLOGICS INC,1801 HK,Hong Kong,76.1,2971466,226128562.6,1.02
POP MART INTERNATIONAL GROUP,9992 HK,Hong Kong,156.0,1329504,207402624.0,0.94
YUM CHINA HOLDINGS INC,9987 HK,Hong Kong,319.6,633463,202454774.8,0.91
GEELY AUTOMOBILE HOLDINGS LT,175 HK,Hong Kong,17.22,11677699,201089976.78,0.91
PICC PROPERTY & CASUALTY,2328 HK,Hong Kong,14.34,12436496,178339352.64,0.8
CHINA RESOURCES LAND,1109 HK,Hong Kong,30.24,5783964,174907071.36,0.79
ANTA SPORTS PRODUCTS,2020 HK,Hong Kong,68.9,2520578,173667824.2,0.78
CHINA PETROLEUM & CHEMICAL,386 HK,Hong Kong,4.1,40725330,166973853.0,0.75
TRIP.COM GROUP,9961 HK,Hong Kong,315.0,497104,156587760.0,0.71
NONGFU SPRING,9633 HK,Hong Kong,43.12,3629978,156524651.36,0.71
KE HOLDINGS INC-CL A,2423 HK,Hong Kong,37.54,3817313,143301930.02,0.65
XPENG INC - CLASS A SHARES,9868 HK,Hong Kong,47.9,2932343,140459229.7,0.63
CHINA HONGQIAO GROUP,1378 HK,Hong Kong,20.64,6295554,129940234.56,0.59
CITIC,267 HK,Hong Kong,11.83,10487104,124062440.32,0.56
LI AUTO INC-CLASS A,2015 HK,Hong Kong,47.4,2529863,119915506.2,0.54
ZTO EXPRESS CAYMAN INC,2057 HK,Hong Kong,169.7,693879,117751266.3,0.53
AKESO INC,9926 HK,Hong Kong,85.45,1328917,113555957.65,0.51
BANK OF COMMUNICATIONS,3328 HK,Hong Kong,6.91,15777804,109024625.64,0.49
CSPC PHARMACEUTICAL GROUP LT,1093 HK,Hong Kong,6.65,14538384,96680253.6,0.44
POSTAL SAVINGS BANK OF CHI,1658 HK,Hong Kong,4.78,19685397,94096197.66,0.42
CHINA OVERSEAS LAND & INVEST,688 HK,Hong Kong,12.63,6904920,87209139.6,0.39
HORIZON ROBOTICS INC,9660 HK,Hong Kong,3.86,21128704,81556797.44,0.37
HANSOH PHARMACEUTICAL GROUP,3692 HK,Hong Kong,28.76,2729838,78510140.88,0.35
CHINA UNICOM HONG KONG,762 HK,Hong Kong,6.46,11031536,71263722.56,0.32
JD HEALTH INTERNATIONAL INC,6618 HK,Hong Kong,33.14,2025681,67131068.34,0.3
SHENZHOU INTERNATIONAL GROUP,2313 HK,Hong Kong,40.16,1490021,59839243.36,0.27
CALL HSCEI OTC EC 8400 06/29/26,,,1.0,-11740,-587000.0,0.0
CALL HSCEI OTC EC 8400 06/29/26,,,1.0,-12100,-605000.0,0.0
CALL HANG SENG CHINA ENT 06/29/26 8400,HSCEI 06/29/26 C8400,Hong Kong,1.0,-33637,-1681850.0,-0.01
HSCEI FUTURES 06/29/26,HCM6,Hong Kong,7609.0,12910,-589467700.0,-2.66
