Name of Securities,Exchange Ticker,Exchange,Market Price (in HKD),Number of Shares Held,Market Value (in HKD),Net Assets (%)
CHINA CONSTRUCTION BANK,939 HK,Hong Kong,9.635,148419507,1430021949.95,6.58
TENCENT HOLDINGS,700 HK,Hong Kong,433.4,3227892,1398968392.8,6.44
ALIBABA GROUP HOLDING,9988 HK,Hong Kong,106.2,12905964,1370613376.8,6.31
IND & COMM BK OF CHINA,1398 HK,Hong Kong,7.535,132115859,995492997.57,4.58
GLOBAL X USD MM ETF,3137 HK,Hong Kong,1138.25,832556,947656867.0,4.36
CHINA MOBILE,941 HK,Hong Kong,79.35,9989540,792669999.0,3.65
XIAOMI CORP-CLASS B,1810 HK,Hong Kong,26.18,28920955,757150601.9,3.49
BANK OF CHINA,3988 HK,Hong Kong,5.98,113888858,681055370.84,3.14
MEITUAN-CLASS B,3690 HK,Hong Kong,74.45,8904434,662935111.3,3.05
CNOOC,883 HK,Hong Kong,24.36,24978222,608469487.92,2.8
PING AN INSURANCE GROUP,2318 HK,Hong Kong,52.8,10740005,567072264.0,2.61
NETEASE INC,9999 HK,Hong Kong,186.8,2821114,526984095.2,2.43
BYD,1211 HK,Hong Kong,79.2,5901924,467432380.8,2.15
SEMICONDUCTOR MANUFACTURI,981 HK,Hong Kong,63.65,7226761,459983337.65,2.12
LENOVO GROUP,992 HK,Hong Kong,33.8,11925432,403079601.6,1.86
BEONE MEDICINES,6160 HK,Hong Kong,206.6,1942667,401355002.2,1.85
CHINA LIFE INSURANCE,2628 HK,Hong Kong,28.54,11922992,340282191.68,1.57
PETROCHINA,857 HK,Hong Kong,9.79,33808395,330984187.05,1.52
ZIJIN MINING GROUP,2899 HK,Hong Kong,34.42,9596835,330323060.7,1.52
CHINA MERCHANTS BANK,3968 HK,Hong Kong,51.35,6252798,321081177.3,1.48
AGRICULTURAL BANK OF CHINA,1288 HK,Hong Kong,6.36,46790353,297586645.08,1.37
JD.COM INC-CLASS A,9618 HK,Hong Kong,105.9,2483681,263021817.9,1.21
INNOVENT BIOLOGICS INC,1801 HK,Hong Kong,94.1,2646438,249029815.8,1.15
BNYM-USD LIQ-ADVANT,DRELIQP ID,,1.0,30008182,235402604.49,1.08
CHINA SHENHUA ENERGY,1088 HK,Hong Kong,45.24,5141351,232594719.24,1.07
BAIDU INC-CLASS A-HKD,9888 HK,Hong Kong,88.05,2509412,220953726.6,1.02
PICC PROPERTY & CASUALTY,2328 HK,Hong Kong,16.81,11054783,185830902.23,0.86
YUM CHINA HOLDINGS INC,9987 HK,Hong Kong,328.6,552891,181679982.6,0.84
TRIP.COM GROUP,9961 HK,Hong Kong,323.2,557413,180155881.6,0.83
POP MART INTERNATIONAL GROUP,9992 HK,Hong Kong,152.6,1173779,179118675.4,0.82
GEELY AUTOMOBILE HOLDINGS LT,175 HK,Hong Kong,16.11,10368856,167042270.16,0.77
CHINA PETROLEUM & CHEMICAL,386 HK,Hong Kong,4.605,36202343,166711789.52,0.77
ANTA SPORTS PRODUCTS,2020 HK,Hong Kong,72.35,2240610,162108133.5,0.75
CHINA RESOURCES LAND,1109 HK,Hong Kong,28.8,5141881,148086172.8,0.68
KUAISHOU TECHNOLOGY,1024 HK,Hong Kong,29.66,4853100,143942946.0,0.66
KE HOLDINGS INC-CL A,2423 HK,Hong Kong,42.14,3328766,140274199.24,0.65
NONGFU SPRING,9633 HK,Hong Kong,39.38,3226911,127075755.18,0.59
CHINA HONGQIAO GROUP,1378 HK,Hong Kong,22.02,5507195,121268433.9,0.56
CITIC,267 HK,Hong Kong,12.93,9322904,120545148.72,0.56
BANK OF COMMUNICATIONS,3328 HK,Hong Kong,8.125,14025708,113958877.5,0.52
CSPC PHARMACEUTICAL GROUP LT,1093 HK,Hong Kong,8.805,12925227,113806623.74,0.52
AKESO INC,9926 HK,Hong Kong,90.4,1181392,106797836.8,0.49
XPENG INC - CLASS A SHARES,9868 HK,Hong Kong,40.42,2609667,105482740.14,0.49
LI AUTO INC-CLASS A,2015 HK,Hong Kong,46.48,2186151,101612298.48,0.47
ZTO EXPRESS CAYMAN INC,2057 HK,Hong Kong,160.2,616827,98815685.4,0.45
POSTAL SAVINGS BANK OF CHI,1658 HK,Hong Kong,5.395,17499232,94408356.64,0.43
HANSOH PHARMACEUTICAL GROUP,3692 HK,Hong Kong,34.0,2430327,82631118.0,0.38
HORIZON ROBOTICS INC,9660 HK,Hong Kong,4.05,18678497,75647912.85,0.35
CHINA OVERSEAS LAND & INVEST,688 HK,Hong Kong,12.08,6138155,74148912.4,0.34
JD HEALTH INTERNATIONAL INC,6618 HK,Hong Kong,34.3,1800803,61767542.9,0.28
CHINA UNICOM HONG KONG,762 HK,Hong Kong,5.78,9806849,56683587.22,0.26
SHENZHOU INTERNATIONAL GROUP,2313 HK,Hong Kong,34.48,1324385,45664794.8,0.21
CALL HSCEI WEEKLY OPTION 09/18/26 8375,,,6.0,-13280,-3984000.0,-0.02
CALL HSCEI 09/29/26 C8600 OTC,,,13.0,-8500,-5525000.0,-0.03
CALL HSCEI 09/29/26 C8600 OTC,,,13.0,-9000,-5850000.0,-0.03
CALL HANG SENG CHINA ENT 09/29/26 8600,HSCEI 09/29/26 C8600,Hong Kong,13.0,-18710,-12161500.0,-0.06
HSCEI FUTURES 09/29/26,HCU6,Hong Kong,8201.0,10218,-150813850.0,-0.69
