Name of Securities,Exchange Ticker,Exchange,Market Price (in HKD),Number of Shares Held,Market Value (in HKD),Net Assets (%)
CHINA CONSTRUCTION BANK,939 HK,Hong Kong,8.24,173345364,1428365799.36,6.44
TENCENT HOLDINGS,700 HK,Hong Kong,420.2,3375522,1418394344.4,6.39
ALIBABA GROUP HOLDING,9988 HK,Hong Kong,93.0,12419154,1154981322.0,5.21
IND & COMM BK OF CHINA,1398 HK,Hong Kong,6.62,148628347,983919657.14,4.44
CHINA MOBILE,941 HK,Hong Kong,77.25,11223447,867011280.75,3.91
XIAOMI CORP-CLASS B,1810 HK,Hong Kong,21.86,32723261,715330485.46,3.22
MEITUAN-CLASS B,3690 HK,Hong Kong,67.65,10016612,677623801.8,3.05
BANK OF CHINA,3988 HK,Hong Kong,5.09,128122915,652145637.35,2.94
SEMICONDUCTOR MANUFACTURI,981 HK,Hong Kong,84.8,7572774,642171235.2,2.9
PING AN INSURANCE GROUP,2318 HK,Hong Kong,51.9,12082450,627079155.0,2.83
CNOOC,883 HK,Hong Kong,21.08,28099278,592332780.24,2.67
NETEASE INC,9999 HK,Hong Kong,199.4,2855224,569331665.6,2.57
BYD,1211 HK,Hong Kong,72.9,6639470,484017363.0,2.18
BEONE MEDICINES,6160 HK,Hong Kong,174.5,2185456,381362072.0,1.72
CHINA LIFE INSURANCE,2628 HK,Hong Kong,27.64,13412963,370734297.32,1.67
PETROCHINA,857 HK,Hong Kong,8.79,38032121,334302343.59,1.51
CHINA MERCHANTS BANK,3968 HK,Hong Kong,44.98,7033865,316383247.7,1.43
ZIJIN MINING GROUP,2899 HK,Hong Kong,27.68,10794009,298778169.12,1.35
JD.COM INC-CLASS A,9618 HK,Hong Kong,99.0,2872829,284410071.0,1.28
BAIDU INC-CLASS A,9888 HK,Hong Kong,104.3,2726484,284372281.2,1.28
AGRICULTURAL BANK OF CHINA,1288 HK,Hong Kong,5.35,52637657,281611464.95,1.27
LENOVO GROUP,992 HK,Hong Kong,21.28,12298227,261706270.56,1.18
INNOVENT BIOLOGICS INC,1801 HK,Hong Kong,80.05,2971466,237865853.3,1.07
CHINA SHENHUA ENERGY,1088 HK,Hong Kong,41.1,5783397,237697616.7,1.07
KUAISHOU TECHNOLOGY,1024 HK,Hong Kong,41.0,5492896,225208736.0,1.02
POP MART INTERNATIONAL GROUP,9992 HK,Hong Kong,158.5,1329504,210726384.0,0.95
YUM CHINA HOLDINGS INC,9987 HK,Hong Kong,321.0,633463,203341623.0,0.92
GEELY AUTOMOBILE HOLDINGS LT,175 HK,Hong Kong,16.92,11677699,197586667.08,0.89
PICC PROPERTY & CASUALTY,2328 HK,Hong Kong,14.5,12436496,180329192.0,0.81
ANTA SPORTS PRODUCTS,2020 HK,Hong Kong,71.25,2520578,179591182.5,0.81
CHINA RESOURCES LAND,1109 HK,Hong Kong,30.54,5783964,176642260.56,0.8
CHINA PETROLEUM & CHEMICAL,386 HK,Hong Kong,4.08,40725330,166159346.4,0.75
TRIP.COM GROUP,9961 HK,Hong Kong,323.2,497104,160664012.8,0.72
NONGFU SPRING,9633 HK,Hong Kong,43.26,3629978,157032848.28,0.71
KE HOLDINGS INC-CL A,2423 HK,Hong Kong,37.58,3817313,143454622.54,0.65
XPENG INC - CLASS A SHARES,9868 HK,Hong Kong,47.4,2932343,138993058.2,0.63
CHINA HONGQIAO GROUP,1378 HK,Hong Kong,20.64,6295554,129940234.56,0.59
AKESO INC,9926 HK,Hong Kong,91.65,1328917,121795243.05,0.55
CITIC,267 HK,Hong Kong,11.47,10487104,120287082.88,0.54
ZTO EXPRESS CAYMAN INC,2057 HK,Hong Kong,172.0,693879,119347188.0,0.54
LI AUTO INC-CLASS A,2015 HK,Hong Kong,45.9,2529863,116120711.7,0.52
BANK OF COMMUNICATIONS,3328 HK,Hong Kong,6.91,15777804,109024625.64,0.49
CSPC PHARMACEUTICAL GROUP LT,1093 HK,Hong Kong,7.15,14538384,103949445.6,0.47
HSCEI FUTURES 07/30/26,HCN6,Hong Kong,7579.0,13493,96969199.9,0.44
POSTAL SAVINGS BANK OF CHI,1658 HK,Hong Kong,4.76,19685397,93702489.72,0.42
HORIZON ROBOTICS INC,9660 HK,Hong Kong,4.14,21128704,87472834.56,0.39
CHINA OVERSEAS LAND & INVEST,688 HK,Hong Kong,12.2,6904920,84240024.0,0.38
HANSOH PHARMACEUTICAL GROUP,3692 HK,Hong Kong,30.32,2729838,82768688.16,0.37
CHINA UNICOM HONG KONG,762 HK,Hong Kong,6.35,11031536,70050253.6,0.32
JD HEALTH INTERNATIONAL INC,6618 HK,Hong Kong,33.92,2025681,68711099.52,0.31
SHENZHOU INTERNATIONAL GROUP,2313 HK,Hong Kong,40.1,1490021,59749842.1,0.27
CALL HANG SENG CHINA ENT 06/29/26 8400,HSCEI 06/29/26 C8400,Hong Kong,0.0,-33637,0.0,0.0
CALL HSCEI OTC EC 8400 06/29/26,,,0.0,-12100,0.0,0.0
CALL HSCEI OTC EC 8400 06/29/26,,,0.0,-11740,0.0,0.0
