Name of Securities,Exchange Ticker,Exchange,Market Price (in HKD),Number of Shares Held,Market Value (in HKD),Net Assets (%)
TENCENT HOLDINGS,700 HK,Hong Kong,487.6,3066592,1495270259.2,6.7
ALIBABA GROUP HOLDING,9988 HK,Hong Kong,125.8,11282464,1419333971.2,6.36
CHINA CONSTRUCTION BANK,939 HK,Hong Kong,8.89,157479507,1399992817.23,6.27
IND & COMM BK OF CHINA,1398 HK,Hong Kong,7.26,135024859,980280476.34,4.39
MEITUAN-CLASS B,3690 HK,Hong Kong,92.7,9099934,843563881.8,3.78
CHINA MOBILE,941 HK,Hong Kong,82.5,10196540,841214550.0,3.77
XIAOMI CORP-CLASS B,1810 HK,Hong Kong,27.96,29728155,831199213.8,3.72
PING AN INSURANCE GROUP,2318 HK,Hong Kong,57.85,10976505,634990814.25,2.84
BANK OF CHINA,3988 HK,Hong Kong,5.335,116396858,620977237.43,2.78
CNOOC,883 HK,Hong Kong,23.58,25528222,601955474.76,2.7
BYD,1211 HK,Hong Kong,93.45,6031824,563673952.8,2.52
GLOBAL X USD MM ETF,3137 HK,Hong Kong,1129.3,488556,551726290.8,2.47
NETEASE INC,9999 HK,Hong Kong,205.6,2593914,533308718.4,2.39
SEMICONDUCTOR MANUFACTURI,981 HK,Hong Kong,65.3,6880261,449281043.3,2.01
BEONE MEDICINES,6160 HK,Hong Kong,193.6,1985467,384386411.2,1.72
CHINA LIFE INSURANCE,2628 HK,Hong Kong,28.48,12185992,347057052.16,1.55
JD.COM INC-CLASS A,9618 HK,Hong Kong,129.1,2609931,336942092.1,1.51
PETROCHINA,857 HK,Hong Kong,9.645,34552395,333257849.78,1.49
ZIJIN MINING GROUP,2899 HK,Hong Kong,33.08,9808835,324476261.8,1.45
CHINA MERCHANTS BANK,3968 HK,Hong Kong,49.46,6390298,316064139.08,1.42
AGRICULTURAL BANK OF CHINA,1288 HK,Hong Kong,6.0,47820353,286922118.0,1.28
LENOVO GROUP,992 HK,Hong Kong,25.16,11173432,281123549.12,1.26
BAIDU INC-CLASS A,9888 HK,Hong Kong,110.2,2476962,272961212.4,1.22
INNOVENT BIOLOGICS INC,1801 HK,Hong Kong,86.7,2699438,234041274.6,1.05
KUAISHOU TECHNOLOGY,1024 HK,Hong Kong,45.52,4990200,227153904.0,1.02
CHINA SHENHUA ENERGY,1088 HK,Hong Kong,42.18,5254351,221628525.18,0.99
YUM CHINA HOLDINGS INC,9987 HK,Hong Kong,380.8,575491,219146972.8,0.98
GEELY AUTOMOBILE HOLDINGS LT,175 HK,Hong Kong,19.08,10609856,202436052.48,0.91
POP MART INTERNATIONAL GROUP,9992 HK,Hong Kong,160.2,1207979,193518235.8,0.87
PICC PROPERTY & CASUALTY,2328 HK,Hong Kong,16.15,11298783,182475345.45,0.82
CHINA RESOURCES LAND,1109 HK,Hong Kong,33.42,5254881,175618123.02,0.79
ANTA SPORTS PRODUCTS,2020 HK,Hong Kong,75.4,2290010,172666754.0,0.77
TRIP.COM GROUP,9961 HK,Hong Kong,364.8,451613,164748422.4,0.74
CHINA PETROLEUM & CHEMICAL,386 HK,Hong Kong,4.345,36998343,160757800.34,0.72
KE HOLDINGS INC-CL A,2423 HK,Hong Kong,44.76,3468066,155230634.16,0.7
NONGFU SPRING,9633 HK,Hong Kong,42.64,3297911,140622925.04,0.63
CHINA HONGQIAO GROUP,1378 HK,Hong Kong,23.5,5719695,134412832.5,0.6
XPENG INC - CLASS A SHARES,9868 HK,Hong Kong,47.0,2663967,125206449.0,0.56
ZTO EXPRESS CAYMAN INC,2057 HK,Hong Kong,191.6,630427,120789813.2,0.54
LI AUTO INC-CLASS A,2015 HK,Hong Kong,50.45,2298351,115951807.95,0.52
CITIC,267 HK,Hong Kong,12.01,9527904,114430127.04,0.51
AKESO INC,9926 HK,Hong Kong,93.85,1207392,113313739.2,0.51
CSPC PHARMACEUTICAL GROUP LT,1093 HK,Hong Kong,8.485,13209227,112080291.1,0.5
BANK OF COMMUNICATIONS,3328 HK,Hong Kong,7.385,14333708,105854433.58,0.47
HORIZON ROBOTICS INC,9660 HK,Hong Kong,5.17,19195097,99238651.49,0.44
POSTAL SAVINGS BANK OF CHI,1658 HK,Hong Kong,4.935,17884232,88258684.92,0.4
CHINA OVERSEAS LAND & INVEST,688 HK,Hong Kong,13.25,6273155,83119303.75,0.37
HANSOH PHARMACEUTICAL GROUP,3692 HK,Hong Kong,31.4,2480327,77882267.8,0.35
JD HEALTH INTERNATIONAL INC,6618 HK,Hong Kong,39.2,1840253,72137917.6,0.32
CHINA UNICOM HONG KONG,762 HK,Hong Kong,6.64,10022849,66551717.36,0.3
HSCEI FUTURES 08/28/26,HCQ6,Hong Kong,8578.0,10479,66195200.0,0.3
SHENZHOU INTERNATIONAL GROUP,2313 HK,Hong Kong,42.94,1353785,58131527.9,0.26
CALL HSCEI WEEKLY OPTION 08/07/26 8750,,,11.0,-2693,-1481150.0,-0.01
CALL HSCEI 08/28/26 C8700 OTC,,,119.0,-8500,-50575000.0,-0.23
CALL HSCEI 08/28/26 C8700 OTC,,,119.0,-11500,-68425000.0,-0.31
CALL HANG SENG CHINA ENT 08/28/26 8700,HSCEI 08/28/26 C8700,Hong Kong,119.0,-29010,-172609500.0,-0.77
