Name of Securities,Exchange Ticker,Exchange,Market Price (in HKD),Number of Shares Held,Market Value (in HKD),Net Assets (%)
CHINA CONSTRUCTION BANK,939 HK,Hong Kong,9.675,148419507,1435958730.23,6.63
TENCENT HOLDINGS,700 HK,Hong Kong,426.0,3227892,1375081992.0,6.35
ALIBABA GROUP HOLDING,9988 HK,Hong Kong,105.1,12905964,1356416816.4,6.27
IND & COMM BK OF CHINA,1398 HK,Hong Kong,7.52,132115859,993511259.68,4.59
GLOBAL X USD MM ETF,3137 HK,Hong Kong,1138.95,832556,948239656.2,4.38
CHINA MOBILE,941 HK,Hong Kong,79.2,9989540,791171568.0,3.65
XIAOMI CORP-CLASS B,1810 HK,Hong Kong,26.14,28920955,755993763.7,3.49
BANK OF CHINA,3988 HK,Hong Kong,5.99,113888858,682194259.42,3.15
MEITUAN-CLASS B,3690 HK,Hong Kong,72.9,8904434,649133238.6,3.0
CNOOC,883 HK,Hong Kong,23.88,24978222,596479941.36,2.76
PING AN INSURANCE GROUP,2318 HK,Hong Kong,52.85,10740005,567609264.25,2.62
NETEASE INC,9999 HK,Hong Kong,185.1,2821114,522188201.4,2.41
BYD,1211 HK,Hong Kong,81.15,5901924,478941132.6,2.21
SEMICONDUCTOR MANUFACTURI,981 HK,Hong Kong,62.4,7226761,450949886.4,2.08
BEONE MEDICINES,6160 HK,Hong Kong,211.0,1942667,409902737.0,1.89
LENOVO GROUP,992 HK,Hong Kong,34.32,11925432,409280826.24,1.89
CHINA LIFE INSURANCE,2628 HK,Hong Kong,28.64,11922992,341474490.88,1.58
ZIJIN MINING GROUP,2899 HK,Hong Kong,33.86,9596835,324948833.1,1.5
PETROCHINA,857 HK,Hong Kong,9.56,33808395,323208256.2,1.49
CHINA MERCHANTS BANK,3968 HK,Hong Kong,51.3,6252798,320768537.4,1.48
AGRICULTURAL BANK OF CHINA,1288 HK,Hong Kong,6.32,46790353,295715030.96,1.37
JD.COM INC-CLASS A,9618 HK,Hong Kong,105.0,2483681,260786505.0,1.2
INNOVENT BIOLOGICS INC,1801 HK,Hong Kong,96.15,2646438,254455013.7,1.18
BNYM-USD LIQ-ADVANT,DRELIQP ID,,1.0,30008182,235434001.6,1.09
CHINA SHENHUA ENERGY,1088 HK,Hong Kong,44.72,5141351,229921216.72,1.06
BAIDU INC-CLASS A-HKD,9888 HK,Hong Kong,87.35,2509412,219197138.2,1.01
PICC PROPERTY & CASUALTY,2328 HK,Hong Kong,16.84,11054783,186162545.72,0.86
YUM CHINA HOLDINGS INC,9987 HK,Hong Kong,327.6,552891,181127091.6,0.84
POP MART INTERNATIONAL GROUP,9992 HK,Hong Kong,153.2,1173779,179822942.8,0.83
TRIP.COM GROUP,9961 HK,Hong Kong,316.8,557413,176588438.4,0.82
GEELY AUTOMOBILE HOLDINGS LT,175 HK,Hong Kong,16.0,10368856,165901696.0,0.77
CHINA PETROLEUM & CHEMICAL,386 HK,Hong Kong,4.505,36202343,163091555.22,0.75
ANTA SPORTS PRODUCTS,2020 HK,Hong Kong,72.0,2240610,161323920.0,0.75
CHINA RESOURCES LAND,1109 HK,Hong Kong,28.5,5141881,146543608.5,0.68
KUAISHOU TECHNOLOGY,1024 HK,Hong Kong,29.94,4853100,145301814.0,0.67
KE HOLDINGS INC-CL A,2423 HK,Hong Kong,42.2,3328766,140473925.2,0.65
NONGFU SPRING,9633 HK,Hong Kong,38.96,3226911,125720452.56,0.58
CHINA HONGQIAO GROUP,1378 HK,Hong Kong,21.84,5507195,120277138.8,0.56
CITIC,267 HK,Hong Kong,12.87,9322904,119985774.48,0.55
BANK OF COMMUNICATIONS,3328 HK,Hong Kong,8.18,14025708,114730291.44,0.53
CSPC PHARMACEUTICAL GROUP LT,1093 HK,Hong Kong,8.85,12925227,114388258.95,0.53
XPENG INC - CLASS A SHARES,9868 HK,Hong Kong,41.18,2609667,107466087.06,0.5
AKESO INC,9926 HK,Hong Kong,90.75,1181392,107211324.0,0.5
LI AUTO INC-CLASS A,2015 HK,Hong Kong,46.88,2186151,102486758.88,0.47
ZTO EXPRESS CAYMAN INC,2057 HK,Hong Kong,162.5,616827,100234387.5,0.46
POSTAL SAVINGS BANK OF CHI,1658 HK,Hong Kong,5.42,17499232,94845837.44,0.44
HANSOH PHARMACEUTICAL GROUP,3692 HK,Hong Kong,34.34,2430327,83457429.18,0.39
HORIZON ROBOTICS INC,9660 HK,Hong Kong,4.13,18678497,77142192.61,0.36
CHINA OVERSEAS LAND & INVEST,688 HK,Hong Kong,11.96,6138155,73412333.8,0.34
JD HEALTH INTERNATIONAL INC,6618 HK,Hong Kong,34.7,1800803,62487864.1,0.29
CHINA UNICOM HONG KONG,762 HK,Hong Kong,5.855,9806849,57419100.9,0.27
SHENZHOU INTERNATIONAL GROUP,2313 HK,Hong Kong,34.94,1324385,46274011.9,0.21
CALL HSCEI WEEKLY OPTION 09/18/26 8375,,,1.0,-13280,-664000.0,0.0
CALL HSCEI 09/29/26 C8600 OTC,,,9.0,-8500,-3825000.0,-0.02
CALL HSCEI 09/29/26 C8600 OTC,,,9.0,-9000,-4050000.0,-0.02
CALL HANG SENG CHINA ENT 09/29/26 8600,HSCEI 09/29/26 C8600,Hong Kong,9.0,-18710,-8419500.0,-0.04
HSCEI FUTURES 09/29/26,HCU6,Hong Kong,8167.0,10218,-168184450.0,-0.78
