Name of Securities,Exchange Ticker,Exchange,Market Price (in HKD),Number of Shares Held,Market Value (in HKD),Net Assets (%)
CHINA CONSTRUCTION BANK,939 HK,Hong Kong,9.66,148419507,1433732437.62,6.54
TENCENT HOLDINGS,700 HK,Hong Kong,441.0,3227892,1423500372.0,6.49
ALIBABA GROUP HOLDING,9988 HK,Hong Kong,109.8,12905964,1417074847.2,6.46
IND & COMM BK OF CHINA,1398 HK,Hong Kong,7.54,132115859,996153576.86,4.54
GLOBAL X USD MM ETF,3137 HK,Hong Kong,1139.1,832556,948364539.6,4.32
CHINA MOBILE,941 HK,Hong Kong,78.8,9989540,787175752.0,3.59
XIAOMI CORP-CLASS B,1810 HK,Hong Kong,26.18,28920955,757150601.9,3.45
BANK OF CHINA,3988 HK,Hong Kong,6.0,113888858,683333148.0,3.12
MEITUAN-CLASS B,3690 HK,Hong Kong,72.85,8904434,648688016.9,2.96
CNOOC,883 HK,Hong Kong,23.34,24978222,582991701.48,2.66
PING AN INSURANCE GROUP,2318 HK,Hong Kong,53.4,10740005,573516267.0,2.62
NETEASE INC,9999 HK,Hong Kong,184.3,2821114,519931310.2,2.37
BYD,1211 HK,Hong Kong,80.35,5901924,474219593.4,2.16
SEMICONDUCTOR MANUFACTURI,981 HK,Hong Kong,63.8,7226761,461067351.8,2.1
LENOVO GROUP,992 HK,Hong Kong,36.92,11925432,440286949.44,2.01
BEONE MEDICINES,6160 HK,Hong Kong,218.2,1942667,423889939.4,1.93
CHINA LIFE INSURANCE,2628 HK,Hong Kong,29.7,11922992,354112862.4,1.61
ZIJIN MINING GROUP,2899 HK,Hong Kong,33.58,9596835,322261719.3,1.47
CHINA MERCHANTS BANK,3968 HK,Hong Kong,51.25,6252798,320455897.5,1.46
PETROCHINA,857 HK,Hong Kong,9.35,33808395,316108493.25,1.44
AGRICULTURAL BANK OF CHINA,1288 HK,Hong Kong,6.495,46790353,303903342.74,1.39
INNOVENT BIOLOGICS INC,1801 HK,Hong Kong,103.4,2646438,273641689.2,1.25
JD.COM INC-CLASS A,9618 HK,Hong Kong,106.1,2483681,263518554.1,1.2
BNYM-USD LIQ-ADVANT,DRELIQP ID,,1.0,30008182,235378600.59,1.07
CHINA SHENHUA ENERGY,1088 HK,Hong Kong,44.68,5141351,229715562.68,1.05
BAIDU INC-CLASS A-HKD,9888 HK,Hong Kong,88.55,2509412,222208432.6,1.01
PICC PROPERTY & CASUALTY,2328 HK,Hong Kong,16.84,11054783,186162545.72,0.85
TRIP.COM GROUP,9961 HK,Hong Kong,323.4,557413,180267364.2,0.82
POP MART INTERNATIONAL GROUP,9992 HK,Hong Kong,153.5,1173779,180175076.5,0.82
YUM CHINA HOLDINGS INC,9987 HK,Hong Kong,324.6,552891,179468418.6,0.82
GEELY AUTOMOBILE HOLDINGS LT,175 HK,Hong Kong,15.76,10368856,163413170.56,0.75
CHINA PETROLEUM & CHEMICAL,386 HK,Hong Kong,4.445,36202343,160919414.64,0.73
ANTA SPORTS PRODUCTS,2020 HK,Hong Kong,71.8,2240610,160875798.0,0.73
CHINA RESOURCES LAND,1109 HK,Hong Kong,29.62,5141881,152302515.22,0.69
KUAISHOU TECHNOLOGY,1024 HK,Hong Kong,30.78,4853100,149378418.0,0.68
KE HOLDINGS INC-CL A,2423 HK,Hong Kong,43.38,3328766,144401869.08,0.66
NONGFU SPRING,9633 HK,Hong Kong,38.98,3226911,125784990.78,0.57
CSPC PHARMACEUTICAL GROUP LT,1093 HK,Hong Kong,9.65,12925227,124728440.55,0.57
CITIC,267 HK,Hong Kong,13.08,9322904,121943584.32,0.56
CHINA HONGQIAO GROUP,1378 HK,Hong Kong,21.3,5507195,117303253.5,0.53
AKESO INC,9926 HK,Hong Kong,97.5,1181392,115185720.0,0.53
BANK OF COMMUNICATIONS,3328 HK,Hong Kong,8.21,14025708,115151062.68,0.53
XPENG INC - CLASS A SHARES,9868 HK,Hong Kong,40.4,2609667,105430546.8,0.48
LI AUTO INC-CLASS A,2015 HK,Hong Kong,46.24,2186151,101087622.24,0.46
ZTO EXPRESS CAYMAN INC,2057 HK,Hong Kong,154.6,616827,95361454.2,0.43
POSTAL SAVINGS BANK OF CHI,1658 HK,Hong Kong,5.385,17499232,94233364.32,0.43
HANSOH PHARMACEUTICAL GROUP,3692 HK,Hong Kong,34.94,2430327,84915625.38,0.39
CHINA OVERSEAS LAND & INVEST,688 HK,Hong Kong,12.64,6138155,77586279.2,0.35
HORIZON ROBOTICS INC,9660 HK,Hong Kong,4.05,18678497,75647912.85,0.34
JD HEALTH INTERNATIONAL INC,6618 HK,Hong Kong,35.98,1800803,64792891.94,0.3
CHINA UNICOM HONG KONG,762 HK,Hong Kong,5.62,9806849,55114491.38,0.25
SHENZHOU INTERNATIONAL GROUP,2313 HK,Hong Kong,34.74,1324385,46009134.9,0.21
CALL HSCEI 09/29/26 C8600 OTC,,,4.0,-8500,-1700000.0,-0.01
CALL HSCEI 09/29/26 C8600 OTC,,,4.0,-9000,-1800000.0,-0.01
CALL HANG SENG CHINA ENT 09/29/26 8600,HSCEI 09/29/26 C8600,Hong Kong,4.0,-18710,-3742000.0,-0.02
CALL HSCEI WEEKLY OPTION 09/25/26 8350,,,17.0,-13290,-11296500.0,-0.05
HSCEI FUTURES 09/29/26,HCU6,Hong Kong,8269.0,10218,-116072650.0,-0.53
