Name of Securities,Exchange Ticker,Exchange,Market Price (in HKD),Number of Shares Held,Market Value (in HKD),Net Assets (%)
CHINA CONSTRUCTION BANK,939 HK,Hong Kong,9.215,157479507,1451173657.01,6.45
TENCENT HOLDINGS,700 HK,Hong Kong,445.4,3066592,1365860076.8,6.08
ALIBABA GROUP HOLDING,9988 HK,Hong Kong,116.6,11282464,1315535302.4,5.85
IND & COMM BK OF CHINA,1398 HK,Hong Kong,7.545,135024859,1018762561.16,4.53
GLOBAL X USD MM ETF,3137 HK,Hong Kong,1133.9,832556,944035248.4,4.2
XIAOMI CORP-CLASS B,1810 HK,Hong Kong,28.46,29728155,846063291.3,3.76
CHINA MOBILE,941 HK,Hong Kong,80.1,10196540,816742854.0,3.63
MEITUAN-CLASS B,3690 HK,Hong Kong,78.05,9099934,710249848.7,3.16
BANK OF CHINA,3988 HK,Hong Kong,5.555,116396858,646584546.19,2.88
CNOOC,883 HK,Hong Kong,24.92,25528222,636163292.24,2.83
PING AN INSURANCE GROUP,2318 HK,Hong Kong,57.65,10976505,632795513.25,2.81
BYD,1211 HK,Hong Kong,92.6,6031824,558546902.4,2.48
NETEASE INC,9999 HK,Hong Kong,195.5,2593914,507110187.0,2.26
SEMICONDUCTOR MANUFACTURI,981 HK,Hong Kong,69.7,6880261,479554191.7,2.13
BEONE MEDICINES,6160 HK,Hong Kong,228.2,1985467,453083569.4,2.02
ZIJIN MINING GROUP,2899 HK,Hong Kong,38.08,9808835,373520436.8,1.66
CHINA LIFE INSURANCE,2628 HK,Hong Kong,29.2,12185992,355830966.4,1.58
PETROCHINA,857 HK,Hong Kong,9.92,34552395,342759758.4,1.52
LENOVO GROUP,992 HK,Hong Kong,30.56,11173432,341460081.92,1.52
CHINA MERCHANTS BANK,3968 HK,Hong Kong,49.42,6390298,315808527.16,1.4
AGRICULTURAL BANK OF CHINA,1288 HK,Hong Kong,6.28,47820353,300311816.84,1.34
INNOVENT BIOLOGICS INC,1801 HK,Hong Kong,109.8,2699438,296398292.4,1.32
JD.COM INC-CLASS A,9618 HK,Hong Kong,113.1,2609931,295183196.1,1.31
CHINA SHENHUA ENERGY,1088 HK,Hong Kong,45.02,5254351,236550882.02,1.05
BAIDU INC-CLASS A,9888 HK,Hong Kong,90.9,2476962,225155845.8,1.0
YUM CHINA HOLDINGS INC,9987 HK,Hong Kong,371.4,575491,213737357.4,0.95
GEELY AUTOMOBILE HOLDINGS LT,175 HK,Hong Kong,18.36,10609856,194796956.16,0.87
POP MART INTERNATIONAL GROUP,9992 HK,Hong Kong,154.3,1207979,186391159.7,0.83
PICC PROPERTY & CASUALTY,2328 HK,Hong Kong,16.27,11298783,183831199.41,0.82
CHINA RESOURCES LAND,1109 HK,Hong Kong,34.78,5254881,182764761.18,0.81
ANTA SPORTS PRODUCTS,2020 HK,Hong Kong,78.75,2290010,180338287.5,0.8
CHINA PETROLEUM & CHEMICAL,386 HK,Hong Kong,4.71,36998343,174262195.53,0.78
KUAISHOU TECHNOLOGY,1024 HK,Hong Kong,33.62,4990200,167770524.0,0.75
KE HOLDINGS INC-CL A,2423 HK,Hong Kong,48.02,3468066,166536529.32,0.74
TRIP.COM GROUP,9961 HK,Hong Kong,358.0,451613,161677454.0,0.72
NONGFU SPRING,9633 HK,Hong Kong,44.08,3297911,145371916.88,0.65
CHINA HONGQIAO GROUP,1378 HK,Hong Kong,23.68,5719695,135442377.6,0.6
CSPC PHARMACEUTICAL GROUP LT,1093 HK,Hong Kong,9.525,13209227,125817887.18,0.56
XPENG INC - CLASS A SHARES,9868 HK,Hong Kong,46.68,2663967,124353979.56,0.55
CITIC,267 HK,Hong Kong,12.93,9527904,123195798.72,0.55
AKESO INC,9926 HK,Hong Kong,94.2,1207392,113736326.4,0.51
LI AUTO INC-CLASS A,2015 HK,Hong Kong,48.1,2298351,110550683.1,0.49
BANK OF COMMUNICATIONS,3328 HK,Hong Kong,7.57,14333708,108506169.56,0.48
ZTO EXPRESS CAYMAN INC,2057 HK,Hong Kong,163.8,630427,103263942.6,0.46
HORIZON ROBOTICS INC,9660 HK,Hong Kong,4.735,19195097,90888784.3,0.4
CHINA OVERSEAS LAND & INVEST,688 HK,Hong Kong,14.35,6273155,90019774.25,0.4
POSTAL SAVINGS BANK OF CHI,1658 HK,Hong Kong,5.005,17884232,89510581.16,0.4
HANSOH PHARMACEUTICAL GROUP,3692 HK,Hong Kong,31.74,2480327,78725578.98,0.35
BNYM-USD LIQ-ADVANT,DRELIQP ID,,1.0,10000000,78387106.89,0.35
JD HEALTH INTERNATIONAL INC,6618 HK,Hong Kong,37.3,1840253,68641436.9,0.31
CHINA UNICOM HONG KONG,762 HK,Hong Kong,5.78,10022849,57932067.22,0.26
SHENZHOU INTERNATIONAL GROUP,2313 HK,Hong Kong,37.94,1353785,51362602.9,0.23
HSCEI FUTURES 08/28/26,HCQ6,Hong Kong,8538.0,5665,23054350.0,0.1
HSCEI FUTURES 09/29/26,HCU6,Hong Kong,8524.0,4068,15523900.0,0.07
CALL HSCEI 08/28/26 C8700 OTC,,,5.0,-8500,-2125000.0,-0.01
CALL HSCEI 08/28/26 C8700 OTC,,,5.0,-11500,-2875000.0,-0.01
CALL HANG SENG CHINA ENT 08/28/26 8700,HSCEI 08/28/26 C8700,Hong Kong,5.0,-31710,-7927500.0,-0.04
