Name of Securities,Exchange Ticker,Exchange,Market Price (in HKD),Number of Shares Held,Market Value (in HKD),Net Assets (%)
TENCENT HOLDINGS,700 HK,Hong Kong,479.2,3066592,1469510886.4,6.61
ALIBABA GROUP HOLDING,9988 HK,Hong Kong,124.4,11282464,1403538521.6,6.32
CHINA CONSTRUCTION BANK,939 HK,Hong Kong,8.86,157479507,1395268432.02,6.28
IND & COMM BK OF CHINA,1398 HK,Hong Kong,7.2,135024859,972178984.8,4.37
CHINA MOBILE,941 HK,Hong Kong,82.4,10196540,840194896.0,3.78
MEITUAN-CLASS B,3690 HK,Hong Kong,92.2,9099934,839013914.8,3.78
XIAOMI CORP-CLASS B,1810 HK,Hong Kong,26.86,29728155,798498243.3,3.59
PING AN INSURANCE GROUP,2318 HK,Hong Kong,57.3,10976505,628953736.5,2.83
BANK OF CHINA,3988 HK,Hong Kong,5.28,116396858,614575410.24,2.77
CNOOC,883 HK,Hong Kong,22.7,25528222,579490639.4,2.61
GLOBAL X USD MM ETF,3137 HK,Hong Kong,1132.85,488556,553460664.6,2.49
BYD,1211 HK,Hong Kong,89.85,6031824,541959386.4,2.44
NETEASE INC,9999 HK,Hong Kong,203.0,2593914,526564542.0,2.37
SEMICONDUCTOR MANUFACTURI,981 HK,Hong Kong,65.35,6880261,449625056.35,2.02
BEONE MEDICINES,6160 HK,Hong Kong,199.5,1985467,396100666.5,1.78
CHINA LIFE INSURANCE,2628 HK,Hong Kong,29.04,12185992,353881207.68,1.59
ZIJIN MINING GROUP,2899 HK,Hong Kong,35.3,9808835,346251875.5,1.56
JD.COM INC-CLASS A,9618 HK,Hong Kong,127.3,2609931,332244216.3,1.49
PETROCHINA,857 HK,Hong Kong,9.415,34552395,325310798.93,1.46
CHINA MERCHANTS BANK,3968 HK,Hong Kong,48.9,6390298,312485572.2,1.41
LENOVO GROUP,992 HK,Hong Kong,25.94,11173432,289838826.08,1.3
AGRICULTURAL BANK OF CHINA,1288 HK,Hong Kong,5.935,47820353,283813795.06,1.28
BAIDU INC-CLASS A,9888 HK,Hong Kong,107.1,2476962,265282630.2,1.19
INNOVENT BIOLOGICS INC,1801 HK,Hong Kong,90.95,2699438,245513886.1,1.1
CHINA SHENHUA ENERGY,1088 HK,Hong Kong,42.84,5254351,225096396.84,1.01
KUAISHOU TECHNOLOGY,1024 HK,Hong Kong,44.24,4990200,220766448.0,0.99
YUM CHINA HOLDINGS INC,9987 HK,Hong Kong,377.4,575491,217190303.4,0.98
GEELY AUTOMOBILE HOLDINGS LT,175 HK,Hong Kong,18.56,10609856,196918927.36,0.89
POP MART INTERNATIONAL GROUP,9992 HK,Hong Kong,157.3,1207979,190015096.7,0.85
PICC PROPERTY & CASUALTY,2328 HK,Hong Kong,16.24,11298783,183492235.92,0.83
CHINA RESOURCES LAND,1109 HK,Hong Kong,32.86,5254881,172675389.66,0.78
ANTA SPORTS PRODUCTS,2020 HK,Hong Kong,74.5,2290010,170605745.0,0.77
TRIP.COM GROUP,9961 HK,Hong Kong,360.2,451613,162671002.6,0.73
CHINA PETROLEUM & CHEMICAL,386 HK,Hong Kong,4.265,36998343,157797932.9,0.71
KE HOLDINGS INC-CL A,2423 HK,Hong Kong,43.54,3468066,150999593.64,0.68
NONGFU SPRING,9633 HK,Hong Kong,42.46,3297911,140029301.06,0.63
CHINA HONGQIAO GROUP,1378 HK,Hong Kong,23.56,5719695,134756014.2,0.61
XPENG INC - CLASS A SHARES,9868 HK,Hong Kong,46.04,2663967,122649040.68,0.55
ZTO EXPRESS CAYMAN INC,2057 HK,Hong Kong,189.4,630427,119402873.8,0.54
AKESO INC,9926 HK,Hong Kong,96.05,1207392,115970001.6,0.52
CITIC,267 HK,Hong Kong,11.94,9527904,113763173.76,0.51
LI AUTO INC-CLASS A,2015 HK,Hong Kong,49.12,2298351,112895001.12,0.51
CSPC PHARMACEUTICAL GROUP LT,1093 HK,Hong Kong,8.5,13209227,112278429.5,0.51
BANK OF COMMUNICATIONS,3328 HK,Hong Kong,7.29,14333708,104492731.32,0.47
HORIZON ROBOTICS INC,9660 HK,Hong Kong,5.15,19195097,98854749.55,0.44
POSTAL SAVINGS BANK OF CHI,1658 HK,Hong Kong,4.86,17884232,86917367.52,0.39
CHINA OVERSEAS LAND & INVEST,688 HK,Hong Kong,13.21,6273155,82868377.55,0.37
HANSOH PHARMACEUTICAL GROUP,3692 HK,Hong Kong,31.68,2480327,78576759.36,0.35
JD HEALTH INTERNATIONAL INC,6618 HK,Hong Kong,39.2,1840253,72137917.6,0.32
CHINA UNICOM HONG KONG,762 HK,Hong Kong,6.485,10022849,64998175.77,0.29
SHENZHOU INTERNATIONAL GROUP,2313 HK,Hong Kong,42.74,1353785,57860770.9,0.26
HSCEI FUTURES 08/28/26,HCQ6,Hong Kong,8521.0,10479,36330050.0,0.16
CALL HSCEI WEEKLY OPTION 08/07/26 8750,,,1.0,-2693,-134650.0,0.0
CALL HSCEI 08/28/26 C8700 OTC,,,89.0,-8500,-37825000.0,-0.17
CALL HSCEI 08/28/26 C8700 OTC,,,89.0,-11500,-51175000.0,-0.23
CALL HANG SENG CHINA ENT 08/28/26 8700,HSCEI 08/28/26 C8700,Hong Kong,89.0,-29010,-129094500.0,-0.58
