Name of Securities,Exchange Ticker,Exchange,Market Price (in HKD),Number of Shares Held,Market Value (in HKD),Net Assets (%)
TENCENT HOLDINGS,700 HK,Hong Kong,431.2,3376552,1455969222.4,6.59
CHINA CONSTRUCTION BANK,939 HK,Hong Kong,7.78,173398261,1349038470.58,6.11
ALIBABA GROUP HOLDING,9988 HK,Hong Kong,94.1,12422943,1168998936.3,5.29
IND & COMM BK OF CHINA,1398 HK,Hong Kong,6.43,148673702,955971903.86,4.33
CHINA MOBILE,941 HK,Hong Kong,76.7,11226871,861101005.7,3.9
XIAOMI CORP-CLASS B,1810 HK,Hong Kong,22.96,32733246,751555328.16,3.4
MEITUAN-CLASS B,3690 HK,Hong Kong,71.6,10019668,717408228.8,3.25
PING AN INSURANCE GROUP,2318 HK,Hong Kong,52.05,12086137,629083430.85,2.85
BANK OF CHINA,3988 HK,Hong Kong,4.81,128162012,616459277.72,2.79
CNOOC,883 HK,Hong Kong,21.18,28107852,595324305.36,2.69
SEMICONDUCTOR MANUFACTURI,981 HK,Hong Kong,77.6,7575084,587826518.4,2.66
NETEASE INC,9999 HK,Hong Kong,205.4,2856095,586641913.0,2.65
BYD,1211 HK,Hong Kong,84.1,6641496,558549813.6,2.53
BEONE MEDICINES,6160 HK,Hong Kong,183.1,2186122,400278938.2,1.81
CHINA LIFE INSURANCE,2628 HK,Hong Kong,28.4,13417056,381044390.4,1.72
PETROCHINA,857 HK,Hong Kong,8.82,38043726,335545663.32,1.52
ZIJIN MINING GROUP,2899 HK,Hong Kong,30.72,10797302,331693117.44,1.5
CHINA MERCHANTS BANK,3968 HK,Hong Kong,44.2,7036011,310991686.2,1.41
BAIDU INC-CLASS A,9888 HK,Hong Kong,110.9,2727316,302459344.4,1.37
JD.COM INC-CLASS A,9618 HK,Hong Kong,104.2,2873705,299440061.0,1.36
AGRICULTURAL BANK OF CHINA,1288 HK,Hong Kong,5.3,52653719,279064710.7,1.26
LENOVO GROUP,992 HK,Hong Kong,21.3,12301979,262032152.7,1.19
INNOVENT BIOLOGICS INC,1801 HK,Hong Kong,87.8,2972372,260974261.6,1.18
KUAISHOU TECHNOLOGY,1024 HK,Hong Kong,42.6,5494572,234068767.2,1.06
CHINA SHENHUA ENERGY,1088 HK,Hong Kong,40.0,5785161,231406440.0,1.05
YUM CHINA HOLDINGS INC,9987 HK,Hong Kong,337.4,633656,213795534.4,0.97
GEELY AUTOMOBILE HOLDINGS LT,175 HK,Hong Kong,18.3,11681262,213767094.6,0.97
POP MART INTERNATIONAL GROUP,9992 HK,Hong Kong,153.3,1329909,203875049.7,0.92
ANTA SPORTS PRODUCTS,2020 HK,Hong Kong,72.75,2521347,183427994.25,0.83
CHINA RESOURCES LAND,1109 HK,Hong Kong,31.12,5785729,180051886.48,0.81
PICC PROPERTY & CASUALTY,2328 HK,Hong Kong,14.21,12440291,176776535.11,0.8
HSCEI FUTURES 07/30/26,HCN6,Hong Kong,7685.0,13497,168495999.9,0.76
CHINA PETROLEUM & CHEMICAL,386 HK,Hong Kong,4.07,40737757,165802670.99,0.75
TRIP.COM GROUP,9961 HK,Hong Kong,324.2,497255,161210071.0,0.73
XPENG INC - CLASS A SHARES,9868 HK,Hong Kong,51.7,2933237,151648352.9,0.69
NONGFU SPRING,9633 HK,Hong Kong,41.66,3631085,151271001.1,0.68
KE HOLDINGS INC-CL A,2423 HK,Hong Kong,39.5,3818477,150829841.5,0.68
AKESO INC,9926 HK,Hong Kong,102.4,1329322,136122572.8,0.62
CHINA HONGQIAO GROUP,1378 HK,Hong Kong,20.88,6297475,131491278.0,0.6
ZTO EXPRESS CAYMAN INC,2057 HK,Hong Kong,181.4,694090,125907926.0,0.57
LI AUTO INC-CLASS A,2015 HK,Hong Kong,47.36,2530635,119850873.6,0.54
CSPC PHARMACEUTICAL GROUP LT,1093 HK,Hong Kong,8.0,14542820,116342560.0,0.53
CITIC,267 HK,Hong Kong,10.77,10490304,112980574.08,0.51
BANK OF COMMUNICATIONS,3328 HK,Hong Kong,6.61,15782618,104323104.98,0.47
HORIZON ROBOTICS INC,9660 HK,Hong Kong,4.68,21135151,98912506.68,0.45
HANSOH PHARMACEUTICAL GROUP,3692 HK,Hong Kong,33.7,2730671,92023612.7,0.42
POSTAL SAVINGS BANK OF CHI,1658 HK,Hong Kong,4.54,19691404,89398974.16,0.4
CHINA OVERSEAS LAND & INVEST,688 HK,Hong Kong,12.52,6907027,86475978.04,0.39
JD HEALTH INTERNATIONAL INC,6618 HK,Hong Kong,36.1,2026299,73149393.9,0.33
CHINA UNICOM HONG KONG,762 HK,Hong Kong,6.18,11034902,68195694.36,0.31
SHENZHOU INTERNATIONAL GROUP,2313 HK,Hong Kong,41.8,1490475,62301855.0,0.28
CALL HSCEI 07/30/26 C7700 OTC,,,171.0,-11500,-98325000.0,-0.44
CALL HSCEI 07/30/26 C7700 OTC,,,171.0,-12500,-106875000.0,-0.48
CALL HANG SENG CHINA ENT 07/30/26 7700,HSCEI 07/30/26 C7700,Hong Kong,171.0,-33494,-286373700.0,-1.3
