Name of Securities,Exchange Ticker,Exchange,Market Price (in HKD),Number of Shares Held,Market Value (in HKD),Net Assets (%)
CHINA CONSTRUCTION BANK,939 HK,Hong Kong,9.05,157479507,1425189538.35,6.39
ALIBABA GROUP HOLDING,9988 HK,Hong Kong,124.2,11282464,1401282028.8,6.29
TENCENT HOLDINGS,700 HK,Hong Kong,447.2,3066592,1371379942.4,6.15
IND & COMM BK OF CHINA,1398 HK,Hong Kong,7.385,135024859,997158583.72,4.47
CHINA MOBILE,941 HK,Hong Kong,82.1,10196540,837135934.0,3.76
XIAOMI CORP-CLASS B,1810 HK,Hong Kong,27.44,29728155,815740573.2,3.66
MEITUAN-CLASS B,3690 HK,Hong Kong,87.05,9099934,792149254.7,3.55
BANK OF CHINA,3988 HK,Hong Kong,5.41,116396858,629707001.78,2.83
CNOOC,883 HK,Hong Kong,24.46,25528222,624420310.12,2.8
PING AN INSURANCE GROUP,2318 HK,Hong Kong,54.3,10976505,596024221.5,2.67
GLOBAL X USD MM ETF,3137 HK,Hong Kong,1134.75,488556,554388921.0,2.49
BYD,1211 HK,Hong Kong,89.4,6031824,539245065.6,2.42
NETEASE INC,9999 HK,Hong Kong,194.4,2593914,504256881.6,2.26
SEMICONDUCTOR MANUFACTURI,981 HK,Hong Kong,73.0,6880261,502259053.0,2.25
BEONE MEDICINES,6160 HK,Hong Kong,223.6,1985467,443950421.2,1.99
PETROCHINA,857 HK,Hong Kong,9.965,34552395,344314616.18,1.54
ZIJIN MINING GROUP,2899 HK,Hong Kong,34.9,9808835,342328341.5,1.54
LENOVO GROUP,992 HK,Hong Kong,30.12,11173432,336543771.84,1.51
CHINA LIFE INSURANCE,2628 HK,Hong Kong,26.96,12185992,328534344.32,1.47
CHINA MERCHANTS BANK,3968 HK,Hong Kong,48.7,6390298,311207512.6,1.4
AGRICULTURAL BANK OF CHINA,1288 HK,Hong Kong,6.22,47820353,297442595.66,1.33
JD.COM INC-CLASS A,9618 HK,Hong Kong,112.6,2609931,293878230.6,1.32
INNOVENT BIOLOGICS INC,1801 HK,Hong Kong,98.25,2699438,265219783.5,1.19
CHINA SHENHUA ENERGY,1088 HK,Hong Kong,44.28,5254351,232662662.28,1.04
BAIDU INC-CLASS A,9888 HK,Hong Kong,89.95,2476962,222802731.9,1.0
YUM CHINA HOLDINGS INC,9987 HK,Hong Kong,369.4,575491,212586375.4,0.95
GEELY AUTOMOBILE HOLDINGS LT,175 HK,Hong Kong,17.93,10609856,190234718.08,0.85
KUAISHOU TECHNOLOGY,1024 HK,Hong Kong,37.8,4990200,188629560.0,0.85
POP MART INTERNATIONAL GROUP,9992 HK,Hong Kong,150.5,1207979,181800839.5,0.82
CHINA RESOURCES LAND,1109 HK,Hong Kong,34.16,5254881,179506734.96,0.81
PICC PROPERTY & CASUALTY,2328 HK,Hong Kong,15.74,11298783,177842844.42,0.8
ANTA SPORTS PRODUCTS,2020 HK,Hong Kong,73.65,2290010,168659236.5,0.76
CHINA PETROLEUM & CHEMICAL,386 HK,Hong Kong,4.36,36998343,161312775.48,0.72
TRIP.COM GROUP,9961 HK,Hong Kong,352.4,451613,159148421.2,0.71
KE HOLDINGS INC-CL A,2423 HK,Hong Kong,44.58,3468066,154606382.28,0.69
NONGFU SPRING,9633 HK,Hong Kong,42.14,3297911,138973969.54,0.62
CHINA HONGQIAO GROUP,1378 HK,Hong Kong,22.62,5719695,129379500.9,0.58
XPENG INC - CLASS A SHARES,9868 HK,Hong Kong,45.94,2663967,122382643.98,0.55
CITIC,267 HK,Hong Kong,12.36,9527904,117764893.44,0.53
CSPC PHARMACEUTICAL GROUP LT,1093 HK,Hong Kong,8.685,13209227,114722136.5,0.51
ZTO EXPRESS CAYMAN INC,2057 HK,Hong Kong,176.0,630427,110955152.0,0.5
LI AUTO INC-CLASS A,2015 HK,Hong Kong,47.9,2298351,110091012.9,0.49
AKESO INC,9926 HK,Hong Kong,89.3,1207392,107820105.6,0.48
BANK OF COMMUNICATIONS,3328 HK,Hong Kong,7.425,14333708,106427781.9,0.48
HORIZON ROBOTICS INC,9660 HK,Hong Kong,4.78,19195097,91752563.66,0.41
POSTAL SAVINGS BANK OF CHI,1658 HK,Hong Kong,4.905,17884232,87722157.96,0.39
CHINA OVERSEAS LAND & INVEST,688 HK,Hong Kong,13.96,6273155,87573243.8,0.39
HANSOH PHARMACEUTICAL GROUP,3692 HK,Hong Kong,32.98,2480327,81801184.46,0.37
JD HEALTH INTERNATIONAL INC,6618 HK,Hong Kong,38.9,1840253,71585841.7,0.32
SHENZHOU INTERNATIONAL GROUP,2313 HK,Hong Kong,41.14,1353785,55694714.9,0.25
CHINA UNICOM HONG KONG,762 HK,Hong Kong,5.495,10022849,55075555.26,0.25
HSCEI FUTURES 08/28/26,HCQ6,Hong Kong,8457.0,10191,1757250.0,0.01
CALL HSCEI 08/28/26 C8700 OTC,,,20.0,-8500,-8500000.0,-0.04
CALL HSCEI 08/28/26 C8700 OTC,,,20.0,-11500,-11500000.0,-0.05
CALL HANG SENG CHINA ENT 08/28/26 8700,HSCEI 08/28/26 C8700,Hong Kong,20.0,-21310,-21310000.0,-0.1
CALL HSCEI WEEKLY OPTION 08/21/26 8400,,,92.0,-10400,-47840000.0,-0.21
