Name of Securities,Exchange Ticker,Exchange,Market Price (in HKD),Number of Shares Held,Market Value (in HKD),Net Assets (%)
CHINA CONSTRUCTION BANK,939 HK,Hong Kong,8.825,157479507,1389756649.28,6.27
ALIBABA GROUP HOLDING,9988 HK,Hong Kong,121.9,11282464,1375332361.6,6.2
TENCENT HOLDINGS,700 HK,Hong Kong,441.0,3066592,1352367072.0,6.1
IND & COMM BK OF CHINA,1398 HK,Hong Kong,7.21,135024859,973529233.39,4.39
MEITUAN-CLASS B,3690 HK,Hong Kong,91.25,9099934,830368977.5,3.74
CHINA MOBILE,941 HK,Hong Kong,81.2,10196540,827959048.0,3.73
XIAOMI CORP-CLASS B,1810 HK,Hong Kong,25.88,29728155,769364651.4,3.47
BANK OF CHINA,3988 HK,Hong Kong,5.285,116396858,615157394.53,2.77
PING AN INSURANCE GROUP,2318 HK,Hong Kong,55.5,10976505,609196027.5,2.75
CNOOC,883 HK,Hong Kong,23.86,25528222,609103376.92,2.75
GLOBAL X USD MM ETF,3137 HK,Hong Kong,1134.75,488556,554388921.0,2.5
BYD,1211 HK,Hong Kong,88.4,6031824,533213241.6,2.4
NETEASE INC,9999 HK,Hong Kong,191.7,2593914,497253313.8,2.24
SEMICONDUCTOR MANUFACTURI,981 HK,Hong Kong,67.55,6880261,464761630.55,2.1
BEONE MEDICINES,6160 HK,Hong Kong,219.4,1985467,435611459.8,1.96
LENOVO GROUP,992 HK,Hong Kong,34.9,11173432,389952776.8,1.76
ZIJIN MINING GROUP,2899 HK,Hong Kong,34.46,9808835,338012454.1,1.52
CHINA LIFE INSURANCE,2628 HK,Hong Kong,27.6,12185992,336333379.2,1.52
PETROCHINA,857 HK,Hong Kong,9.4,34552395,324792513.0,1.46
JD.COM INC-CLASS A,9618 HK,Hong Kong,123.0,2609931,321021513.0,1.45
CHINA MERCHANTS BANK,3968 HK,Hong Kong,48.38,6390298,309162617.24,1.39
AGRICULTURAL BANK OF CHINA,1288 HK,Hong Kong,5.89,47820353,281661879.17,1.27
INNOVENT BIOLOGICS INC,1801 HK,Hong Kong,95.15,2699438,256851525.7,1.16
BAIDU INC-CLASS A,9888 HK,Hong Kong,103.0,2476962,255127086.0,1.15
CHINA SHENHUA ENERGY,1088 HK,Hong Kong,42.72,5254351,224465874.72,1.01
YUM CHINA HOLDINGS INC,9987 HK,Hong Kong,376.4,575491,216614812.4,0.98
KUAISHOU TECHNOLOGY,1024 HK,Hong Kong,40.82,4990200,203699964.0,0.92
GEELY AUTOMOBILE HOLDINGS LT,175 HK,Hong Kong,17.91,10609856,190022520.96,0.86
POP MART INTERNATIONAL GROUP,9992 HK,Hong Kong,154.2,1207979,186270361.8,0.84
CHINA RESOURCES LAND,1109 HK,Hong Kong,34.12,5254881,179296539.72,0.81
PICC PROPERTY & CASUALTY,2328 HK,Hong Kong,15.34,11298783,173323331.22,0.78
ANTA SPORTS PRODUCTS,2020 HK,Hong Kong,72.35,2290010,165682223.5,0.75
TRIP.COM GROUP,9961 HK,Hong Kong,354.2,451613,159961324.6,0.72
CHINA PETROLEUM & CHEMICAL,386 HK,Hong Kong,4.22,36998343,156133007.46,0.7
KE HOLDINGS INC-CL A,2423 HK,Hong Kong,44.6,3468066,154675743.6,0.7
NONGFU SPRING,9633 HK,Hong Kong,42.54,3297911,140293133.94,0.63
CHINA HONGQIAO GROUP,1378 HK,Hong Kong,22.7,5719695,129837076.5,0.59
AKESO INC,9926 HK,Hong Kong,103.6,1207392,125085811.2,0.56
XPENG INC - CLASS A SHARES,9868 HK,Hong Kong,45.38,2663967,120890822.46,0.55
CSPC PHARMACEUTICAL GROUP LT,1093 HK,Hong Kong,8.85,13209227,116901658.95,0.53
ZTO EXPRESS CAYMAN INC,2057 HK,Hong Kong,180.4,630427,113729030.8,0.51
CITIC,267 HK,Hong Kong,11.89,9527904,113286778.56,0.51
LI AUTO INC-CLASS A,2015 HK,Hong Kong,48.22,2298351,110826485.22,0.5
BANK OF COMMUNICATIONS,3328 HK,Hong Kong,7.295,14333708,104564399.86,0.47
HORIZON ROBOTICS INC,9660 HK,Hong Kong,5.05,19195097,96935239.85,0.44
POSTAL SAVINGS BANK OF CHI,1658 HK,Hong Kong,4.81,17884232,86023155.92,0.39
CHINA OVERSEAS LAND & INVEST,688 HK,Hong Kong,13.48,6273155,84562129.4,0.38
HANSOH PHARMACEUTICAL GROUP,3692 HK,Hong Kong,33.86,2480327,83983872.22,0.38
JD HEALTH INTERNATIONAL INC,6618 HK,Hong Kong,39.52,1840253,72726798.56,0.33
CHINA UNICOM HONG KONG,762 HK,Hong Kong,6.265,10022849,62793148.99,0.28
SHENZHOU INTERNATIONAL GROUP,2313 HK,Hong Kong,41.62,1353785,56344531.7,0.25
CALL HSCEI WEEKLY OPTION 08/14/26 8550,,,2.0,-5400,-540000.0,0.0
HSCEI FUTURES 08/28/26,HCQ6,Hong Kong,8434.0,10479,-10135200.0,-0.05
CALL HSCEI 08/28/26 C8700 OTC,,,32.0,-8500,-13600000.0,-0.06
CALL HSCEI 08/28/26 C8700 OTC,,,32.0,-11500,-18400000.0,-0.08
CALL HANG SENG CHINA ENT 08/28/26 8700,HSCEI 08/28/26 C8700,Hong Kong,32.0,-26310,-42096000.0,-0.19
