Name of Securities,Exchange Ticker,Exchange,Market Price (in HKD),Number of Shares Held,Market Value (in HKD),Net Assets (%)
TENCENT HOLDINGS,700 HK,Hong Kong,452.0,3376552,1526201504.0,6.85
CHINA CONSTRUCTION BANK,939 HK,Hong Kong,7.85,173398261,1361176348.85,6.11
ALIBABA GROUP HOLDING,9988 HK,Hong Kong,95.95,12422943,1191981380.85,5.35
IND & COMM BK OF CHINA,1398 HK,Hong Kong,6.43,148673702,955971903.86,4.29
CHINA MOBILE,941 HK,Hong Kong,77.15,11226871,866153097.65,3.89
XIAOMI CORP-CLASS B,1810 HK,Hong Kong,23.28,32733246,762029966.88,3.42
MEITUAN-CLASS B,3690 HK,Hong Kong,74.95,10019668,750974116.6,3.37
PING AN INSURANCE GROUP,2318 HK,Hong Kong,52.85,12086137,638752340.45,2.87
BANK OF CHINA,3988 HK,Hong Kong,4.82,128162012,617740897.84,2.77
NETEASE INC,9999 HK,Hong Kong,208.4,2856095,595210198.0,2.67
CNOOC,883 HK,Hong Kong,21.04,28107852,591389206.08,2.65
SEMICONDUCTOR MANUFACTURI,981 HK,Hong Kong,75.75,7575084,573812613.0,2.58
BYD,1211 HK,Hong Kong,83.8,6641496,556557364.8,2.5
BEONE MEDICINES,6160 HK,Hong Kong,190.5,2186122,416456241.0,1.87
CHINA LIFE INSURANCE,2628 HK,Hong Kong,29.52,13417056,396071493.12,1.78
PETROCHINA,857 HK,Hong Kong,8.91,38043726,338969598.66,1.52
ZIJIN MINING GROUP,2899 HK,Hong Kong,31.2,10797302,336875822.4,1.51
CHINA MERCHANTS BANK,3968 HK,Hong Kong,45.36,7036011,319153458.96,1.43
JD.COM INC-CLASS A,9618 HK,Hong Kong,105.5,2873705,303175877.5,1.36
BAIDU INC-CLASS A,9888 HK,Hong Kong,110.5,2727316,301368418.0,1.35
AGRICULTURAL BANK OF CHINA,1288 HK,Hong Kong,5.3,52653719,279064710.7,1.25
INNOVENT BIOLOGICS INC,1801 HK,Hong Kong,90.5,2972372,268999666.0,1.21
KUAISHOU TECHNOLOGY,1024 HK,Hong Kong,46.0,5494572,252750312.0,1.13
LENOVO GROUP,992 HK,Hong Kong,20.46,12301979,251698490.34,1.13
HSCEI FUTURES 07/30/26,HCN6,Hong Kong,7789.0,13497,238680399.9,1.07
CHINA SHENHUA ENERGY,1088 HK,Hong Kong,41.02,5785161,237307304.22,1.07
GEELY AUTOMOBILE HOLDINGS LT,175 HK,Hong Kong,18.64,11681262,217738723.68,0.98
YUM CHINA HOLDINGS INC,9987 HK,Hong Kong,335.6,633656,212654953.6,0.95
POP MART INTERNATIONAL GROUP,9992 HK,Hong Kong,152.7,1329909,203077104.3,0.91
ANTA SPORTS PRODUCTS,2020 HK,Hong Kong,74.5,2521347,187840351.5,0.84
CHINA RESOURCES LAND,1109 HK,Hong Kong,32.14,5785729,185953330.06,0.83
PICC PROPERTY & CASUALTY,2328 HK,Hong Kong,14.85,12440291,184738321.35,0.83
CHINA PETROLEUM & CHEMICAL,386 HK,Hong Kong,4.1,40737757,167024803.7,0.75
TRIP.COM GROUP,9961 HK,Hong Kong,325.4,497255,161806777.0,0.73
XPENG INC - CLASS A SHARES,9868 HK,Hong Kong,52.85,2933237,155021575.45,0.7
KE HOLDINGS INC-CL A,2423 HK,Hong Kong,39.94,3818477,152509971.38,0.68
NONGFU SPRING,9633 HK,Hong Kong,41.54,3631085,150835270.9,0.68
AKESO INC,9926 HK,Hong Kong,101.9,1329322,135457911.8,0.61
CHINA HONGQIAO GROUP,1378 HK,Hong Kong,21.5,6297475,135395712.5,0.61
ZTO EXPRESS CAYMAN INC,2057 HK,Hong Kong,183.0,694090,127018470.0,0.57
CSPC PHARMACEUTICAL GROUP LT,1093 HK,Hong Kong,8.23,14542820,119687408.6,0.54
LI AUTO INC-CLASS A,2015 HK,Hong Kong,46.26,2530635,117067175.1,0.53
CITIC,267 HK,Hong Kong,10.77,10490304,112980574.08,0.51
BANK OF COMMUNICATIONS,3328 HK,Hong Kong,6.63,15782618,104638757.34,0.47
HORIZON ROBOTICS INC,9660 HK,Hong Kong,4.49,21135151,94896827.99,0.43
HANSOH PHARMACEUTICAL GROUP,3692 HK,Hong Kong,33.98,2730671,92788200.58,0.42
POSTAL SAVINGS BANK OF CHI,1658 HK,Hong Kong,4.58,19691404,90186630.32,0.4
CHINA OVERSEAS LAND & INVEST,688 HK,Hong Kong,12.54,6907027,86614118.58,0.39
JD HEALTH INTERNATIONAL INC,6618 HK,Hong Kong,37.78,2026299,76553576.22,0.34
CHINA UNICOM HONG KONG,762 HK,Hong Kong,6.24,11034902,68857788.48,0.31
SHENZHOU INTERNATIONAL GROUP,2313 HK,Hong Kong,41.9,1490475,62450902.5,0.28
CALL HSCEI 07/30/26 C7700 OTC,,,224.0,-11500,-128800000.0,-0.58
CALL HSCEI 07/30/26 C7700 OTC,,,224.0,-12500,-140000000.0,-0.63
CALL HANG SENG CHINA ENT 07/30/26 7700,HSCEI 07/30/26 C7700,Hong Kong,224.0,-33494,-375132800.0,-1.68
