Name of Securities,Exchange Ticker,Exchange,Market Price (in HKD),Number of Shares Held,Market Value (in HKD),Net Assets (%)
CHINA CONSTRUCTION BANK,939 HK,Hong Kong,9.56,148419507,1418890486.92,6.43
ALIBABA GROUP HOLDING,9988 HK,Hong Kong,109.5,12905964,1413203058.0,6.4
TENCENT HOLDINGS,700 HK,Hong Kong,435.4,3227892,1405424176.8,6.37
IND & COMM BK OF CHINA,1398 HK,Hong Kong,7.51,132115859,992190101.09,4.49
GLOBAL X USD MM ETF,3137 HK,Hong Kong,1136.0,832556,945783616.0,4.28
CHINA MOBILE,941 HK,Hong Kong,78.9,9989540,788174706.0,3.57
XIAOMI CORP-CLASS B,1810 HK,Hong Kong,26.92,28920955,778552108.6,3.53
MEITUAN-CLASS B,3690 HK,Hong Kong,80.6,8904434,717697380.4,3.25
BANK OF CHINA,3988 HK,Hong Kong,5.875,113888858,669097040.75,3.03
CNOOC,883 HK,Hong Kong,25.86,24978222,645936820.92,2.93
PING AN INSURANCE GROUP,2318 HK,Hong Kong,55.25,10740005,593385276.25,2.69
NETEASE INC,9999 HK,Hong Kong,188.2,2821114,530933654.8,2.4
BYD,1211 HK,Hong Kong,83.85,5901924,494876327.4,2.24
SEMICONDUCTOR MANUFACTURI,981 HK,Hong Kong,65.35,7226761,472268831.35,2.14
BEONE MEDICINES,6160 HK,Hong Kong,212.8,1942667,413399537.6,1.87
LENOVO GROUP,992 HK,Hong Kong,30.36,11925432,362056115.52,1.64
ZIJIN MINING GROUP,2899 HK,Hong Kong,36.96,9596835,354699021.6,1.61
CHINA LIFE INSURANCE,2628 HK,Hong Kong,29.62,11922992,353159023.04,1.6
PETROCHINA,857 HK,Hong Kong,10.35,33808395,349916888.25,1.58
CHINA MERCHANTS BANK,3968 HK,Hong Kong,51.9,6252798,324520216.2,1.47
AGRICULTURAL BANK OF CHINA,1288 HK,Hong Kong,6.3,46790353,294779223.9,1.34
JD.COM INC-CLASS A,9618 HK,Hong Kong,108.6,2483681,269727756.6,1.22
INNOVENT BIOLOGICS INC,1801 HK,Hong Kong,100.2,2646438,265173087.6,1.2
CHINA SHENHUA ENERGY,1088 HK,Hong Kong,45.62,5141351,234548432.62,1.06
BAIDU INC-CLASS A-HKD,9888 HK,Hong Kong,89.55,2509412,224717844.6,1.02
YUM CHINA HOLDINGS INC,9987 HK,Hong Kong,341.8,552891,188978143.8,0.86
PICC PROPERTY & CASUALTY,2328 HK,Hong Kong,16.9,11054783,186825832.7,0.85
POP MART INTERNATIONAL GROUP,9992 HK,Hong Kong,155.7,1173779,182757390.3,0.83
TRIP.COM GROUP,9961 HK,Hong Kong,324.2,557413,180713294.6,0.82
CHINA PETROLEUM & CHEMICAL,386 HK,Hong Kong,4.915,36202343,177934515.85,0.81
GEELY AUTOMOBILE HOLDINGS LT,175 HK,Hong Kong,16.92,10368856,175441043.52,0.79
ANTA SPORTS PRODUCTS,2020 HK,Hong Kong,75.95,2240610,170174329.5,0.77
KUAISHOU TECHNOLOGY,1024 HK,Hong Kong,33.04,4853100,160346424.0,0.73
CHINA RESOURCES LAND,1109 HK,Hong Kong,30.44,5141881,156518857.64,0.71
KE HOLDINGS INC-CL A,2423 HK,Hong Kong,45.82,3328766,152524058.12,0.69
NONGFU SPRING,9633 HK,Hong Kong,41.1,3226911,132626042.1,0.6
CHINA HONGQIAO GROUP,1378 HK,Hong Kong,23.52,5507195,129529226.4,0.59
CITIC,267 HK,Hong Kong,13.52,9322904,126045662.08,0.57
CSPC PHARMACEUTICAL GROUP LT,1093 HK,Hong Kong,9.42,12925227,121755638.34,0.55
AKESO INC,9926 HK,Hong Kong,96.2,1181392,113649910.4,0.51
XPENG INC - CLASS A SHARES,9868 HK,Hong Kong,42.38,2609667,110597687.46,0.5
BANK OF COMMUNICATIONS,3328 HK,Hong Kong,7.86,14025708,110242064.88,0.5
LI AUTO INC-CLASS A,2015 HK,Hong Kong,49.32,2186151,107820967.32,0.49
ZTO EXPRESS CAYMAN INC,2057 HK,Hong Kong,162.2,616827,100049339.4,0.45
POSTAL SAVINGS BANK OF CHI,1658 HK,Hong Kong,5.365,17499232,93883379.68,0.43
HANSOH PHARMACEUTICAL GROUP,3692 HK,Hong Kong,36.08,2430327,87686198.16,0.4
HORIZON ROBOTICS INC,9660 HK,Hong Kong,4.42,18678497,82558956.74,0.37
CHINA OVERSEAS LAND & INVEST,688 HK,Hong Kong,13.01,6138155,79857396.55,0.36
BNYM-USD LIQ-ADVANT,DRELIQP ID,,1.0,10008182,78478929.25,0.36
JD HEALTH INTERNATIONAL INC,6618 HK,Hong Kong,36.6,1800803,65909389.8,0.3
CHINA UNICOM HONG KONG,762 HK,Hong Kong,5.735,9806849,56242279.02,0.25
SHENZHOU INTERNATIONAL GROUP,2313 HK,Hong Kong,36.34,1324385,48128150.9,0.22
CALL HSCEI WEEKLY OPTION 09/11/26 8600,,,3.0,-15920,-2388000.0,-0.01
CALL HSCEI 09/29/26 C8600 OTC,,,53.0,-8500,-22525000.0,-0.1
CALL HSCEI 09/29/26 C8600 OTC,,,53.0,-9000,-23850000.0,-0.11
CALL HANG SENG CHINA ENT 09/29/26 8600,HSCEI 09/29/26 C8600,Hong Kong,53.0,-18710,-49581500.0,-0.22
HSCEI FUTURES 09/29/26,HCU6,Hong Kong,8369.0,10218,-64982650.0,-0.29
