Name of Securities,Exchange Ticker,Exchange,Market Price (in HKD),Number of Shares Held,Market Value (in HKD),Net Assets (%)
CHINA CONSTRUCTION BANK,939 HK,Hong Kong,9.765,148419507,1449316485.86,6.63
ALIBABA GROUP HOLDING,9988 HK,Hong Kong,106.9,12905964,1379647551.6,6.32
TENCENT HOLDINGS,700 HK,Hong Kong,425.6,3227892,1373790835.2,6.29
IND & COMM BK OF CHINA,1398 HK,Hong Kong,7.61,132115859,1005401686.99,4.6
GLOBAL X USD MM ETF,3137 HK,Hong Kong,1136.95,832556,946574544.2,4.33
CHINA MOBILE,941 HK,Hong Kong,78.85,9989540,787675229.0,3.61
XIAOMI CORP-CLASS B,1810 HK,Hong Kong,25.92,28920955,749631153.6,3.43
BANK OF CHINA,3988 HK,Hong Kong,5.97,113888858,679916482.26,3.11
MEITUAN-CLASS B,3690 HK,Hong Kong,74.75,8904434,665606441.5,3.05
CNOOC,883 HK,Hong Kong,25.02,24978222,624955114.44,2.86
PING AN INSURANCE GROUP,2318 HK,Hong Kong,54.85,10740005,589089274.25,2.7
NETEASE INC,9999 HK,Hong Kong,183.1,2821114,516545973.4,2.36
BYD,1211 HK,Hong Kong,79.55,5901924,469498054.2,2.15
SEMICONDUCTOR MANUFACTURI,981 HK,Hong Kong,63.45,7226761,458537985.45,2.1
BEONE MEDICINES,6160 HK,Hong Kong,207.0,1942667,402132069.0,1.84
LENOVO GROUP,992 HK,Hong Kong,32.26,11925432,384714436.32,1.76
CHINA LIFE INSURANCE,2628 HK,Hong Kong,30.14,11922992,359358978.88,1.65
ZIJIN MINING GROUP,2899 HK,Hong Kong,37.34,9596835,358345818.9,1.64
PETROCHINA,857 HK,Hong Kong,10.09,33808395,341126705.55,1.56
CHINA MERCHANTS BANK,3968 HK,Hong Kong,52.15,6252798,326083415.7,1.49
AGRICULTURAL BANK OF CHINA,1288 HK,Hong Kong,6.38,46790353,298522452.14,1.37
JD.COM INC-CLASS A,9618 HK,Hong Kong,105.5,2483681,262028345.5,1.2
INNOVENT BIOLOGICS INC,1801 HK,Hong Kong,94.35,2646438,249691425.3,1.14
CHINA SHENHUA ENERGY,1088 HK,Hong Kong,46.48,5141351,238969994.48,1.09
BAIDU INC-CLASS A-HKD,9888 HK,Hong Kong,89.15,2509412,223714079.8,1.02
PICC PROPERTY & CASUALTY,2328 HK,Hong Kong,17.04,11054783,188373502.32,0.86
YUM CHINA HOLDINGS INC,9987 HK,Hong Kong,330.6,552891,182785764.6,0.84
POP MART INTERNATIONAL GROUP,9992 HK,Hong Kong,152.7,1173779,179236053.3,0.82
CHINA PETROLEUM & CHEMICAL,386 HK,Hong Kong,4.845,36202343,175400351.84,0.8
TRIP.COM GROUP,9961 HK,Hong Kong,308.8,557413,172129134.4,0.79
GEELY AUTOMOBILE HOLDINGS LT,175 HK,Hong Kong,16.13,10368856,167249647.28,0.77
ANTA SPORTS PRODUCTS,2020 HK,Hong Kong,72.05,2240610,161435950.5,0.74
CHINA RESOURCES LAND,1109 HK,Hong Kong,29.96,5141881,154050754.76,0.71
KUAISHOU TECHNOLOGY,1024 HK,Hong Kong,31.66,4853100,153649146.0,0.7
KE HOLDINGS INC-CL A,2423 HK,Hong Kong,44.1,3328766,146798580.6,0.67
CHINA HONGQIAO GROUP,1378 HK,Hong Kong,23.44,5507195,129088650.8,0.59
CITIC,267 HK,Hong Kong,13.72,9322904,127910242.88,0.59
NONGFU SPRING,9633 HK,Hong Kong,39.58,3226911,127721137.38,0.58
CSPC PHARMACEUTICAL GROUP LT,1093 HK,Hong Kong,8.77,12925227,113354240.79,0.52
BANK OF COMMUNICATIONS,3328 HK,Hong Kong,8.06,14025708,113047206.48,0.52
AKESO INC,9926 HK,Hong Kong,93.6,1181392,110578291.2,0.51
XPENG INC - CLASS A SHARES,9868 HK,Hong Kong,41.6,2609667,108562147.2,0.5
ZTO EXPRESS CAYMAN INC,2057 HK,Hong Kong,164.9,616827,101714772.3,0.47
LI AUTO INC-CLASS A,2015 HK,Hong Kong,46.48,2186151,101612298.48,0.47
POSTAL SAVINGS BANK OF CHI,1658 HK,Hong Kong,5.365,17499232,93883379.68,0.43
HANSOH PHARMACEUTICAL GROUP,3692 HK,Hong Kong,33.34,2430327,81027102.18,0.37
HORIZON ROBOTICS INC,9660 HK,Hong Kong,4.25,18678497,79383612.25,0.36
BNYM-USD LIQ-ADVANT,DRELIQP ID,,1.0,10008182,78475852.41,0.36
CHINA OVERSEAS LAND & INVEST,688 HK,Hong Kong,12.78,6138155,78445620.9,0.36
JD HEALTH INTERNATIONAL INC,6618 HK,Hong Kong,34.64,1800803,62379815.92,0.29
CHINA UNICOM HONG KONG,762 HK,Hong Kong,5.865,9806849,57517169.39,0.26
SHENZHOU INTERNATIONAL GROUP,2313 HK,Hong Kong,35.26,1324385,46697815.1,0.21
CALL HSCEI WEEKLY OPTION 09/11/26 8600,,,1.0,-15920,-796000.0,0.0
CALL HSCEI 09/29/26 C8600 OTC,,,28.0,-8500,-11900000.0,-0.05
CALL HSCEI 09/29/26 C8600 OTC,,,28.0,-9000,-12600000.0,-0.06
CALL HANG SENG CHINA ENT 09/29/26 8600,HSCEI 09/29/26 C8600,Hong Kong,28.0,-18710,-26194000.0,-0.12
HSCEI FUTURES 09/29/26,HCU6,Hong Kong,8260.0,10218,-120670750.0,-0.55
