Name of Securities,Exchange Ticker,Exchange,Market Price (in HKD),Number of Shares Held,Market Value (in HKD),Net Assets (%)
CHINA CONSTRUCTION BANK,939 HK,Hong Kong,9.68,148419507,1436700827.76,6.56
ALIBABA GROUP HOLDING,9988 HK,Hong Kong,110.0,12905964,1419656040.0,6.48
TENCENT HOLDINGS,700 HK,Hong Kong,438.4,3227892,1415107852.8,6.46
IND & COMM BK OF CHINA,1398 HK,Hong Kong,7.66,132115859,1012007479.94,4.62
GLOBAL X USD MM ETF,3137 HK,Hong Kong,1139.55,832556,948739189.8,4.33
CHINA MOBILE,941 HK,Hong Kong,78.9,9989540,788174706.0,3.6
XIAOMI CORP-CLASS B,1810 HK,Hong Kong,26.58,28920955,768718983.9,3.51
BANK OF CHINA,3988 HK,Hong Kong,6.04,113888858,687888702.32,3.14
MEITUAN-CLASS B,3690 HK,Hong Kong,72.25,8904434,643345356.5,2.94
CNOOC,883 HK,Hong Kong,23.84,24978222,595480812.48,2.72
PING AN INSURANCE GROUP,2318 HK,Hong Kong,53.25,10740005,571905266.25,2.61
NETEASE INC,9999 HK,Hong Kong,186.6,2821114,526419872.4,2.4
BYD,1211 HK,Hong Kong,79.5,5901924,469202958.0,2.14
SEMICONDUCTOR MANUFACTURI,981 HK,Hong Kong,63.8,7226761,461067351.8,2.1
LENOVO GROUP,992 HK,Hong Kong,36.02,11925432,429554060.64,1.96
BEONE MEDICINES,6160 HK,Hong Kong,215.2,1942667,418061938.4,1.91
CHINA LIFE INSURANCE,2628 HK,Hong Kong,29.44,11922992,351012884.48,1.6
PETROCHINA,857 HK,Hong Kong,9.615,33808395,325067717.93,1.48
CHINA MERCHANTS BANK,3968 HK,Hong Kong,51.2,6252798,320143257.6,1.46
ZIJIN MINING GROUP,2899 HK,Hong Kong,32.72,9596835,314008441.2,1.43
AGRICULTURAL BANK OF CHINA,1288 HK,Hong Kong,6.61,46790353,309284233.33,1.41
INNOVENT BIOLOGICS INC,1801 HK,Hong Kong,99.8,2646438,264114512.4,1.21
JD.COM INC-CLASS A,9618 HK,Hong Kong,105.6,2483681,262276713.6,1.2
BNYM-USD LIQ-ADVANT,DRELIQP ID,,1.0,30008182,235347218.25,1.07
CHINA SHENHUA ENERGY,1088 HK,Hong Kong,44.66,5141351,229612735.66,1.05
BAIDU INC-CLASS A-HKD,9888 HK,Hong Kong,86.3,2509412,216562255.6,0.99
PICC PROPERTY & CASUALTY,2328 HK,Hong Kong,16.75,11054783,185167615.25,0.85
YUM CHINA HOLDINGS INC,9987 HK,Hong Kong,322.0,552891,178030902.0,0.81
POP MART INTERNATIONAL GROUP,9992 HK,Hong Kong,151.1,1173779,177358006.9,0.81
TRIP.COM GROUP,9961 HK,Hong Kong,313.4,557413,174693234.2,0.8
GEELY AUTOMOBILE HOLDINGS LT,175 HK,Hong Kong,15.77,10368856,163516859.12,0.75
CHINA PETROLEUM & CHEMICAL,386 HK,Hong Kong,4.485,36202343,162367508.36,0.74
ANTA SPORTS PRODUCTS,2020 HK,Hong Kong,71.95,2240610,161211889.5,0.74
CHINA RESOURCES LAND,1109 HK,Hong Kong,29.06,5141881,149423061.86,0.68
KUAISHOU TECHNOLOGY,1024 HK,Hong Kong,30.5,4853100,148019550.0,0.68
KE HOLDINGS INC-CL A,2423 HK,Hong Kong,43.26,3328766,144002417.16,0.66
NONGFU SPRING,9633 HK,Hong Kong,39.12,3226911,126236758.32,0.58
CITIC,267 HK,Hong Kong,13.09,9322904,122036813.36,0.56
CSPC PHARMACEUTICAL GROUP LT,1093 HK,Hong Kong,9.34,12925227,120721620.18,0.55
BANK OF COMMUNICATIONS,3328 HK,Hong Kong,8.285,14025708,116202990.78,0.53
CHINA HONGQIAO GROUP,1378 HK,Hong Kong,20.82,5507195,114659799.9,0.52
AKESO INC,9926 HK,Hong Kong,93.9,1181392,110932708.8,0.51
XPENG INC - CLASS A SHARES,9868 HK,Hong Kong,40.22,2609667,104960806.74,0.48
LI AUTO INC-CLASS A,2015 HK,Hong Kong,46.76,2186151,102224420.76,0.47
ZTO EXPRESS CAYMAN INC,2057 HK,Hong Kong,156.2,616827,96348377.4,0.44
POSTAL SAVINGS BANK OF CHI,1658 HK,Hong Kong,5.42,17499232,94845837.44,0.43
HANSOH PHARMACEUTICAL GROUP,3692 HK,Hong Kong,33.86,2430327,82290872.22,0.38
HORIZON ROBOTICS INC,9660 HK,Hong Kong,4.14,18678497,77328977.58,0.35
CHINA OVERSEAS LAND & INVEST,688 HK,Hong Kong,12.58,6138155,77217989.9,0.35
JD HEALTH INTERNATIONAL INC,6618 HK,Hong Kong,35.8,1800803,64468747.4,0.29
CHINA UNICOM HONG KONG,762 HK,Hong Kong,5.58,9806849,54722217.42,0.25
SHENZHOU INTERNATIONAL GROUP,2313 HK,Hong Kong,34.36,1324385,45505868.6,0.21
CALL HSCEI 09/29/26 C8600 OTC,,,3.0,-8500,-1275000.0,-0.01
CALL HSCEI 09/29/26 C8600 OTC,,,3.0,-9000,-1350000.0,-0.01
CALL HANG SENG CHINA ENT 09/29/26 8600,HSCEI 09/29/26 C8600,Hong Kong,3.0,-18710,-2806500.0,-0.01
CALL HSCEI WEEKLY OPTION 09/25/26 8350,,,5.0,-13290,-3322500.0,-0.02
HSCEI FUTURES 09/29/26,HCU6,Hong Kong,8243.0,10218,-129356050.0,-0.59
