Name of Securities,Exchange Ticker,Exchange,Market Price (in HKD),Number of Shares Held,Market Value (in HKD),Net Assets (%)
TENCENT HOLDINGS,700 HK,Hong Kong,440.6,3346167,1474321180.2,6.58
CHINA CONSTRUCTION BANK,939 HK,Hong Kong,8.55,171837772,1469212950.6,6.55
ALIBABA GROUP HOLDING,9988 HK,Hong Kong,113.6,12311139,1398545390.4,6.24
IND & COMM BK OF CHINA,1398 HK,Hong Kong,7.0,147335704,1031349928.0,4.6
CHINA MOBILE,941 HK,Hong Kong,80.55,11125860,896188023.0,4.0
XIAOMI CORP-CLASS B,1810 HK,Hong Kong,26.68,32438660,865463448.8,3.86
MEITUAN-CLASS B,3690 HK,Hong Kong,83.65,9929514,830603846.1,3.7
PING AN INSURANCE GROUP,2318 HK,Hong Kong,56.5,11977345,676719992.5,3.02
CNOOC,883 HK,Hong Kong,24.1,27854917,671303499.7,2.99
BANK OF CHINA,3988 HK,Hong Kong,5.19,127008623,659174753.37,2.94
BYD,1211 HK,Hong Kong,87.85,6581729,578204892.65,2.58
SEMICONDUCTOR MANUFACTURI,981 HK,Hong Kong,72.9,7506936,547255634.4,2.44
NETEASE INC,9999 HK,Hong Kong,193.0,2830374,546262182.0,2.44
HSCEI FUTURES 07/30/26,HCN6,Hong Kong,8256.0,12805,525242270.43,2.34
BEONE MEDICINES,6160 HK,Hong Kong,196.5,2166472,425711748.0,1.9
GLOBAL X USD MM ETF,3137 HK,Hong Kong,1131.0,349556,395347836.0,1.76
PETROCHINA,857 HK,Hong Kong,10.05,37701350,378898567.5,1.69
CHINA LIFE INSURANCE,2628 HK,Hong Kong,27.8,13296287,369636778.6,1.65
ZIJIN MINING GROUP,2899 HK,Hong Kong,33.42,10700130,357598344.6,1.6
JD.COM INC-CLASS A,9618 HK,Hong Kong,118.6,2847861,337756314.6,1.51
CHINA MERCHANTS BANK,3968 HK,Hong Kong,47.98,6972703,334550289.94,1.49
AGRICULTURAL BANK OF CHINA,1288 HK,Hong Kong,5.72,52179888,298468959.36,1.33
LENOVO GROUP,992 HK,Hong Kong,24.1,12191292,293810137.2,1.31
BAIDU INC-CLASS A,9888 HK,Hong Kong,104.4,2702772,282169396.8,1.26
INNOVENT BIOLOGICS INC,1801 HK,Hong Kong,92.25,2945643,271735566.75,1.21
CHINA SHENHUA ENERGY,1088 HK,Hong Kong,44.18,5733121,253289285.78,1.13
KUAISHOU TECHNOLOGY,1024 HK,Hong Kong,42.7,5445130,232507051.0,1.04
YUM CHINA HOLDINGS INC,9987 HK,Hong Kong,335.0,627936,210358560.0,0.94
POP MART INTERNATIONAL GROUP,9992 HK,Hong Kong,159.3,1317934,209946886.2,0.94
GEELY AUTOMOBILE HOLDINGS LT,175 HK,Hong Kong,17.93,11576126,207559939.18,0.93
CHINA RESOURCES LAND,1109 HK,Hong Kong,33.38,5733636,191388769.68,0.85
ANTA SPORTS PRODUCTS,2020 HK,Hong Kong,75.9,2498635,189646396.5,0.85
PICC PROPERTY & CASUALTY,2328 HK,Hong Kong,14.89,12328313,183568580.57,0.82
CHINA PETROLEUM & CHEMICAL,386 HK,Hong Kong,4.26,40371133,171981026.58,0.77
TRIP.COM GROUP,9961 HK,Hong Kong,340.2,492773,167641374.6,0.75
KE HOLDINGS INC-CL A,2423 HK,Hong Kong,42.42,3784136,160523049.12,0.72
NONGFU SPRING,9633 HK,Hong Kong,42.9,3598401,154371402.9,0.69
XPENG INC - CLASS A SHARES,9868 HK,Hong Kong,50.25,2906862,146069815.5,0.65
CHINA HONGQIAO GROUP,1378 HK,Hong Kong,23.16,6240780,144536464.8,0.64
AKESO INC,9926 HK,Hong Kong,98.9,1317347,130285618.3,0.58
ZTO EXPRESS CAYMAN INC,2057 HK,Hong Kong,188.4,687837,129588490.8,0.58
CITIC,267 HK,Hong Kong,11.71,10395904,121736035.84,0.54
CSPC PHARMACEUTICAL GROUP LT,1093 HK,Hong Kong,8.4,14411957,121060438.8,0.54
LI AUTO INC-CLASS A,2015 HK,Hong Kong,47.64,2507861,119474498.04,0.53
BANK OF COMMUNICATIONS,3328 HK,Hong Kong,7.19,15640603,112455935.57,0.5
HORIZON ROBOTICS INC,9660 HK,Hong Kong,4.75,20944937,99488450.75,0.44
POSTAL SAVINGS BANK OF CHI,1658 HK,Hong Kong,4.85,19514172,94643734.2,0.42
CHINA OVERSEAS LAND & INVEST,688 HK,Hong Kong,13.35,6844845,91378680.75,0.41
HANSOH PHARMACEUTICAL GROUP,3692 HK,Hong Kong,32.86,2706072,88921525.92,0.4
JD HEALTH INTERNATIONAL INC,6618 HK,Hong Kong,37.68,2008068,75664002.24,0.34
CHINA UNICOM HONG KONG,762 HK,Hong Kong,6.54,10935604,71518850.16,0.32
SHENZHOU INTERNATIONAL GROUP,2313 HK,Hong Kong,42.78,1477080,63189482.4,0.28
CALL HSCEI 07/30/26 C7700 OTC,,,563.0,-11500,-323725000.0,-1.44
CALL HSCEI 07/30/26 C7700 OTC,,,563.0,-12500,-351875000.0,-1.57
CALL HANG SENG CHINA ENT 07/30/26 7700,HSCEI 07/30/26 C7700,Hong Kong,563.0,-32977,-928302550.0,-4.14
