Name of Securities,Exchange Ticker,Exchange,Market Price (in HKD),Number of Shares Held,Market Value (in HKD),Net Assets (%)
TENCENT HOLDINGS,700 HK,Hong Kong,470.8,3066592,1443751513.6,6.46
ALIBABA GROUP HOLDING,9988 HK,Hong Kong,126.4,11282464,1426103449.6,6.38
CHINA CONSTRUCTION BANK,939 HK,Hong Kong,8.825,157479507,1389756649.28,6.22
IND & COMM BK OF CHINA,1398 HK,Hong Kong,7.19,135024859,970828736.21,4.34
MEITUAN-CLASS B,3690 HK,Hong Kong,93.05,9099934,846748858.7,3.79
CHINA MOBILE,941 HK,Hong Kong,81.7,10196540,833057318.0,3.73
XIAOMI CORP-CLASS B,1810 HK,Hong Kong,26.66,29728155,792552612.3,3.55
CNOOC,883 HK,Hong Kong,24.24,25528222,618804101.28,2.77
PING AN INSURANCE GROUP,2318 HK,Hong Kong,55.9,10976505,613586629.5,2.75
BANK OF CHINA,3988 HK,Hong Kong,5.26,116396858,612247473.08,2.74
GLOBAL X USD MM ETF,3137 HK,Hong Kong,1134.35,488556,554193498.6,2.48
BYD,1211 HK,Hong Kong,89.7,6031824,541054612.8,2.42
NETEASE INC,9999 HK,Hong Kong,202.8,2593914,526045759.2,2.35
SEMICONDUCTOR MANUFACTURI,981 HK,Hong Kong,65.3,6880261,449281043.3,2.01
BEONE MEDICINES,6160 HK,Hong Kong,218.8,1985467,434420179.6,1.94
ZIJIN MINING GROUP,2899 HK,Hong Kong,35.38,9808835,347036582.3,1.55
PETROCHINA,857 HK,Hong Kong,9.735,34552395,336367565.33,1.51
CHINA LIFE INSURANCE,2628 HK,Hong Kong,27.2,12185992,331458982.4,1.48
JD.COM INC-CLASS A,9618 HK,Hong Kong,126.5,2609931,330156271.5,1.48
LENOVO GROUP,992 HK,Hong Kong,28.54,11173432,318889749.28,1.43
CHINA MERCHANTS BANK,3968 HK,Hong Kong,48.34,6390298,308907005.32,1.38
AGRICULTURAL BANK OF CHINA,1288 HK,Hong Kong,5.85,47820353,279749065.05,1.25
BAIDU INC-CLASS A,9888 HK,Hong Kong,104.6,2476962,259090225.2,1.16
INNOVENT BIOLOGICS INC,1801 HK,Hong Kong,95.55,2699438,257931300.9,1.15
CHINA SHENHUA ENERGY,1088 HK,Hong Kong,43.88,5254351,230560921.88,1.03
YUM CHINA HOLDINGS INC,9987 HK,Hong Kong,376.0,575491,216384616.0,0.97
KUAISHOU TECHNOLOGY,1024 HK,Hong Kong,42.64,4990200,212782128.0,0.95
GEELY AUTOMOBILE HOLDINGS LT,175 HK,Hong Kong,18.2,10609856,193099379.2,0.86
POP MART INTERNATIONAL GROUP,9992 HK,Hong Kong,152.7,1207979,184458393.3,0.83
PICC PROPERTY & CASUALTY,2328 HK,Hong Kong,15.61,11298783,176374002.63,0.79
CHINA RESOURCES LAND,1109 HK,Hong Kong,32.72,5254881,171939706.32,0.77
ANTA SPORTS PRODUCTS,2020 HK,Hong Kong,74.5,2290010,170605745.0,0.76
TRIP.COM GROUP,9961 HK,Hong Kong,362.6,451613,163754873.8,0.73
CHINA PETROLEUM & CHEMICAL,386 HK,Hong Kong,4.31,36998343,159462858.33,0.71
KE HOLDINGS INC-CL A,2423 HK,Hong Kong,44.82,3468066,155438718.12,0.7
NONGFU SPRING,9633 HK,Hong Kong,43.12,3297911,142205922.32,0.64
CHINA HONGQIAO GROUP,1378 HK,Hong Kong,24.04,5719695,137501467.8,0.62
AKESO INC,9926 HK,Hong Kong,101.9,1207392,123033244.8,0.55
XPENG INC - CLASS A SHARES,9868 HK,Hong Kong,45.74,2663967,121849850.58,0.55
ZTO EXPRESS CAYMAN INC,2057 HK,Hong Kong,185.2,630427,116755080.4,0.52
CSPC PHARMACEUTICAL GROUP LT,1093 HK,Hong Kong,8.7,13209227,114920274.9,0.51
CITIC,267 HK,Hong Kong,11.94,9527904,113763173.76,0.51
LI AUTO INC-CLASS A,2015 HK,Hong Kong,49.06,2298351,112757100.06,0.5
BANK OF COMMUNICATIONS,3328 HK,Hong Kong,7.305,14333708,104707736.94,0.47
HORIZON ROBOTICS INC,9660 HK,Hong Kong,5.1,19195097,97894994.7,0.44
POSTAL SAVINGS BANK OF CHI,1658 HK,Hong Kong,4.845,17884232,86649104.04,0.39
HANSOH PHARMACEUTICAL GROUP,3692 HK,Hong Kong,34.82,2480327,86364986.14,0.39
CHINA OVERSEAS LAND & INVEST,688 HK,Hong Kong,13.17,6273155,82617451.35,0.37
JD HEALTH INTERNATIONAL INC,6618 HK,Hong Kong,39.44,1840253,72579578.32,0.32
CHINA UNICOM HONG KONG,762 HK,Hong Kong,6.34,10022849,63544862.66,0.28
SHENZHOU INTERNATIONAL GROUP,2313 HK,Hong Kong,43.38,1353785,58727193.3,0.26
HSCEI FUTURES 08/28/26,HCQ6,Hong Kong,8535.0,10479,42783750.0,0.19
CALL HSCEI WEEKLY OPTION 08/14/26 8550,,,47.0,-5400,-12690000.0,-0.06
CALL HSCEI 08/28/26 C8700 OTC,,,71.0,-8500,-30175000.0,-0.14
CALL HSCEI 08/28/26 C8700 OTC,,,71.0,-11500,-40825000.0,-0.18
CALL HANG SENG CHINA ENT 08/28/26 8700,HSCEI 08/28/26 C8700,Hong Kong,71.0,-26310,-93400500.0,-0.42
