Name of Securities,Exchange Ticker,Exchange,Market Price (in HKD),Number of Shares Held,Market Value (in HKD),Net Assets (%)
CHINA CONSTRUCTION BANK,939 HK,Hong Kong,9.535,148419507,1415179999.25,6.4
TENCENT HOLDINGS,700 HK,Hong Kong,438.4,3227892,1415107852.8,6.4
ALIBABA GROUP HOLDING,9988 HK,Hong Kong,109.6,12905964,1414493654.4,6.39
IND & COMM BK OF CHINA,1398 HK,Hong Kong,7.505,132115859,991529521.8,4.48
GLOBAL X USD MM ETF,3137 HK,Hong Kong,1135.95,832556,945741988.2,4.27
XIAOMI CORP-CLASS B,1810 HK,Hong Kong,27.5,28920955,795326262.5,3.59
CHINA MOBILE,941 HK,Hong Kong,79.1,9989540,790172614.0,3.57
MEITUAN-CLASS B,3690 HK,Hong Kong,80.05,8904434,712799941.7,3.22
BANK OF CHINA,3988 HK,Hong Kong,5.945,113888858,677069260.81,3.06
CNOOC,883 HK,Hong Kong,24.88,24978222,621458163.36,2.81
PING AN INSURANCE GROUP,2318 HK,Hong Kong,56.25,10740005,604125281.25,2.73
NETEASE INC,9999 HK,Hong Kong,187.7,2821114,529523097.8,2.39
BYD,1211 HK,Hong Kong,84.5,5901924,498712578.0,2.25
SEMICONDUCTOR MANUFACTURI,981 HK,Hong Kong,68.3,7226761,493587776.3,2.23
BEONE MEDICINES,6160 HK,Hong Kong,215.2,1942667,418061938.4,1.89
LENOVO GROUP,992 HK,Hong Kong,32.36,11925432,385906979.52,1.74
CHINA LIFE INSURANCE,2628 HK,Hong Kong,30.56,11922992,364366635.52,1.65
ZIJIN MINING GROUP,2899 HK,Hong Kong,35.92,9596835,344718313.2,1.56
PETROCHINA,857 HK,Hong Kong,9.96,33808395,336731614.2,1.52
CHINA MERCHANTS BANK,3968 HK,Hong Kong,51.9,6252798,324520216.2,1.47
AGRICULTURAL BANK OF CHINA,1288 HK,Hong Kong,6.38,46790353,298522452.14,1.35
JD.COM INC-CLASS A,9618 HK,Hong Kong,108.8,2483681,270224492.8,1.22
INNOVENT BIOLOGICS INC,1801 HK,Hong Kong,101.3,2646438,268084169.4,1.21
CHINA SHENHUA ENERGY,1088 HK,Hong Kong,44.66,5141351,229612735.66,1.04
BAIDU INC-CLASS A-HKD,9888 HK,Hong Kong,91.4,2509412,229360256.8,1.04
PICC PROPERTY & CASUALTY,2328 HK,Hong Kong,17.23,11054783,190473911.09,0.86
YUM CHINA HOLDINGS INC,9987 HK,Hong Kong,342.8,552891,189531034.8,0.86
POP MART INTERNATIONAL GROUP,9992 HK,Hong Kong,156.2,1173779,183344279.8,0.83
TRIP.COM GROUP,9961 HK,Hong Kong,326.6,557413,182051085.8,0.82
GEELY AUTOMOBILE HOLDINGS LT,175 HK,Hong Kong,16.79,10368856,174093092.24,0.79
CHINA PETROLEUM & CHEMICAL,386 HK,Hong Kong,4.725,36202343,171056070.68,0.77
ANTA SPORTS PRODUCTS,2020 HK,Hong Kong,75.85,2240610,169950268.5,0.77
KUAISHOU TECHNOLOGY,1024 HK,Hong Kong,33.98,4853100,164908338.0,0.75
CHINA RESOURCES LAND,1109 HK,Hong Kong,29.88,5141881,153639404.28,0.69
KE HOLDINGS INC-CL A,2423 HK,Hong Kong,45.78,3328766,152390907.48,0.69
NONGFU SPRING,9633 HK,Hong Kong,41.84,3226911,135013956.24,0.61
CHINA HONGQIAO GROUP,1378 HK,Hong Kong,23.16,5507195,127546636.2,0.58
CITIC,267 HK,Hong Kong,13.6,9322904,126791494.4,0.57
CSPC PHARMACEUTICAL GROUP LT,1093 HK,Hong Kong,9.68,12925227,125116197.36,0.57
AKESO INC,9926 HK,Hong Kong,96.0,1181392,113413632.0,0.51
LI AUTO INC-CLASS A,2015 HK,Hong Kong,50.4,2186151,110182010.4,0.5
BANK OF COMMUNICATIONS,3328 HK,Hong Kong,7.88,14025708,110522579.04,0.5
XPENG INC - CLASS A SHARES,9868 HK,Hong Kong,42.0,2609667,109606014.0,0.5
ZTO EXPRESS CAYMAN INC,2057 HK,Hong Kong,164.2,616827,101282993.4,0.46
POSTAL SAVINGS BANK OF CHI,1658 HK,Hong Kong,5.375,17499232,94058372.0,0.43
HANSOH PHARMACEUTICAL GROUP,3692 HK,Hong Kong,36.28,2430327,88172263.56,0.4
HORIZON ROBOTICS INC,9660 HK,Hong Kong,4.4,18678497,82185386.8,0.37
CHINA OVERSEAS LAND & INVEST,688 HK,Hong Kong,12.91,6138155,79243581.05,0.36
BNYM-USD LIQ-ADVANT,DRELIQP ID,,1.0,10008182,78462932.35,0.35
JD HEALTH INTERNATIONAL INC,6618 HK,Hong Kong,36.74,1800803,66161502.22,0.3
CHINA UNICOM HONG KONG,762 HK,Hong Kong,5.665,9806849,55555799.59,0.25
SHENZHOU INTERNATIONAL GROUP,2313 HK,Hong Kong,36.86,1324385,48816831.1,0.22
CALL HSCEI WEEKLY OPTION 09/11/26 8600,,,12.0,-15920,-9552000.0,-0.04
CALL HSCEI 09/29/26 C8600 OTC,,,69.0,-8500,-29325000.0,-0.13
CALL HSCEI 09/29/26 C8600 OTC,,,69.0,-9000,-31050000.0,-0.14
HSCEI FUTURES 09/29/26,HCU6,Hong Kong,8404.0,10218,-47101150.0,-0.21
CALL HANG SENG CHINA ENT 09/29/26 8600,HSCEI 09/29/26 C8600,Hong Kong,69.0,-18710,-64549500.0,-0.29
