Name of Securities,Exchange Ticker,Exchange,Market Price (in HKD),Number of Shares Held,Market Value (in HKD),Net Assets (%)
CHINA CONSTRUCTION BANK,939 HK,Hong Kong,9.21,171837772,1582625880.12,7.03
TENCENT HOLDINGS,700 HK,Hong Kong,466.4,3346167,1560652288.8,6.94
ALIBABA GROUP HOLDING,9988 HK,Hong Kong,113.6,12311139,1398545390.4,6.22
IND & COMM BK OF CHINA,1398 HK,Hong Kong,7.48,147335704,1102071065.92,4.9
XIAOMI CORP-CLASS B,1810 HK,Hong Kong,31.88,32438660,1034144480.8,4.6
CHINA MOBILE,941 HK,Hong Kong,84.1,11125860,935684826.0,4.16
MEITUAN-CLASS B,3690 HK,Hong Kong,92.3,9929514,916494142.2,4.07
BANK OF CHINA,3988 HK,Hong Kong,5.48,127008623,696007254.04,3.09
PING AN INSURANCE GROUP,2318 HK,Hong Kong,57.95,11977345,694087142.75,3.09
CNOOC,883 HK,Hong Kong,23.5,27854917,654590549.5,2.91
BYD,1211 HK,Hong Kong,93.6,6581729,616049834.4,2.74
NETEASE INC,9999 HK,Hong Kong,203.2,2830374,575131996.8,2.56
GLOBAL X USD MM ETF,3137 HK,Hong Kong,1131.5,488556,552801114.0,2.46
SEMICONDUCTOR MANUFACTURI,981 HK,Hong Kong,67.2,7506936,504466099.2,2.24
BEONE MEDICINES,6160 HK,Hong Kong,199.1,2166472,431344575.2,1.92
CHINA LIFE INSURANCE,2628 HK,Hong Kong,28.32,13296287,376550847.84,1.67
PETROCHINA,857 HK,Hong Kong,9.93,37701350,374374405.5,1.66
JD.COM INC-CLASS A,9618 HK,Hong Kong,126.2,2847861,359400058.2,1.6
CHINA MERCHANTS BANK,3968 HK,Hong Kong,50.4,6972703,351424231.2,1.56
ZIJIN MINING GROUP,2899 HK,Hong Kong,32.7,10700130,349894251.0,1.56
AGRICULTURAL BANK OF CHINA,1288 HK,Hong Kong,6.32,52179888,329776892.16,1.47
LENOVO GROUP,992 HK,Hong Kong,22.98,12191292,280155890.16,1.25
BAIDU INC-CLASS A,9888 HK,Hong Kong,103.0,2702772,278385516.0,1.24
INNOVENT BIOLOGICS INC,1801 HK,Hong Kong,89.7,2945643,264224177.1,1.17
CHINA SHENHUA ENERGY,1088 HK,Hong Kong,43.48,5733121,249276101.08,1.11
GEELY AUTOMOBILE HOLDINGS LT,175 HK,Hong Kong,20.3,11576126,234995357.8,1.04
KUAISHOU TECHNOLOGY,1024 HK,Hong Kong,42.8,5445130,233051564.0,1.04
YUM CHINA HOLDINGS INC,9987 HK,Hong Kong,362.0,627936,227312832.0,1.01
POP MART INTERNATIONAL GROUP,9992 HK,Hong Kong,166.4,1317934,219304217.6,0.97
PICC PROPERTY & CASUALTY,2328 HK,Hong Kong,16.69,12328313,205759543.97,0.91
ANTA SPORTS PRODUCTS,2020 HK,Hong Kong,79.65,2498635,199016277.75,0.88
CHINA RESOURCES LAND,1109 HK,Hong Kong,34.1,5733636,195516987.6,0.87
TRIP.COM GROUP,9961 HK,Hong Kong,367.0,492773,180847691.0,0.8
CHINA PETROLEUM & CHEMICAL,386 HK,Hong Kong,4.4,40371133,177632985.2,0.79
KE HOLDINGS INC-CL A,2423 HK,Hong Kong,43.3,3784136,163853088.8,0.73
NONGFU SPRING,9633 HK,Hong Kong,44.9,3598401,161568204.9,0.72
XPENG INC - CLASS A SHARES,9868 HK,Hong Kong,51.75,2906862,150430108.5,0.67
CHINA HONGQIAO GROUP,1378 HK,Hong Kong,23.8,6240780,148530564.0,0.66
LI AUTO INC-CLASS A,2015 HK,Hong Kong,54.6,2507861,136929210.6,0.61
ZTO EXPRESS CAYMAN INC,2057 HK,Hong Kong,189.1,687837,130069976.7,0.58
CITIC,267 HK,Hong Kong,12.3,10395904,127869619.2,0.57
CSPC PHARMACEUTICAL GROUP LT,1093 HK,Hong Kong,8.76,14411957,126248743.32,0.56
AKESO INC,9926 HK,Hong Kong,95.65,1317347,126004240.55,0.56
BANK OF COMMUNICATIONS,3328 HK,Hong Kong,7.57,15640603,118399364.71,0.53
HORIZON ROBOTICS INC,9660 HK,Hong Kong,5.25,20944937,109960919.25,0.49
HSCEI FUTURES 08/28/26,HCQ6,Hong Kong,8621.0,12268,104345050.0,0.46
POSTAL SAVINGS BANK OF CHI,1658 HK,Hong Kong,5.04,19514172,98351426.88,0.44
CHINA OVERSEAS LAND & INVEST,688 HK,Hong Kong,13.72,6844845,93911273.4,0.42
HANSOH PHARMACEUTICAL GROUP,3692 HK,Hong Kong,33.52,2706072,90707533.44,0.4
JD HEALTH INTERNATIONAL INC,6618 HK,Hong Kong,40.0,2008068,80322720.0,0.36
CHINA UNICOM HONG KONG,762 HK,Hong Kong,6.81,10935604,74471463.24,0.33
SHENZHOU INTERNATIONAL GROUP,2313 HK,Hong Kong,44.78,1477080,66143642.4,0.29
CALL HSCEI 07/30/26 C7700 OTC,,,915.0,-11500,-526125000.0,-2.34
CALL HSCEI 07/30/26 C7700 OTC,,,915.0,-12500,-571875000.0,-2.54
CALL HANG SENG CHINA ENT 07/30/26 7700,HSCEI 07/30/26 C7700,Hong Kong,915.0,-32977,-1508697750.0,-6.71
