Name of Securities,Exchange Ticker,Exchange,Market Price (in HKD),Number of Shares Held,Market Value (in HKD),Net Assets (%)
TENCENT HOLDINGS,700 HK,Hong Kong,456.2,3346167,1526521385.4,6.83
CHINA CONSTRUCTION BANK,939 HK,Hong Kong,8.18,171837772,1405632974.96,6.29
ALIBABA GROUP HOLDING,9988 HK,Hong Kong,110.8,12311139,1364074201.2,6.1
IND & COMM BK OF CHINA,1398 HK,Hong Kong,6.82,147335704,1004829501.28,4.5
CHINA MOBILE,941 HK,Hong Kong,79.1,11125860,880055526.0,3.94
XIAOMI CORP-CLASS B,1810 HK,Hong Kong,26.04,32438660,844702706.4,3.78
MEITUAN-CLASS B,3690 HK,Hong Kong,79.2,9929514,786417508.8,3.52
BANK OF CHINA,3988 HK,Hong Kong,5.07,127008623,643933718.61,2.88
PING AN INSURANCE GROUP,2318 HK,Hong Kong,53.7,11977345,643183426.5,2.88
CNOOC,883 HK,Hong Kong,22.8,27854917,635092107.6,2.84
SEMICONDUCTOR MANUFACTURI,981 HK,Hong Kong,78.35,7506936,588168435.6,2.63
NETEASE INC,9999 HK,Hong Kong,201.8,2830374,571169473.2,2.56
BYD,1211 HK,Hong Kong,86.15,6581729,567015953.35,2.54
HSCEI FUTURES 07/30/26,HCN6,Hong Kong,8105.0,12805,428564520.43,1.92
BEONE MEDICINES,6160 HK,Hong Kong,185.8,2166472,402530497.6,1.8
CHINA LIFE INSURANCE,2628 HK,Hong Kong,28.62,13296287,380539733.94,1.7
PETROCHINA,857 HK,Hong Kong,9.57,37701350,360801919.5,1.61
ZIJIN MINING GROUP,2899 HK,Hong Kong,30.5,10700130,326353965.0,1.46
JD.COM INC-CLASS A,9618 HK,Hong Kong,113.8,2847861,324086581.8,1.45
CHINA MERCHANTS BANK,3968 HK,Hong Kong,45.96,6972703,320465429.88,1.43
AGRICULTURAL BANK OF CHINA,1288 HK,Hong Kong,5.54,52179888,289076579.52,1.29
BAIDU INC-CLASS A,9888 HK,Hong Kong,106.0,2702772,286493832.0,1.28
LENOVO GROUP,992 HK,Hong Kong,23.16,12191292,282350322.72,1.26
GLOBAL X USD MM ETF,3137 HK,Hong Kong,1127.1,238556,268876467.6,1.2
INNOVENT BIOLOGICS INC,1801 HK,Hong Kong,90.05,2945643,265255152.15,1.19
CHINA SHENHUA ENERGY,1088 HK,Hong Kong,42.3,5733121,242511018.3,1.09
KUAISHOU TECHNOLOGY,1024 HK,Hong Kong,43.8,5445130,238496694.0,1.07
YUM CHINA HOLDINGS INC,9987 HK,Hong Kong,350.4,627936,220028774.4,0.98
GEELY AUTOMOBILE HOLDINGS LT,175 HK,Hong Kong,18.31,11576126,211958867.06,0.95
POP MART INTERNATIONAL GROUP,9992 HK,Hong Kong,155.0,1317934,204279770.0,0.91
CHINA RESOURCES LAND,1109 HK,Hong Kong,33.44,5733636,191732787.84,0.86
ANTA SPORTS PRODUCTS,2020 HK,Hong Kong,73.9,2498635,184649126.5,0.83
PICC PROPERTY & CASUALTY,2328 HK,Hong Kong,14.26,12328313,175801743.38,0.79
CHINA PETROLEUM & CHEMICAL,386 HK,Hong Kong,4.19,40371133,169155047.27,0.76
TRIP.COM GROUP,9961 HK,Hong Kong,335.6,492773,165374618.8,0.74
KE HOLDINGS INC-CL A,2423 HK,Hong Kong,42.12,3784136,159387808.32,0.71
XPENG INC - CLASS A SHARES,9868 HK,Hong Kong,52.35,2906862,152174225.7,0.68
NONGFU SPRING,9633 HK,Hong Kong,41.44,3598401,149117737.44,0.67
CHINA HONGQIAO GROUP,1378 HK,Hong Kong,23.0,6240780,143537940.0,0.64
ZTO EXPRESS CAYMAN INC,2057 HK,Hong Kong,190.1,687837,130757813.7,0.59
AKESO INC,9926 HK,Hong Kong,95.85,1317347,126267709.95,0.57
LI AUTO INC-CLASS A,2015 HK,Hong Kong,48.56,2507861,121781730.16,0.55
CSPC PHARMACEUTICAL GROUP LT,1093 HK,Hong Kong,8.11,14411957,116880971.27,0.52
CITIC,267 HK,Hong Kong,11.24,10395904,116849960.96,0.52
BANK OF COMMUNICATIONS,3328 HK,Hong Kong,6.94,15640603,108545784.82,0.49
POSTAL SAVINGS BANK OF CHI,1658 HK,Hong Kong,4.78,19514172,93277742.16,0.42
HORIZON ROBOTICS INC,9660 HK,Hong Kong,4.42,20944937,92576621.54,0.41
CHINA OVERSEAS LAND & INVEST,688 HK,Hong Kong,12.92,6844845,88435397.4,0.4
HANSOH PHARMACEUTICAL GROUP,3692 HK,Hong Kong,32.56,2706072,88109704.32,0.39
JD HEALTH INTERNATIONAL INC,6618 HK,Hong Kong,36.96,2008068,74218193.28,0.33
CHINA UNICOM HONG KONG,762 HK,Hong Kong,6.41,10935604,70097221.64,0.31
SHENZHOU INTERNATIONAL GROUP,2313 HK,Hong Kong,42.86,1477080,63307648.8,0.28
CALL HSCEI 07/30/26 C7700 OTC,,,437.0,-11500,-251275000.0,-1.12
CALL HSCEI 07/30/26 C7700 OTC,,,437.0,-12500,-273125000.0,-1.22
CALL HANG SENG CHINA ENT 07/30/26 7700,HSCEI 07/30/26 C7700,Hong Kong,437.0,-32977,-720547450.0,-3.22
