Name of Securities,Exchange Ticker,Exchange,Market Price (in HKD),Number of Shares Held,Market Value (in HKD),Net Assets (%)
ALIBABA GROUP HOLDING,9988 HK,Hong Kong,112.6,12905964,1453211546.4,6.59
CHINA CONSTRUCTION BANK,939 HK,Hong Kong,9.755,148419507,1447832290.79,6.57
TENCENT HOLDINGS,700 HK,Hong Kong,430.0,3227892,1387993560.0,6.29
IND & COMM BK OF CHINA,1398 HK,Hong Kong,7.58,132115859,1001438211.22,4.54
GLOBAL X USD MM ETF,3137 HK,Hong Kong,1138.8,832556,948114772.8,4.3
XIAOMI CORP-CLASS B,1810 HK,Hong Kong,27.58,28920955,797639938.9,3.62
CHINA MOBILE,941 HK,Hong Kong,79.2,9989540,791171568.0,3.59
BANK OF CHINA,3988 HK,Hong Kong,6.06,113888858,690166479.48,3.13
MEITUAN-CLASS B,3690 HK,Hong Kong,74.0,8904434,658928116.0,2.99
CNOOC,883 HK,Hong Kong,23.94,24978222,597978634.68,2.71
PING AN INSURANCE GROUP,2318 HK,Hong Kong,53.75,10740005,577275268.75,2.62
NETEASE INC,9999 HK,Hong Kong,185.3,2821114,522752424.2,2.37
BYD,1211 HK,Hong Kong,81.2,5901924,479236228.8,2.17
SEMICONDUCTOR MANUFACTURI,981 HK,Hong Kong,65.6,7226761,474075521.6,2.15
LENOVO GROUP,992 HK,Hong Kong,35.74,11925432,426214939.68,1.93
BEONE MEDICINES,6160 HK,Hong Kong,217.2,1942667,421947272.4,1.91
CHINA LIFE INSURANCE,2628 HK,Hong Kong,29.08,11922992,346720607.36,1.57
ZIJIN MINING GROUP,2899 HK,Hong Kong,34.22,9596835,328403693.7,1.49
CHINA MERCHANTS BANK,3968 HK,Hong Kong,52.1,6252798,325770775.8,1.48
PETROCHINA,857 HK,Hong Kong,9.51,33808395,321517836.45,1.46
AGRICULTURAL BANK OF CHINA,1288 HK,Hong Kong,6.515,46790353,304839149.8,1.38
INNOVENT BIOLOGICS INC,1801 HK,Hong Kong,102.4,2646438,270995251.2,1.23
JD.COM INC-CLASS A,9618 HK,Hong Kong,105.4,2483681,261779977.4,1.19
BNYM-USD LIQ-ADVANT,DRELIQP ID,,1.0,30008182,235439543.14,1.07
CHINA SHENHUA ENERGY,1088 HK,Hong Kong,45.1,5141351,231874930.1,1.05
BAIDU INC-CLASS A-HKD,9888 HK,Hong Kong,89.0,2509412,223337668.0,1.01
PICC PROPERTY & CASUALTY,2328 HK,Hong Kong,17.02,11054783,188152406.66,0.85
POP MART INTERNATIONAL GROUP,9992 HK,Hong Kong,155.1,1173779,182053122.9,0.83
YUM CHINA HOLDINGS INC,9987 HK,Hong Kong,326.0,552891,180242466.0,0.82
TRIP.COM GROUP,9961 HK,Hong Kong,323.0,557413,180044399.0,0.82
GEELY AUTOMOBILE HOLDINGS LT,175 HK,Hong Kong,15.91,10368856,164968498.96,0.75
CHINA PETROLEUM & CHEMICAL,386 HK,Hong Kong,4.485,36202343,162367508.36,0.74
ANTA SPORTS PRODUCTS,2020 HK,Hong Kong,72.0,2240610,161323920.0,0.73
CHINA RESOURCES LAND,1109 HK,Hong Kong,29.18,5141881,150040087.58,0.68
KUAISHOU TECHNOLOGY,1024 HK,Hong Kong,30.82,4853100,149572542.0,0.68
KE HOLDINGS INC-CL A,2423 HK,Hong Kong,43.34,3328766,144268718.44,0.65
NONGFU SPRING,9633 HK,Hong Kong,39.26,3226911,126688525.86,0.57
CITIC,267 HK,Hong Kong,13.33,9322904,124274310.32,0.56
CSPC PHARMACEUTICAL GROUP LT,1093 HK,Hong Kong,9.605,12925227,124146805.34,0.56
CHINA HONGQIAO GROUP,1378 HK,Hong Kong,21.66,5507195,119285843.7,0.54
AKESO INC,9926 HK,Hong Kong,99.3,1181392,117312225.6,0.53
BANK OF COMMUNICATIONS,3328 HK,Hong Kong,8.26,14025708,115852348.08,0.53
XPENG INC - CLASS A SHARES,9868 HK,Hong Kong,40.5,2609667,105691513.5,0.48
ZTO EXPRESS CAYMAN INC,2057 HK,Hong Kong,164.1,616827,101221310.7,0.46
LI AUTO INC-CLASS A,2015 HK,Hong Kong,45.48,2186151,99426147.48,0.45
POSTAL SAVINGS BANK OF CHI,1658 HK,Hong Kong,5.415,17499232,94758341.28,0.43
HANSOH PHARMACEUTICAL GROUP,3692 HK,Hong Kong,35.56,2430327,86422428.12,0.39
HORIZON ROBOTICS INC,9660 HK,Hong Kong,4.255,18678497,79477004.74,0.36
CHINA OVERSEAS LAND & INVEST,688 HK,Hong Kong,12.41,6138155,76174503.55,0.35
JD HEALTH INTERNATIONAL INC,6618 HK,Hong Kong,36.34,1800803,65441181.02,0.3
CHINA UNICOM HONG KONG,762 HK,Hong Kong,5.76,9806849,56487450.24,0.26
SHENZHOU INTERNATIONAL GROUP,2313 HK,Hong Kong,34.7,1324385,45956159.5,0.21
CALL HSCEI 09/29/26 C8600 OTC,,,17.0,-8500,-7225000.0,-0.03
CALL HSCEI 09/29/26 C8600 OTC,,,17.0,-9000,-7650000.0,-0.03
CALL HANG SENG CHINA ENT 09/29/26 8600,HSCEI 09/29/26 C8600,Hong Kong,17.0,-18710,-15903500.0,-0.07
CALL HSCEI WEEKLY OPTION 09/25/26 8350,,,65.0,-13290,-43192500.0,-0.2
HSCEI FUTURES 09/29/26,HCU6,Hong Kong,8340.0,10218,-79798750.0,-0.36
