Name of Securities,Exchange Ticker,Exchange,Market Price (in HKD),Number of Shares Held,Market Value (in HKD),Net Assets (%)
TENCENT HOLDINGS,700 HK,Hong Kong,477.8,3346167,1598798592.6,7.13
CHINA CONSTRUCTION BANK,939 HK,Hong Kong,8.65,171837772,1486396727.8,6.63
ALIBABA GROUP HOLDING,9988 HK,Hong Kong,116.8,12311139,1437941035.2,6.41
IND & COMM BK OF CHINA,1398 HK,Hong Kong,7.11,147335704,1047556855.44,4.67
XIAOMI CORP-CLASS B,1810 HK,Hong Kong,27.74,32438660,899848428.4,4.01
CHINA MOBILE,941 HK,Hong Kong,80.8,11125860,898969488.0,4.01
MEITUAN-CLASS B,3690 HK,Hong Kong,86.3,9929514,856917058.2,3.82
BANK OF CHINA,3988 HK,Hong Kong,5.26,127008623,668065356.98,2.98
PING AN INSURANCE GROUP,2318 HK,Hong Kong,55.7,11977345,667138116.5,2.97
CNOOC,883 HK,Hong Kong,23.9,27854917,665732516.3,2.97
HSCEI FUTURES 07/30/26,HCN6,Hong Kong,8387.0,12805,609115020.43,2.72
NETEASE INC,9999 HK,Hong Kong,211.0,2830374,597208914.0,2.66
BYD,1211 HK,Hong Kong,90.15,6581729,593342869.35,2.65
SEMICONDUCTOR MANUFACTURI,981 HK,Hong Kong,69.75,7506936,523608786.0,2.33
BEONE MEDICINES,6160 HK,Hong Kong,191.5,2166472,414879388.0,1.85
PETROCHINA,857 HK,Hong Kong,9.99,37701350,376636486.5,1.68
CHINA LIFE INSURANCE,2628 HK,Hong Kong,27.28,13296287,362722709.36,1.62
JD.COM INC-CLASS A,9618 HK,Hong Kong,120.0,2847861,341743320.0,1.52
CHINA MERCHANTS BANK,3968 HK,Hong Kong,48.76,6972703,339988998.28,1.52
ZIJIN MINING GROUP,2899 HK,Hong Kong,30.12,10700130,322287915.6,1.44
AGRICULTURAL BANK OF CHINA,1288 HK,Hong Kong,5.91,52179888,308383138.08,1.37
BAIDU INC-CLASS A,9888 HK,Hong Kong,109.2,2702772,295142702.4,1.32
INNOVENT BIOLOGICS INC,1801 HK,Hong Kong,92.5,2945643,272471977.5,1.21
GLOBAL X USD MM ETF,3137 HK,Hong Kong,1131.0,238556,269806836.0,1.2
LENOVO GROUP,992 HK,Hong Kong,21.42,12191292,261137474.64,1.16
CHINA SHENHUA ENERGY,1088 HK,Hong Kong,43.6,5733121,249964075.6,1.11
KUAISHOU TECHNOLOGY,1024 HK,Hong Kong,45.26,5445130,246446583.8,1.1
YUM CHINA HOLDINGS INC,9987 HK,Hong Kong,351.0,627936,220405536.0,0.98
GEELY AUTOMOBILE HOLDINGS LT,175 HK,Hong Kong,18.79,11576126,217515407.54,0.97
POP MART INTERNATIONAL GROUP,9992 HK,Hong Kong,164.0,1317934,216141176.0,0.96
CHINA RESOURCES LAND,1109 HK,Hong Kong,34.48,5733636,197695769.28,0.88
ANTA SPORTS PRODUCTS,2020 HK,Hong Kong,76.85,2498635,192020099.75,0.86
PICC PROPERTY & CASUALTY,2328 HK,Hong Kong,14.61,12328313,180116652.93,0.8
CHINA PETROLEUM & CHEMICAL,386 HK,Hong Kong,4.29,40371133,173192160.57,0.77
TRIP.COM GROUP,9961 HK,Hong Kong,350.2,492773,172569104.6,0.77
KE HOLDINGS INC-CL A,2423 HK,Hong Kong,44.52,3784136,168469734.72,0.75
XPENG INC - CLASS A SHARES,9868 HK,Hong Kong,53.1,2906862,154354372.2,0.69
NONGFU SPRING,9633 HK,Hong Kong,42.22,3598401,151924490.22,0.68
CHINA HONGQIAO GROUP,1378 HK,Hong Kong,22.66,6240780,141416074.8,0.63
ZTO EXPRESS CAYMAN INC,2057 HK,Hong Kong,190.5,687837,131032948.5,0.58
LI AUTO INC-CLASS A,2015 HK,Hong Kong,49.12,2507861,123186132.32,0.55
AKESO INC,9926 HK,Hong Kong,93.35,1317347,122974342.45,0.55
CSPC PHARMACEUTICAL GROUP LT,1093 HK,Hong Kong,8.5,14411957,122501634.5,0.55
CITIC,267 HK,Hong Kong,11.54,10395904,119968732.16,0.53
BANK OF COMMUNICATIONS,3328 HK,Hong Kong,7.23,15640603,113081559.69,0.5
POSTAL SAVINGS BANK OF CHI,1658 HK,Hong Kong,4.98,19514172,97180576.56,0.43
CHINA OVERSEAS LAND & INVEST,688 HK,Hong Kong,13.66,6844845,93500582.7,0.42
HORIZON ROBOTICS INC,9660 HK,Hong Kong,4.39,20944937,91948273.43,0.41
HANSOH PHARMACEUTICAL GROUP,3692 HK,Hong Kong,33.06,2706072,89462740.32,0.4
JD HEALTH INTERNATIONAL INC,6618 HK,Hong Kong,38.28,2008068,76868843.04,0.34
CHINA UNICOM HONG KONG,762 HK,Hong Kong,6.54,10935604,71518850.16,0.32
SHENZHOU INTERNATIONAL GROUP,2313 HK,Hong Kong,44.44,1477080,65641435.2,0.29
CALL HSCEI 07/30/26 C7700 OTC,,,694.0,-11500,-399050000.0,-1.78
CALL HSCEI 07/30/26 C7700 OTC,,,694.0,-12500,-433750000.0,-1.93
CALL HANG SENG CHINA ENT 07/30/26 7700,HSCEI 07/30/26 C7700,Hong Kong,694.0,-32977,-1144301900.0,-5.1
