Name of Securities,Exchange Ticker,Exchange,Market Price (in HKD),Number of Shares Held,Market Value (in HKD),Net Assets (%)
CHINA CONSTRUCTION BANK,939 HK,Hong Kong,9.6,157479507,1511803267.2,6.84
TENCENT HOLDINGS,700 HK,Hong Kong,441.4,3066592,1353593708.8,6.12
ALIBABA GROUP HOLDING,9988 HK,Hong Kong,110.4,11282464,1245584025.6,5.63
IND & COMM BK OF CHINA,1398 HK,Hong Kong,7.685,135024859,1037666041.42,4.69
GLOBAL X USD MM ETF,3137 HK,Hong Kong,1135.0,832556,944951060.0,4.27
XIAOMI CORP-CLASS B,1810 HK,Hong Kong,27.56,29728155,819307951.8,3.71
CHINA MOBILE,941 HK,Hong Kong,79.5,10196540,810624930.0,3.67
MEITUAN-CLASS B,3690 HK,Hong Kong,76.65,9099934,697509941.1,3.15
BANK OF CHINA,3988 HK,Hong Kong,5.975,116396858,695471226.55,3.15
CNOOC,883 HK,Hong Kong,25.06,25528222,639737243.32,2.89
PING AN INSURANCE GROUP,2318 HK,Hong Kong,56.75,10976505,622916658.75,2.82
BYD,1211 HK,Hong Kong,88.25,6031824,532308468.0,2.41
NETEASE INC,9999 HK,Hong Kong,188.8,2593914,489730963.2,2.21
SEMICONDUCTOR MANUFACTURI,981 HK,Hong Kong,68.85,6880261,473705969.85,2.14
BEONE MEDICINES,6160 HK,Hong Kong,213.2,1985467,423301564.4,1.91
CHINA LIFE INSURANCE,2628 HK,Hong Kong,30.18,12185992,367773238.56,1.66
ZIJIN MINING GROUP,2899 HK,Hong Kong,36.42,9808835,357237770.7,1.62
PETROCHINA,857 HK,Hong Kong,10.2,34552395,352434429.0,1.59
LENOVO GROUP,992 HK,Hong Kong,30.58,11173432,341683550.56,1.55
CHINA MERCHANTS BANK,3968 HK,Hong Kong,51.45,6390298,328780832.1,1.49
AGRICULTURAL BANK OF CHINA,1288 HK,Hong Kong,6.51,47820353,311310498.03,1.41
JD.COM INC-CLASS A,9618 HK,Hong Kong,108.6,2609931,283438506.6,1.28
INNOVENT BIOLOGICS INC,1801 HK,Hong Kong,101.6,2699438,274262900.8,1.24
CHINA SHENHUA ENERGY,1088 HK,Hong Kong,46.2,5254351,242751016.2,1.1
BAIDU INC-CLASS A,9888 HK,Hong Kong,93.7,2476962,232091339.4,1.05
YUM CHINA HOLDINGS INC,9987 HK,Hong Kong,349.8,575491,201306751.8,0.91
PICC PROPERTY & CASUALTY,2328 HK,Hong Kong,17.35,11298783,196033885.05,0.89
POP MART INTERNATIONAL GROUP,9992 HK,Hong Kong,155.2,1207979,187478340.8,0.85
GEELY AUTOMOBILE HOLDINGS LT,175 HK,Hong Kong,17.57,10609856,186415169.92,0.84
ANTA SPORTS PRODUCTS,2020 HK,Hong Kong,78.35,2290010,179422283.5,0.81
CHINA PETROLEUM & CHEMICAL,386 HK,Hong Kong,4.765,36998343,176297104.4,0.8
KUAISHOU TECHNOLOGY,1024 HK,Hong Kong,34.64,4990200,172860528.0,0.78
KE HOLDINGS INC-CL A,2423 HK,Hong Kong,46.2,3468066,160224649.2,0.72
TRIP.COM GROUP,9961 HK,Hong Kong,349.0,451613,157612937.0,0.71
CHINA RESOURCES LAND,1109 HK,Hong Kong,28.98,5254881,152286451.38,0.69
NONGFU SPRING,9633 HK,Hong Kong,41.56,3297911,137061181.16,0.62
CHINA HONGQIAO GROUP,1378 HK,Hong Kong,23.16,5719695,132468136.2,0.6
CITIC,267 HK,Hong Kong,13.29,9527904,126625844.16,0.57
CSPC PHARMACEUTICAL GROUP LT,1093 HK,Hong Kong,9.23,13209227,121921165.21,0.55
XPENG INC - CLASS A SHARES,9868 HK,Hong Kong,44.44,2663967,118386693.48,0.54
BANK OF COMMUNICATIONS,3328 HK,Hong Kong,7.88,14333708,112949619.04,0.51
LI AUTO INC-CLASS A,2015 HK,Hong Kong,47.06,2298351,108160398.06,0.49
ZTO EXPRESS CAYMAN INC,2057 HK,Hong Kong,164.9,630427,103957412.3,0.47
AKESO INC,9926 HK,Hong Kong,85.65,1207392,103413124.8,0.47
POSTAL SAVINGS BANK OF CHI,1658 HK,Hong Kong,5.44,17884232,97290222.08,0.44
HORIZON ROBOTICS INC,9660 HK,Hong Kong,4.595,19195097,88201470.72,0.4
HANSOH PHARMACEUTICAL GROUP,3692 HK,Hong Kong,34.36,2480327,85224035.72,0.39
BNYM-USD LIQ-ADVANT,DRELIQP ID,,1.0,10000000,78409848.28,0.35
CHINA OVERSEAS LAND & INVEST,688 HK,Hong Kong,12.31,6273155,77222538.05,0.35
JD HEALTH INTERNATIONAL INC,6618 HK,Hong Kong,36.46,1840253,67095624.38,0.3
CHINA UNICOM HONG KONG,762 HK,Hong Kong,5.63,10022849,56428639.87,0.26
SHENZHOU INTERNATIONAL GROUP,2313 HK,Hong Kong,36.56,1353785,49494379.6,0.22
CALL HSCEI WEEKLY OPTION 09/04/26 8525,,0,17.0,-365,-310250.0,0.0
CALL HSCEI WEEKLY OPTION 09/04/26 8550,,0,12.0,-15500,-9300000.0,-0.04
CALL HSCEI 09/29/26 C8600 OTC,,0,85.0,-8500,-36125000.0,-0.16
CALL HSCEI 09/29/26 C8600 OTC,,0,85.0,-9000,-38250000.0,-0.17
HSCEI FUTURES 09/29/26,HCU6,Hong Kong,8418.0,10163,-39572800.0,-0.18
CALL HANG SENG CHINA ENT 09/29/26 8600,HSCEI 09/29/26 C8600,Hong Kong,85.0,-18710,-79517500.0,-0.36
