Name of Securities,Exchange Ticker,Exchange,Market Price (in HKD),Number of Shares Held,Market Value (in HKD),Net Assets (%)
CHINA CONSTRUCTION BANK,939 HK,Hong Kong,8.74,157479507,1376370891.18,6.26
ALIBABA GROUP HOLDING,9988 HK,Hong Kong,119.9,11282464,1352767433.6,6.15
TENCENT HOLDINGS,700 HK,Hong Kong,440.0,3066592,1349300480.0,6.14
IND & COMM BK OF CHINA,1398 HK,Hong Kong,7.165,135024859,967453114.74,4.4
CHINA MOBILE,941 HK,Hong Kong,82.05,10196540,836626107.0,3.8
MEITUAN-CLASS B,3690 HK,Hong Kong,87.2,9099934,793514244.8,3.61
XIAOMI CORP-CLASS B,1810 HK,Hong Kong,25.62,29728155,761635331.1,3.46
BANK OF CHINA,3988 HK,Hong Kong,5.25,116396858,611083504.5,2.78
CNOOC,883 HK,Hong Kong,23.82,25528222,608082248.04,2.77
PING AN INSURANCE GROUP,2318 HK,Hong Kong,54.6,10976505,599317173.0,2.73
GLOBAL X USD MM ETF,3137 HK,Hong Kong,1135.0,488556,554511060.0,2.52
BYD,1211 HK,Hong Kong,88.25,6031824,532308468.0,2.42
NETEASE INC,9999 HK,Hong Kong,193.6,2593914,502181750.4,2.28
SEMICONDUCTOR MANUFACTURI,981 HK,Hong Kong,70.8,6880261,487122478.8,2.22
BEONE MEDICINES,6160 HK,Hong Kong,211.2,1985467,419330630.4,1.91
LENOVO GROUP,992 HK,Hong Kong,33.6,11173432,375427315.2,1.71
ZIJIN MINING GROUP,2899 HK,Hong Kong,34.8,9808835,341347458.0,1.55
PETROCHINA,857 HK,Hong Kong,9.455,34552395,326692894.73,1.49
CHINA LIFE INSURANCE,2628 HK,Hong Kong,26.8,12185992,326584585.6,1.49
CHINA MERCHANTS BANK,3968 HK,Hong Kong,47.96,6390298,306478692.08,1.39
JD.COM INC-CLASS A,9618 HK,Hong Kong,110.2,2609931,287614396.2,1.31
AGRICULTURAL BANK OF CHINA,1288 HK,Hong Kong,5.84,47820353,279270861.52,1.27
INNOVENT BIOLOGICS INC,1801 HK,Hong Kong,93.8,2699438,253207284.4,1.15
BAIDU INC-CLASS A,9888 HK,Hong Kong,100.8,2476962,249677769.6,1.14
CHINA SHENHUA ENERGY,1088 HK,Hong Kong,43.04,5254351,226147267.04,1.03
YUM CHINA HOLDINGS INC,9987 HK,Hong Kong,370.2,575491,213046768.2,0.97
KUAISHOU TECHNOLOGY,1024 HK,Hong Kong,40.06,4990200,199907412.0,0.91
GEELY AUTOMOBILE HOLDINGS LT,175 HK,Hong Kong,17.82,10609856,189067633.92,0.86
POP MART INTERNATIONAL GROUP,9992 HK,Hong Kong,154.1,1207979,186149563.9,0.85
CHINA RESOURCES LAND,1109 HK,Hong Kong,34.2,5254881,179716930.2,0.82
PICC PROPERTY & CASUALTY,2328 HK,Hong Kong,15.31,11298783,172984367.73,0.79
ANTA SPORTS PRODUCTS,2020 HK,Hong Kong,71.95,2290010,164766219.5,0.75
TRIP.COM GROUP,9961 HK,Hong Kong,349.2,451613,157703259.6,0.72
CHINA PETROLEUM & CHEMICAL,386 HK,Hong Kong,4.235,36998343,156687982.61,0.71
KE HOLDINGS INC-CL A,2423 HK,Hong Kong,43.88,3468066,152178736.08,0.69
NONGFU SPRING,9633 HK,Hong Kong,42.7,3297911,140820799.7,0.64
CHINA HONGQIAO GROUP,1378 HK,Hong Kong,22.7,5719695,129837076.5,0.59
XPENG INC - CLASS A SHARES,9868 HK,Hong Kong,45.52,2663967,121263777.84,0.55
AKESO INC,9926 HK,Hong Kong,96.0,1207392,115909632.0,0.53
CSPC PHARMACEUTICAL GROUP LT,1093 HK,Hong Kong,8.69,13209227,114788182.63,0.52
CITIC,267 HK,Hong Kong,11.94,9527904,113763173.76,0.52
ZTO EXPRESS CAYMAN INC,2057 HK,Hong Kong,178.2,630427,112342091.4,0.51
LI AUTO INC-CLASS A,2015 HK,Hong Kong,47.46,2298351,109079738.46,0.5
BANK OF COMMUNICATIONS,3328 HK,Hong Kong,7.245,14333708,103847714.46,0.47
HORIZON ROBOTICS INC,9660 HK,Hong Kong,5.005,19195097,96071460.49,0.44
POSTAL SAVINGS BANK OF CHI,1658 HK,Hong Kong,4.79,17884232,85665471.28,0.39
CHINA OVERSEAS LAND & INVEST,688 HK,Hong Kong,13.48,6273155,84562129.4,0.38
HANSOH PHARMACEUTICAL GROUP,3692 HK,Hong Kong,33.3,2480327,82594889.1,0.38
JD HEALTH INTERNATIONAL INC,6618 HK,Hong Kong,39.5,1840253,72689993.5,0.33
CHINA UNICOM HONG KONG,762 HK,Hong Kong,6.335,10022849,63494748.42,0.29
SHENZHOU INTERNATIONAL GROUP,2313 HK,Hong Kong,41.48,1353785,56155001.8,0.26
CALL HSCEI WEEKLY OPTION 08/14/26 8550,,,0.0,-5400,0.0,0.0
CALL HSCEI 08/28/26 C8700 OTC,,,13.0,-8500,-5525000.0,-0.03
CALL HSCEI 08/28/26 C8700 OTC,,,13.0,-11500,-7475000.0,-0.03
CALL HANG SENG CHINA ENT 08/28/26 8700,HSCEI 08/28/26 C8700,Hong Kong,13.0,-26310,-17101500.0,-0.08
HSCEI FUTURES 08/28/26,HCQ6,Hong Kong,8329.0,10479,-65149950.0,-0.3
