Name of Securities,Exchange Ticker,Exchange,Market Price (in HKD),Number of Shares Held,Market Value (in HKD),Net Assets (%)
TENCENT HOLDINGS,700 HK,Hong Kong,461.6,3066592,1415538867.2,6.38
ALIBABA GROUP HOLDING,9988 HK,Hong Kong,122.6,11282464,1383230086.4,6.23
CHINA CONSTRUCTION BANK,939 HK,Hong Kong,8.75,157479507,1377945686.25,6.21
IND & COMM BK OF CHINA,1398 HK,Hong Kong,7.16,135024859,966777990.44,4.36
MEITUAN-CLASS B,3690 HK,Hong Kong,91.65,9099934,834008951.1,3.76
CHINA MOBILE,941 HK,Hong Kong,81.7,10196540,833057318.0,3.75
XIAOMI CORP-CLASS B,1810 HK,Hong Kong,26.36,29728155,783634165.8,3.53
CNOOC,883 HK,Hong Kong,23.96,25528222,611656199.12,2.76
PING AN INSURANCE GROUP,2318 HK,Hong Kong,55.55,10976505,609744852.75,2.75
BANK OF CHINA,3988 HK,Hong Kong,5.205,116396858,605845645.89,2.73
GLOBAL X USD MM ETF,3137 HK,Hong Kong,1134.8,488556,554413348.8,2.5
BYD,1211 HK,Hong Kong,89.6,6031824,540451430.4,2.43
NETEASE INC,9999 HK,Hong Kong,192.5,2593914,499328445.0,2.25
SEMICONDUCTOR MANUFACTURI,981 HK,Hong Kong,67.4,6880261,463729591.4,2.09
BEONE MEDICINES,6160 HK,Hong Kong,216.6,1985467,430052152.2,1.94
ZIJIN MINING GROUP,2899 HK,Hong Kong,35.92,9808835,352333353.2,1.59
CHINA LIFE INSURANCE,2628 HK,Hong Kong,27.06,12185992,329752943.52,1.49
PETROCHINA,857 HK,Hong Kong,9.51,34552395,328593276.45,1.48
LENOVO GROUP,992 HK,Hong Kong,29.04,11173432,324476465.28,1.46
JD.COM INC-CLASS A,9618 HK,Hong Kong,123.0,2609931,321021513.0,1.45
CHINA MERCHANTS BANK,3968 HK,Hong Kong,48.02,6390298,306862109.96,1.38
AGRICULTURAL BANK OF CHINA,1288 HK,Hong Kong,5.79,47820353,276879843.87,1.25
INNOVENT BIOLOGICS INC,1801 HK,Hong Kong,95.55,2699438,257931300.9,1.16
BAIDU INC-CLASS A,9888 HK,Hong Kong,102.0,2476962,252650124.0,1.14
CHINA SHENHUA ENERGY,1088 HK,Hong Kong,43.0,5254351,225937093.0,1.02
YUM CHINA HOLDINGS INC,9987 HK,Hong Kong,375.4,575491,216039321.4,0.97
KUAISHOU TECHNOLOGY,1024 HK,Hong Kong,41.54,4990200,207292908.0,0.93
GEELY AUTOMOBILE HOLDINGS LT,175 HK,Hong Kong,18.06,10609856,191613999.36,0.86
CHINA RESOURCES LAND,1109 HK,Hong Kong,35.0,5254881,183920835.0,0.83
POP MART INTERNATIONAL GROUP,9992 HK,Hong Kong,151.0,1207979,182404829.0,0.82
PICC PROPERTY & CASUALTY,2328 HK,Hong Kong,15.52,11298783,175357112.16,0.79
ANTA SPORTS PRODUCTS,2020 HK,Hong Kong,72.8,2290010,166712728.0,0.75
TRIP.COM GROUP,9961 HK,Hong Kong,360.4,451613,162761325.2,0.73
KE HOLDINGS INC-CL A,2423 HK,Hong Kong,45.5,3468066,157797003.0,0.71
CHINA PETROLEUM & CHEMICAL,386 HK,Hong Kong,4.255,36998343,157427949.47,0.71
NONGFU SPRING,9633 HK,Hong Kong,42.68,3297911,140754841.48,0.63
CHINA HONGQIAO GROUP,1378 HK,Hong Kong,24.44,5719695,139789345.8,0.63
AKESO INC,9926 HK,Hong Kong,102.1,1207392,123274723.2,0.56
XPENG INC - CLASS A SHARES,9868 HK,Hong Kong,45.74,2663967,121849850.58,0.55
ZTO EXPRESS CAYMAN INC,2057 HK,Hong Kong,182.5,630427,115052927.5,0.52
CSPC PHARMACEUTICAL GROUP LT,1093 HK,Hong Kong,8.675,13209227,114590044.23,0.52
LI AUTO INC-CLASS A,2015 HK,Hong Kong,49.4,2298351,113538539.4,0.51
CITIC,267 HK,Hong Kong,11.89,9527904,113286778.56,0.51
BANK OF COMMUNICATIONS,3328 HK,Hong Kong,7.255,14333708,103991051.54,0.47
HORIZON ROBOTICS INC,9660 HK,Hong Kong,5.22,19195097,100198406.34,0.45
CHINA OVERSEAS LAND & INVEST,688 HK,Hong Kong,13.76,6273155,86318612.8,0.39
POSTAL SAVINGS BANK OF CHI,1658 HK,Hong Kong,4.81,17884232,86023155.92,0.39
HANSOH PHARMACEUTICAL GROUP,3692 HK,Hong Kong,33.5,2480327,83090954.5,0.37
JD HEALTH INTERNATIONAL INC,6618 HK,Hong Kong,38.86,1840253,71512231.58,0.32
CHINA UNICOM HONG KONG,762 HK,Hong Kong,6.325,10022849,63394519.93,0.29
SHENZHOU INTERNATIONAL GROUP,2313 HK,Hong Kong,42.1,1353785,56994348.5,0.26
HSCEI FUTURES 08/28/26,HCQ6,Hong Kong,8450.0,10479,-1752000.0,-0.01
CALL HSCEI WEEKLY OPTION 08/14/26 8550,,,14.0,-5400,-3780000.0,-0.02
CALL HSCEI 08/28/26 C8700 OTC,,,44.0,-8500,-18700000.0,-0.08
CALL HSCEI 08/28/26 C8700 OTC,,,44.0,-11500,-25300000.0,-0.11
CALL HANG SENG CHINA ENT 08/28/26 8700,HSCEI 08/28/26 C8700,Hong Kong,44.0,-26310,-57882000.0,-0.26
