Name of Securities,Exchange Ticker,Exchange,Market Price (in HKD),Number of Shares Held,Market Value (in HKD),Net Assets (%)
CHINA CONSTRUCTION BANK,939 HK,Hong Kong,9.76,157479507,1536999988.32,6.89
TENCENT HOLDINGS,700 HK,Hong Kong,442.8,3066592,1357886937.6,6.09
ALIBABA GROUP HOLDING,9988 HK,Hong Kong,110.1,11282464,1242199286.4,5.57
IND & COMM BK OF CHINA,1398 HK,Hong Kong,7.695,135024859,1039016290.01,4.66
GLOBAL X USD MM ETF,3137 HK,Hong Kong,1136.5,832556,946199894.0,4.24
XIAOMI CORP-CLASS B,1810 HK,Hong Kong,28.44,29728155,845468728.2,3.79
CHINA MOBILE,941 HK,Hong Kong,79.65,10196540,812154411.0,3.64
MEITUAN-CLASS B,3690 HK,Hong Kong,81.75,9099934,743919604.5,3.33
BANK OF CHINA,3988 HK,Hong Kong,6.065,116396858,705946943.77,3.16
CNOOC,883 HK,Hong Kong,25.06,25528222,639737243.32,2.87
PING AN INSURANCE GROUP,2318 HK,Hong Kong,57.15,10976505,627307260.75,2.81
BYD,1211 HK,Hong Kong,86.15,6031824,519641637.6,2.33
NETEASE INC,9999 HK,Hong Kong,189.1,2593914,490509137.4,2.2
SEMICONDUCTOR MANUFACTURI,981 HK,Hong Kong,67.2,6880261,462353539.2,2.07
BEONE MEDICINES,6160 HK,Hong Kong,220.8,1985467,438391113.6,1.97
CHINA LIFE INSURANCE,2628 HK,Hong Kong,30.9,12185992,376547152.8,1.69
LENOVO GROUP,992 HK,Hong Kong,32.4,11173432,362019196.8,1.62
ZIJIN MINING GROUP,2899 HK,Hong Kong,36.6,9808835,359003361.0,1.61
PETROCHINA,857 HK,Hong Kong,10.16,34552395,351052333.2,1.57
CHINA MERCHANTS BANK,3968 HK,Hong Kong,53.35,6390298,340922398.3,1.53
AGRICULTURAL BANK OF CHINA,1288 HK,Hong Kong,6.54,47820353,312745108.62,1.4
JD.COM INC-CLASS A,9618 HK,Hong Kong,110.4,2609931,288136382.4,1.29
INNOVENT BIOLOGICS INC,1801 HK,Hong Kong,102.4,2699438,276422451.2,1.24
CHINA SHENHUA ENERGY,1088 HK,Hong Kong,45.74,5254351,240334014.74,1.08
BAIDU INC-CLASS A-HKD,9888 HK,Hong Kong,95.9,2476962,237540655.8,1.06
YUM CHINA HOLDINGS INC,#NAME?,#NAME?,345.6,575491,198889689.6,0.89
YUM CHINA HOLDINGS INC,9987 HK,Hong Kong,345.6,575491,198889689.6,0.89
PICC PROPERTY & CASUALTY,2328 HK,Hong Kong,17.55,11298783,198293641.65,0.89
POP MART INTERNATIONAL GROUP,9992 HK,Hong Kong,154.0,1207979,186028766.0,0.83
GEELY AUTOMOBILE HOLDINGS LT,175 HK,Hong Kong,17.28,10609856,183338311.68,0.82
CHINA PETROLEUM & CHEMICAL,386 HK,Hong Kong,4.79,36998343,177222062.97,0.79
ANTA SPORTS PRODUCTS,2020 HK,Hong Kong,76.1,2290010,174269761.0,0.78
KUAISHOU TECHNOLOGY,1024 HK,Hong Kong,33.66,4990200,167970132.0,0.75
KE HOLDINGS INC-CL A,2423 HK,Hong Kong,47.96,3468066,166328445.36,0.75
CHINA RESOURCES LAND,1109 HK,Hong Kong,30.5,5254881,160273870.5,0.72
TRIP.COM GROUP,9961 HK,Hong Kong,325.6,451613,147045192.8,0.66
NONGFU SPRING,9633 HK,Hong Kong,42.4,3297911,139831426.4,0.63
CHINA HONGQIAO GROUP,1378 HK,Hong Kong,23.4,5719695,133840863.0,0.6
CITIC,267 HK,Hong Kong,13.91,9527904,132533144.64,0.59
CSPC PHARMACEUTICAL GROUP LT,1093 HK,Hong Kong,9.685,13209227,127931363.5,0.57
AKESO INC,9926 HK,Hong Kong,101.2,1207392,122188070.4,0.55
XPENG INC - CLASS A SHARES,9868 HK,Hong Kong,43.4,2663967,115616167.8,0.52
BANK OF COMMUNICATIONS,3328 HK,Hong Kong,7.985,14333708,114454658.38,0.51
LI AUTO INC-CLASS A,2015 HK,Hong Kong,47.82,2298351,109907144.82,0.49
ZTO EXPRESS CAYMAN INC,2057 HK,Hong Kong,164.9,630427,103957412.3,0.47
POSTAL SAVINGS BANK OF CHI,1658 HK,Hong Kong,5.48,17884232,98005591.36,0.44
HANSOH PHARMACEUTICAL GROUP,3692 HK,Hong Kong,36.24,2480327,89887050.48,0.4
HORIZON ROBOTICS INC,9660 HK,Hong Kong,4.355,19195097,83594647.44,0.37
CHINA OVERSEAS LAND & INVEST,688 HK,Hong Kong,13.17,6273155,82617451.35,0.37
BNYM-USD LIQ-ADVANT,DRELIQP ID,,1.0,10008182,78474621.75,0.35
JD HEALTH INTERNATIONAL INC,6618 HK,Hong Kong,37.06,1840253,68199776.18,0.31
CHINA UNICOM HONG KONG,762 HK,Hong Kong,5.63,10022849,56428639.87,0.25
SHENZHOU INTERNATIONAL GROUP,2313 HK,Hong Kong,37.16,1353785,50306650.6,0.23
HSCEI FUTURES 09/29/26,HCU6,Hong Kong,8561.0,10163,33092650.0,0.15
CALL HSCEI WEEKLY OPTION 09/04/26 8525,,,44.0,-365,-803000.0,0.0
CALL HSCEI WEEKLY OPTION 09/04/26 8550,,,19.0,-15500,-14725000.0,-0.07
CALL HSCEI 09/29/26 C8600 OTC,,,130.0,-8500,-55250000.0,-0.25
CALL HSCEI 09/29/26 C8600 OTC,,,130.0,-9000,-58500000.0,-0.26
CALL HANG SENG CHINA ENT 09/29/26 8600,HSCEI 09/29/26 C8600,Hong Kong,130.0,-18710,-121615000.0,-0.55
