Name of Securities,Exchange Ticker,Exchange,Market Price (in HKD),Number of Shares Held,Market Value (in HKD),Net Assets (%)
TENCENT HOLDINGS,700 HK,Hong Kong,478.8,3066592,1468284249.6,6.58
ALIBABA GROUP HOLDING,9988 HK,Hong Kong,123.8,11282464,1396769043.2,6.26
CHINA CONSTRUCTION BANK,939 HK,Hong Kong,8.79,157479507,1384244866.53,6.2
IND & COMM BK OF CHINA,1398 HK,Hong Kong,7.14,135024859,964077493.26,4.32
MEITUAN-CLASS B,3690 HK,Hong Kong,92.2,9099934,839013914.8,3.76
CHINA MOBILE,941 HK,Hong Kong,81.85,10196540,834586799.0,3.74
XIAOMI CORP-CLASS B,1810 HK,Hong Kong,27.06,29728155,804443874.3,3.6
PING AN INSURANCE GROUP,2318 HK,Hong Kong,57.15,10976505,627307260.75,2.81
BANK OF CHINA,3988 HK,Hong Kong,5.23,116396858,608755567.34,2.73
CNOOC,883 HK,Hong Kong,23.26,25528222,593786443.72,2.66
GLOBAL X USD MM ETF,3137 HK,Hong Kong,1134.05,488556,554046931.8,2.48
BYD,1211 HK,Hong Kong,90.15,6031824,543768933.6,2.44
NETEASE INC,9999 HK,Hong Kong,205.2,2593914,532271152.8,2.39
SEMICONDUCTOR MANUFACTURI,981 HK,Hong Kong,66.9,6880261,460289460.9,2.06
BEONE MEDICINES,6160 HK,Hong Kong,210.0,1985467,416948070.0,1.87
ZIJIN MINING GROUP,2899 HK,Hong Kong,36.4,9808835,357041594.0,1.6
CHINA LIFE INSURANCE,2628 HK,Hong Kong,28.8,12185992,350956569.6,1.57
JD.COM INC-CLASS A,9618 HK,Hong Kong,127.5,2609931,332766202.5,1.49
PETROCHINA,857 HK,Hong Kong,9.505,34552395,328420514.48,1.47
LENOVO GROUP,992 HK,Hong Kong,28.1,11173432,313973439.2,1.41
CHINA MERCHANTS BANK,3968 HK,Hong Kong,48.68,6390298,311079706.64,1.39
AGRICULTURAL BANK OF CHINA,1288 HK,Hong Kong,5.86,47820353,280227268.58,1.26
BAIDU INC-CLASS A,9888 HK,Hong Kong,106.8,2476962,264539541.6,1.19
INNOVENT BIOLOGICS INC,1801 HK,Hong Kong,94.85,2699438,256041694.3,1.15
CHINA SHENHUA ENERGY,1088 HK,Hong Kong,42.98,5254351,225832005.98,1.01
KUAISHOU TECHNOLOGY,1024 HK,Hong Kong,44.18,4990200,220467036.0,0.99
YUM CHINA HOLDINGS INC,9987 HK,Hong Kong,379.2,575491,218226187.2,0.98
GEELY AUTOMOBILE HOLDINGS LT,175 HK,Hong Kong,18.42,10609856,195433547.52,0.88
POP MART INTERNATIONAL GROUP,9992 HK,Hong Kong,157.8,1207979,190619086.2,0.85
PICC PROPERTY & CASUALTY,2328 HK,Hong Kong,15.95,11298783,180215588.85,0.81
CHINA RESOURCES LAND,1109 HK,Hong Kong,32.82,5254881,172465194.42,0.77
ANTA SPORTS PRODUCTS,2020 HK,Hong Kong,74.5,2290010,170605745.0,0.76
TRIP.COM GROUP,9961 HK,Hong Kong,357.2,451613,161316163.6,0.72
CHINA PETROLEUM & CHEMICAL,386 HK,Hong Kong,4.36,36998343,161312775.48,0.72
KE HOLDINGS INC-CL A,2423 HK,Hong Kong,43.96,3468066,152456181.36,0.68
NONGFU SPRING,9633 HK,Hong Kong,42.3,3297911,139501635.3,0.63
CHINA HONGQIAO GROUP,1378 HK,Hong Kong,24.18,5719695,138302225.1,0.62
XPENG INC - CLASS A SHARES,9868 HK,Hong Kong,46.64,2663967,124247420.88,0.56
AKESO INC,9926 HK,Hong Kong,100.0,1207392,120739200.0,0.54
ZTO EXPRESS CAYMAN INC,2057 HK,Hong Kong,186.5,630427,117574635.5,0.53
CSPC PHARMACEUTICAL GROUP LT,1093 HK,Hong Kong,8.69,13209227,114788182.63,0.51
LI AUTO INC-CLASS A,2015 HK,Hong Kong,49.92,2298351,114733681.92,0.51
CITIC,267 HK,Hong Kong,11.89,9527904,113286778.56,0.51
BANK OF COMMUNICATIONS,3328 HK,Hong Kong,7.245,14333708,103847714.46,0.47
HORIZON ROBOTICS INC,9660 HK,Hong Kong,5.0,19195097,95975485.0,0.43
POSTAL SAVINGS BANK OF CHI,1658 HK,Hong Kong,4.84,17884232,86559682.88,0.39
CHINA OVERSEAS LAND & INVEST,688 HK,Hong Kong,13.14,6273155,82429256.7,0.37
HANSOH PHARMACEUTICAL GROUP,3692 HK,Hong Kong,32.92,2480327,81652364.84,0.37
JD HEALTH INTERNATIONAL INC,6618 HK,Hong Kong,38.94,1840253,71659451.82,0.32
CHINA UNICOM HONG KONG,762 HK,Hong Kong,6.395,10022849,64096119.36,0.29
SHENZHOU INTERNATIONAL GROUP,2313 HK,Hong Kong,42.8,1353785,57941998.0,0.26
HSCEI FUTURES 08/28/26,HCQ6,Hong Kong,8539.0,10739,46049550.0,0.21
CALL HSCEI WEEKLY OPTION 08/07/26 8750,,,0.0,-2693,0.0,0.0
CALL HSCEI 08/28/26 C8700 OTC,,,85.0,-8500,-36125000.0,-0.16
CALL HSCEI 08/28/26 C8700 OTC,,,85.0,-11500,-48875000.0,-0.22
CALL HANG SENG CHINA ENT 08/28/26 8700,HSCEI 08/28/26 C8700,Hong Kong,85.0,-29010,-123292500.0,-0.55
