Name of Securities,Exchange Ticker,Exchange,Market Price (in HKD),Number of Shares Held,Market Value (in HKD),Net Assets (%)
CHINA CONSTRUCTION BANK,939 HK,Hong Kong,9.13,171837772,1568878858.36,7.0
TENCENT HOLDINGS,700 HK,Hong Kong,447.2,3346167,1496405882.4,6.67
ALIBABA GROUP HOLDING,9988 HK,Hong Kong,112.0,12311139,1378847568.0,6.15
IND & COMM BK OF CHINA,1398 HK,Hong Kong,7.36,147335704,1084390781.44,4.84
XIAOMI CORP-CLASS B,1810 HK,Hong Kong,29.26,32438660,949155191.6,4.23
CHINA MOBILE,941 HK,Hong Kong,83.25,11125860,926227845.0,4.13
MEITUAN-CLASS B,3690 HK,Hong Kong,90.3,9929514,896635114.2,4.0
BANK OF CHINA,3988 HK,Hong Kong,5.45,127008623,692196995.35,3.09
PING AN INSURANCE GROUP,2318 HK,Hong Kong,57.1,11977345,683906399.5,3.05
HSCEI FUTURES 07/30/26,HCN6,Hong Kong,8456.0,12805,653292270.43,2.91
CNOOC,883 HK,Hong Kong,22.98,27854917,640105992.66,2.85
BYD,1211 HK,Hong Kong,89.8,6581729,591039264.2,2.64
NETEASE INC,9999 HK,Hong Kong,199.6,2830374,564942650.4,2.52
GLOBAL X USD MM ETF,3137 HK,Hong Kong,1131.05,488556,552581263.8,2.46
SEMICONDUCTOR MANUFACTURI,981 HK,Hong Kong,69.1,7506936,518729277.6,2.31
BEONE MEDICINES,6160 HK,Hong Kong,195.3,2166472,423111981.6,1.89
CHINA LIFE INSURANCE,2628 HK,Hong Kong,27.94,13296287,371498258.78,1.66
PETROCHINA,857 HK,Hong Kong,9.84,37701350,370981284.0,1.65
JD.COM INC-CLASS A,9618 HK,Hong Kong,124.1,2847861,353419550.1,1.58
ZIJIN MINING GROUP,2899 HK,Hong Kong,32.44,10700130,347112217.2,1.55
CHINA MERCHANTS BANK,3968 HK,Hong Kong,49.76,6972703,346961701.28,1.55
AGRICULTURAL BANK OF CHINA,1288 HK,Hong Kong,6.2,52179888,323515305.6,1.44
LENOVO GROUP,992 HK,Hong Kong,23.42,12191292,285520058.64,1.27
BAIDU INC-CLASS A,9888 HK,Hong Kong,101.6,2702772,274601635.2,1.22
INNOVENT BIOLOGICS INC,1801 HK,Hong Kong,89.9,2945643,264813305.7,1.18
CHINA SHENHUA ENERGY,1088 HK,Hong Kong,42.88,5733121,245836228.48,1.1
KUAISHOU TECHNOLOGY,1024 HK,Hong Kong,42.34,5445130,230546804.2,1.03
YUM CHINA HOLDINGS INC,9987 HK,Hong Kong,359.2,627936,225554611.2,1.01
GEELY AUTOMOBILE HOLDINGS LT,175 HK,Hong Kong,19.12,11576126,221335529.12,0.99
POP MART INTERNATIONAL GROUP,9992 HK,Hong Kong,162.8,1317934,214559655.2,0.96
PICC PROPERTY & CASUALTY,2328 HK,Hong Kong,16.22,12328313,199965236.86,0.89
CHINA RESOURCES LAND,1109 HK,Hong Kong,33.58,5733636,192535496.88,0.86
ANTA SPORTS PRODUCTS,2020 HK,Hong Kong,77.05,2498635,192519826.75,0.86
CHINA PETROLEUM & CHEMICAL,386 HK,Hong Kong,4.31,40371133,173999583.23,0.78
TRIP.COM GROUP,9961 HK,Hong Kong,349.2,492773,172076331.6,0.77
KE HOLDINGS INC-CL A,2423 HK,Hong Kong,42.24,3784136,159841904.64,0.71
NONGFU SPRING,9633 HK,Hong Kong,41.86,3598401,150629065.86,0.67
XPENG INC - CLASS A SHARES,9868 HK,Hong Kong,49.56,2906862,144064080.72,0.64
CHINA HONGQIAO GROUP,1378 HK,Hong Kong,23.0,6240780,143537940.0,0.64
ZTO EXPRESS CAYMAN INC,2057 HK,Hong Kong,190.2,687837,130826597.4,0.58
AKESO INC,9926 HK,Hong Kong,96.0,1317347,126465312.0,0.56
CITIC,267 HK,Hong Kong,12.06,10395904,125374602.24,0.56
LI AUTO INC-CLASS A,2015 HK,Hong Kong,49.68,2507861,124590534.48,0.56
CSPC PHARMACEUTICAL GROUP LT,1093 HK,Hong Kong,8.49,14411957,122357514.93,0.55
BANK OF COMMUNICATIONS,3328 HK,Hong Kong,7.5,15640603,117304522.5,0.52
HORIZON ROBOTICS INC,9660 HK,Hong Kong,5.0,20944937,104724685.0,0.47
POSTAL SAVINGS BANK OF CHI,1658 HK,Hong Kong,4.98,19514172,97180576.56,0.43
CHINA OVERSEAS LAND & INVEST,688 HK,Hong Kong,13.4,6844845,91720923.0,0.41
HANSOH PHARMACEUTICAL GROUP,3692 HK,Hong Kong,32.32,2706072,87460247.04,0.39
JD HEALTH INTERNATIONAL INC,6618 HK,Hong Kong,37.96,2008068,76226261.28,0.34
CHINA UNICOM HONG KONG,762 HK,Hong Kong,6.79,10935604,74252751.16,0.33
SHENZHOU INTERNATIONAL GROUP,2313 HK,Hong Kong,43.52,1477080,64282521.6,0.29
CALL HSCEI 07/30/26 C7700 OTC,,,756.0,-11500,-434700000.0,-1.94
CALL HSCEI 07/30/26 C7700 OTC,,,756.0,-12500,-472500000.0,-2.11
CALL HANG SENG CHINA ENT 07/30/26 7700,HSCEI 07/30/26 C7700,Hong Kong,756.0,-32977,-1246530600.0,-5.56
